interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,cpufailures
1,"[13.154628940183668, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[262.61535995470337, 0, 0, 0, 0, 0]","[3766.3846400452967, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[530, 0, 0, 0, 0, 0]","[(16.776799999999998, 0.00013333333333333334, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4278.2232, 1859.9998666666668, 999.9998666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 4.4444444444444447e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.109955555555555), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[24.646314221891288, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[877.4382733496741, 0, 0, 0, 0, 0]","[3151.561726650326, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[993, 0, 0, 0, 0, 0]","[(117.8328, 0.0004666666666666667, 0.0028), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4177.1672, 1859.9995333333334, 999.9972), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0004166666666666667, 0.0008944444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.09958333333333, 10.109105555555555), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[38.843385455448, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[913.1140565928896, 0, 0, 0, 0, 0]","[3115.8859434071105, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1565, 0, 0, 0, 0, 0]","[(215.0882, 0.004733333333333333, 0.00013333333333333337), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4079.9118, 1859.9952666666666, 999.9998666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0019944444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108005555555556), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[42.938694465127824, 13.774376697111823, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[1234.677995827609, 1116.065298514448, 0, 0, 0, 0]","[2794.3220041723907, 6985.934701485552, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1730, 1116, 0, 0, 0, 0]","[(148.89673333333332, 0.005066666666666666, 0.0028), (8.3886, 0.0, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4146.103266666667, 1859.9949333333334, 999.9972), (17171.6114, 1800.0, 1524.999), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0004166666666666667, 0.001988888888888889), (3, 0.0, 1.1111111111111112e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.09958333333333, 10.10801111111111), (16102, 51.900000000000006, 6.189988888888888), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[42.14445271779598, 25.092569735867688, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[1062.0855547789743, 1280.6175022445382, 0, 0, 0, 0]","[2966.9144452210257, 6821.382497755461, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1698, 2033, 0, 0, 0, 0]","[(35.5196, 0.0044, 6.666666666666668e-05), (9.785933333333332, 0.0, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4259.4804, 1859.9956, 999.9999333333334), (17170.214066666667, 1800.0, 1524.999), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0011944444444444444), (6, 0.0, 0.0007611111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108805555555556), (16099, 51.900000000000006, 6.189238888888888), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[39.563167038967485, 41.61935324611207, 0.0, 0.0, 0.0, 0.0]","[3, 3, 0, 0, 0, 0]","[885.1781210821393, 1334.8952441792542, 0, 0, 0, 0]","[3143.821878917861, 6767.104755820746, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1594, 3372, 0, 0, 0, 0]","[(24.247133333333334, 0.0, 0.0), (61.69006666666667, 0.0006, 0.005533333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4270.752866666667, 1860.0, 1000.0), (17118.309933333334, 1799.9994, 1524.9944666666668), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.00012777777777777776), (8, 0.0007666666666666667, 0.0008833333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109872222222222), (16097, 51.89923333333334, 6.189116666666666), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[37.155621742367835, 27.042705504813625, 23.94637204394513, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[760.5185246795508, 1319.7662997972957, 3252.060310857185, 0, 0, 0]","[3268.481475320449, 6782.233700202704, 12858.939689142815, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1497, 2191, 3858, 0, 0, 0]","[(16.9512, 0.0005333333333333334, 0.003933333333333333), (62.38953333333332, 0.0004, 0.0028), (78.29360000000001, 0.009466666666666667, 0.00013333333333333337), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4278.0488, 1859.9994666666666, 999.9960666666667), (17117.610466666665, 1799.9996, 1524.9972), (34281.7064, 1882.6905333333334, 1333.7498666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 3.888888888888889e-05), (5, 3.3333333333333335e-05, 0.0005055555555555555), (4, 0.0, 0.0021999999999999997), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.10996111111111), (16100, 51.89996666666667, 6.189494444444444), (32208, 58.2, 11.637799999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[39.26532638371805, 28.2\2759812392002, 34.39885792315809, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[635.8428820122272, 1903.9550560011885, 5018.2295352207, 0, 0, 0]","[3393.157117987773, 6198.0449439988115, 11092.7704647793, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1582, 2287, 5542, 0, 0, 0]","[(22.36833333333333, 0.0, 0.0), (154.14006666666668, 0.005066666666666667, 0.0031333333333333335), (72.7012, 0.0138, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4272.631666666667, 1860.0, 1000.0), (17025.859933333333, 1799.9949333333334, 1524.9968666666666), (34287.2988, 1882.6862, 1333.7498666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 3.3333333333333335e-05), (3, 0.06351666666666665, 0.015205555555555555), (6, 0.0, 0.0029722222222222225), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109966666666667), (16102, 51.83648333333334, 6.174794444444444), (32206, 58.2, 11.637027777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[44.40307768677091, 38.85460380153049, 34.39885792315809, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[674.467370947671, 1385.0707565353969, 1161.2390325445572, 0, 0, 0]","[3354.532629052329, 6716.929243464603, 14949.760967455442, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1789, 3148, 5542, 0, 0, 0]","[(69.8166, 6.666666666666668e-05, 0.00013333333333333334), (111.75986666666668, 0.025733333333333334, 0.0232), (33.5544, 0.013466666666666667, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4225.1834, 1859.9999333333333, 999.9998666666667), (17068.240133333333, 1799.9742666666666, 1524.9768), (34326.4456, 1882.6865333333333, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0006944444444444445), (6, 5e-05, 0.0012833333333333332), (6, 0.0, 0.002966666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109305555555554), (16099, 51.899950000000004, 6.188716666666666), (32206, 58.2, 11.637033333333331), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[32.43981136758501, 45.02591952604295, 24.269132890571658, 0.0, 0.0, 0.0]","[2, 4, 2, 0, 0, 0]","[373.69944797718307, 1270.8503408646466, 1594.192548763792, 0, 0, 0]","[3655.300552022817, 6831.149659135353, 14516.807451236207, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1307, 3648, 3910, 0, 0, 0]","[(61.864999999999995, 6.666666666666668e-05, 6.666666666666668e-05), (81.3508, 0.028266666666666666, 0.0186), (1185.5895333333335, 0.0044, 0.0010666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4233.135, 1859.9999333333333, 999.9999333333334), (17098.6492, 1799.9717333333333, 1524.9814), (33174.41046666667, 1882.6956, 1333.7489333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.0007222222222222223), (7, 0.0, 0.002944444444444445), (4, 0.04596666666666667, 0.017055555555555553), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.109277777777777), (16098, 51.900000000000006, 6.187055555555555), (32208, 58.15403333333334, 11.622944444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
