interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
1,"[10.697443534375775, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[352.61113105048065, 0, 0, 0, 0, 0]","[3676.3888689495193, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[431, 0, 0, 0, 0, 0]","[(33.20446666666667, 6.666666666666668e-05, 0.0002), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4261.795533333333, 1859.9999333333333, 999.9998), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(1, 0.00065, 0.00018333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4025, 67.09935, 10.109816666666665), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[26.358897989575574, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[756.5867759892092, 0, 0, 0, 0, 0]","[3272.413224010791, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1062, 0, 0, 0, 0, 0]","[(92.2738, 0.0002666666666666667, 0.00013333333333333337), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4202.7262, 1859.9997333333333, 999.9998666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.0003333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.109666666666666), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[37.05634152395135, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[1150.5206556344385, 0, 0, 0, 0, 0]","[2878.4793443655617, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1493, 0, 0, 0, 0, 0]","[(87.0304, 6.666666666666668e-05, 0.00046666666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4207.9696, 1859.9999333333333, 999.9995333333334), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0013, 0.00035), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.0987, 10.10965), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[53.2638371804418, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 0, 0, 0, 0, 0]","[739.1025298317193, 0, 0, 0, 0, 0]","[3289.897470168281, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2146, 0, 0, 0, 0, 0]","[(143.6529333333333, 0.0002666666666666667, 0.00013333333333333337), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4151.347066666667, 1859.9997333333333, 999.9998666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0002555555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109744444444443), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[46.26458178207992, 24.018760799802518, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[1056.7832218815222, 1797.6496351374071, 0, 0, 0, 0]","[2972.216778118478, 6304.350364862593, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1864, 1946, 0, 0, 0, 0]","[(77.89926666666668, 0.038266666666666664, 0.0015333333333333332), (25.514599999999998, 0.007, 0.0020666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4217.100733333334, 1859.9617333333333, 999.9984666666667), (17154.4854, 1799.993, 1524.9979333333333), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.00065, 0.007794444444444446), (4, 0.0, 0.0006944444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.09935, 10.102205555555555), (16101, 51.900000000000006, 6.189305555555555), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[45.6192603623728, 34.547025425820785, 0.0, 0.0, 0.0, 0.0]","[3, 3, 0, 0, 0, 0]","[1057.7088362669776, 980.9364238482178, 0, 0, 0, 0]","[2971.2911637330226, 7121.063576151782, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1838, 2799, 0, 0, 0, 0]","[(1362.3175333333334, 0.12993333333333335, 0.0030666666666666663), (51.72826666666667, 0.007, 0.0020666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(2932.6824666666666, 1859.8700666666666, 999.9969333333333), (17128.271733333335, 1799.993, 1524.9979333333333), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 0.0006222222222222224), (7, 0.0, 0.0010055555555555555), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.109377777777777), (16098, 51.900000000000006, 6.188994444444444), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[44.998758997269796, 25.166625524561837, 29.669170132207807, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[792.3966200137454, 604.8833407955718, 4236.078330693859, 0, 0, 0]","[3236.6033799862544, 7497.116659204428, 11874.92166930614, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1813, 2039, 4780, 0, 0, 0]","[(1466.6070666666667, 0.03846666666666666, 0.0020666666666666667), (331.3488, 0.0030666666666666668, 0.0016666666666666668), (24.290866666666666, 0.0026000000000000003, 0.0026000000000000003), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(2828.3929333333335, 1859.9615333333334, 999.9979333333333), (16848.6512, 1799.9969333333333, 1524.9983333333332), (34335.70913333333, 1882.6974, 1333.7474), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0008944444444444445), (6, 0.04546666666666667, 0.011494444444444444), (5, 0.0, 0.0005888888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109105555555555), (16099, 51.854533333333336, 6.178505555555555), (32207, 58.2, 11.63941111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[41.17647058823529, 25.20365341890891, 40.08441437527156, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[1051.5410144755865, 559.2500165593077, 5593.446734801871, 0, 0, 0]","[2977.4589855244135, 7542.749983440693, 10517.55326519813, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1659, 2042, 6458, 0, 0, 0]","[(1601.5236, 0.0002, 0.0007333333333333332), (269.8328, 0.012933333333333333, 0.013666666666666667), (65.97193333333334, 0.0054, 0.0012000000000000001), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(2693.4764, 1859.9998, 999.9992666666667), (16910.1672, 1799.9870666666666, 1524.9863333333333), (34294.028066666666, 1882.6946, 1333.7488), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.000661111111111111), (6, 0.0007, 0.0038555555555555548), (8, 1.666666666666667e-05, 0.0013722222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109338888888889), (16099, 51.899300000000004, 6.186144444444444), (32204, 58.199983333333336, 11.638627777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[47.90270538595185, 27.561096025672672, 55.68865992179256, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[1258.1960025089825, 676.3704021294876, 2790.746320580103, 0, 0, 0]","[2770.8039974910175, 7425.629597870512, 13320.253679419897, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1930, 2233, 8972, 0, 0, 0]","[(448.78926666666666, 0.0009333333333333332, 6.666666666666668e-05), (1381.3236666666667, 0.009533333333333333, 0.012066666666666663), (93.41026666666667, 0.010266666666666667, 0.0010666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3846.2107333333333, 1859.9990666666667, 999.9999333333334), (15798.676333333333, 1799.9904666666666, 1524.9879333333333), (34266.589733333334, 1882.6897333333334, 1333.7489333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 1.666666666666667e-05, 0.0011833333333333335), (4, 1.666666666666667e-05, 0.0005055555555555555), (10, 0.0, 0.0028), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.09998333333333, 10.108816666666666), (16101, 51.89998333333334, 6.189494444444444), (32202, 58.2, 11.637199999999998), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[45.7433606353934, 32.856084917304365, 39.53820371174974, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[1034.9340140746106, 1593.6022856930326, 1727.9414031281997, 0, 0, 0]","[2994.065985925389, 6508.397714306968, 14383.0585968718, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1843, 2662, 6370, 0, 0, 0]","[(227.1908, 0.001, 0.0), (2411.724, 0.0004666666666666667, 0.0019333333333333333), (180.3548, 0.025333333333333333, 0.02213333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4067.8092, 1859.999, 1000.0), (14768.276, 1799.9995333333334, 1524.9980666666668), (34179.6452, 1882.6746666666668, 1333.7278666666666), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 1.666666666666667e-05, 0.0009), (3, 0.0, 0.0001611111111111111), (7, 0.0, 0.002105555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.09998333333333, 10.1091), (16102, 51.900000000000006, 6.189838888888889), (32205, 58.2, 11.637894444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
