interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
1,"[11.36758500868702, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[279.90489652563247, 0, 0, 0, 0, 0]","[3749.0951034743675, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[458, 0, 0, 0, 0, 0]","[(58.7202, 0.004733333333333333, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4236.2798, 1859.9952666666666, 999.9998666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.0010944444444444443), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.108905555555555), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[26.036237279722013, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[849.9634919426417, 0, 0, 0, 0, 0]","[3179.0365080573583, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1049, 0, 0, 0, 0, 0]","[(50.3316, 0.004666666666666667, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4244.6684, 1859.9953333333333, 999.9998666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0010722222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108927777777778), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[39.91064780342517, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[675.0721807726557, 0, 0, 0, 0, 0]","[3353.927819227344, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1608, 0, 0, 0, 0, 0]","[(50.8556, 0.004666666666666666, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4244.1444, 1859.9953333333333, 999.9998666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 0.0011222222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.108877777777778), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[44.527177959791516, 19.439644532214267, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[881.0813042143959, 1575.0295402728193, 0, 0, 0, 0]","[3147.918695785604, 6526.970459727181, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1794, 1575, 0, 0, 0, 0]","[(265.28906666666677, 0.5536666666666666, 0.16226666666666667), (1029.0021333333334, 0.0016666666666666668, 0.0006), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4029.7109333333333, 1859.4463333333333, 999.8377333333333), (16150.997866666667, 1799.9983333333332, 1524.9994), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.003850000000000001), (2, 0.0, 5.555555555555555e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.10615), (16103, 51.900000000000006, 6.189944444444444), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[42.591213700670146, 34.89261910639348, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[474.53904722084934, 0, 0, 0, 0, 0]","[3554.460952779151, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1716, 2827, 0, 0, 0, 0]","[(449.6632, 0.019333333333333327, 0.026666666666666672), (1213.5512666666666, 0.002266666666666667, 0.0056), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3845.3368, 1859.9806666666666, 999.9733333333334), (15966.448733333333, 1799.9977333333334, 1524.9944), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.004127777777777778), (5, 0.0, 0.0011666666666666668), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.10587222222222), (16100, 51.900000000000006, 6.188833333333333), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[24.100273020600646, 25.833127622809183, 23.26981565390106, 0.0, 0.0, 0.0]","[2, 2, 2, 0, 0, 0]","[905.0868560563763, 1961.615833797693, 3214.11871043758, 0, 0, 0]","[3123.9131439436237, 6140.384166202307, 12896.88128956242, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[971, 2093, 3749, 0, 0, 0]","[(28.791399999999996, 6.666666666666668e-05, 6.666666666666668e-05), (39.14626666666666, 0.00013333333333333334, 0.004666666666666666), (41.942, 0.0088, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4266.2086, 1859.9999333333333, 999.9999333333334), (17140.853733333333, 1799.9998666666668, 1524.9953333333333), (34318.058, 1882.6912, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0007), (6, 0.04601666666666666, 0.01635), (2, 0.0, 0.0017111111111111112), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.1093), (16099, 51.85398333333334, 6.173649999999999), (32210, 58.2, 11.638288888888887), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[40.87862993298585, 25.833127622809183, 23.26981565390106, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[1165.3233192593418, 1849.7295445989362, 3749.2333014244746, 0, 0, 0]","[2863.6766807406584, 6252.270455401063, 12361.766698575526, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1647, 2093, 3749, 0, 0, 0]","[(82.74846666666667, 6.666666666666668e-05, 0.00013333333333333334), (71.12780000000001, 0.0, 0.001), (30.757466666666662, 0.008933333333333333, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4212.251533333333, 1859.9999333333333, 999.9998666666667), (17108.8722, 1800.0, 1524.999), (34329.24253333333, 1882.6910666666668, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0013833333333333332), (6, 0.0, 2.777777777777778e-05), (2, 0.0, 0.0015888888888888888), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108616666666666), (16099, 51.900000000000006, 6.189972222222222), (32210, 58.2, 11.63841111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[43.60883593943907, 35.70723278202913, 23.26981565390106, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[526.216990066169, 786.1861931095266, 0, 0, 0, 0]","[3502.7830099338307, 7315.813806890474, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1757, 2893, 3749, 0, 0, 0]","[(58.76306666666666, 0.0, 0.0), (15.727666666666664, 0.0, 0.001), (86.6816, 0.0088, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4236.236933333334, 1860.0, 1000.0), (17164.272333333334, 1800.0, 1524.999), (34273.3184, 1882.6912, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0006000000000000002), (7, 0.0, 0.00025), (2, 0.0, 0.0015999999999999999), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109399999999999), (16098, 51.900000000000006, 6.189749999999999), (32210, 58.2, 11.638399999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[29.808885579548278, 32.83139965440632, 23.896716529079512, 0.0, 0.0, 0.0]","[2, 3, 2, 0, 0, 0]","[745.1827827814631, 2006.481849871041, 3377.3563307493164, 0, 0, 0]","[3283.817217218537, 6095.518150128959, 12733.643669250683, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1201, 2660, 3850, 0, 0, 0]","[(176.16039999999998, 0.0002666666666666667, 0.0), (289.75533333333334, 1.0003333333333333, 0.028466666666666664), (1353.3618000000001, 0.004733333333333333, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4118.8396, 1859.9997333333333, 1000.0), (16890.244666666666, 1798.9996666666666, 1524.9715333333334), (33006.6382, 1882.6952666666666, 1333.749), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.006361111111111112), (5, 0.00075, 0.0012111111111111112), (4, 0.0, 0.0014833333333333335), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.103638888888888), (16100, 51.89925000000001, 6.1887888888888885), (32208, 58.2, 11.638516666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[51.97319434102755, 43.40903480622069, 34.45472037738192, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[755.873783687566, 0, 3361.0347501078604, 0, 0, 0]","[3273.126216312434, 8102, 12749.965249892139, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2094, 3517, 5551, 0, 0, 0]","[(253.05586666666667, 0.005, 6.666666666666668e-05), (315.44579999999996, 0.7744666666666666, 0.017933333333333336), (1146.443, 0.004666666666666667, 0.0010666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4041.9441333333334, 1859.995, 999.9999333333334), (16864.5542, 1799.2255333333333, 1524.9820666666667), (33213.557, 1882.6953333333333, 1333.7489333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.04875), (5, 0.0001, 0.001222222222222222), (4, 0.04548333333333333, 0.017749999999999995), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.06125), (16100, 51.8999, 6.188777777777777), (32208, 58.154516666666666, 11.62225), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[1, 1, 1, 0, 0, 0]"
