interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable
1,"[15.884834946636882, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[476.0919837416496, 0, 0, 0, 0, 0]","[3552.9080162583505, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[640, 0, 0, 0, 0, 0]","[(25.1658, 0.004533333333333333, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4269.8342, 1859.9954666666667, 999.9998666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.001077777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.10892222222222), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
2,"[26.582278481012654, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[992.7295925686719, 0, 0, 0, 0, 0]","[3036.270407431328, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1071, 0, 0, 0, 0, 0]","[(100.31326666666666, 0.004599999999999999, 0.0002666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4194.686733333333, 1859.9954, 999.9997333333333), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.00065, 0.0012111111111111114), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.09935, 10.108788888888888), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
3,"[40.87862993298585, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[264.8407372849268, 0, 0, 0, 0, 0]","[3764.159262715073, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1647, 0, 0, 0, 0, 0]","[(134.042, 0.0047333333333333324, 0.00013333333333333337), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4160.958, 1859.9952666666666, 999.9998666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0018722222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108127777777778), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
4,"[28.91536361379995, 26.042952357442605, 0.0, 0.0, 0.0, 0.0]","[2, 2, 0, 0, 0, 0]","[908.4485487287782, 454.65570876498435, 0, 0, 0, 0]","[3120.5514512712216, 7647.344291235016, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1165, 2110, 0, 0, 0, 0]","[(48.758266666666664, 0.004666666666666667, 0.00013333333333333334), (134.91646666666668, 0.005, 0.008333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4246.241733333333, 1859.9953333333333, 999.9998666666667), (17045.083533333334, 1799.995, 1524.9916666666666), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.001111111111111111), (5, 0.0, 0.004272222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.108888888888888), (16100, 51.900000000000006, 6.185727777777777), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
5,"[44.924298833457435, 10.577635151814366, 12.420085655763142, 0.0, 0.0, 0.0]","[3, 1, 1, 0, 0, 0]","[807.1435143437543, 522.8352352017342, 2001.543193618997, 0, 0, 0]","[3221.8564856562457, 7579.164764798265, 14109.456806381004, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1810, 857, 2001, 0, 0, 0]","[(298.3187333333334, 0.5583333333333333, 0.16226666666666667), (30.05886666666666, 0.0028666666666666667, 0.003733333333333333), (41.243666666666655, 6.666666666666668e-05, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3996.6812666666665, 1859.4416666666666, 999.8377333333333), (17149.941133333334, 1799.9971333333333, 1524.9962666666668), (34318.75633333333, 1882.6999333333333, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.004900000000000001), (2, 0.0, 0.003022222222222222), (3, 0.00065, 0.00020555555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.1051), (16103, 51.900000000000006, 6.186977777777777), (32209, 58.19935, 11.639794444444444), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
6,"[42.26855299081658, 29.412490743026414, 12.420085655763142, 0.0, 0.0, 0.0]","[3, 2, 1, 0, 0, 0]","[1437.417812108127, 1416.0236468211137, 0, 0, 0, 0]","[2591.582187891873, 6685.976353178887, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1703, 2383, 2001, 0, 0, 0]","[(523.588, 0.023999999999999994, 0.026666666666666672), (159.3826666666667, 8.2798, 0.14986666666666668), (50.3308, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3771.4120000000003, 1859.976, 999.9733333333334), (17020.61733333333, 1791.7202, 1524.8501333333334), (34309.6692, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.004944444444444444), (3, 8.906633333333335, 3.6908055555555555), (3, 0.0, 7.777777777777777e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.105055555555555), (16102, 42.993366666666674, 2.499194444444444), (32209, 58.2, 11.639922222222221), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
7,"[53.95879870935716, 18.82251295976302, 12.786295077897089, 0.0, 0.0, 0.0]","[4, 1, 1, 0, 0, 0]","[708.808849284464, 1525.7075630243467, 2060.4280407364645, 0, 0, 0]","[3320.191150715536, 6576.292436975653, 14050.571959263536, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2174, 1525, 2060, 0, 0, 0]","[(329.99453333333344, 0.010933333333333333, 0.017533333333333335), (195.0344, 0.0856, 0.6087333333333332), (39.146666666666654, 0.29753333333333337, 0.0019333333333333331), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3965.0054666666665, 1859.9890666666668, 999.9824666666667), (16984.9656, 1799.9144, 1524.3912666666668), (34320.85333333333, 1882.4024666666667, 1333.7480666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.004794444444444445), (1, 0.0, 0.00017777777777777779), (1, 0.003, 0.06097777777777777), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.105205555555555), (16104, 51.900000000000006, 6.1898222222222214), (32211, 58.197, 11.579022222222221), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
8,"[36.26209977661951, 53.08565786225623, 12.786295077897089, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[501.5636322632847, 3457.4332949281106, 1039.8789760935626, 0, 0, 0]","[3527.4363677367155, 4644.566705071889, 15071.121023906437, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1461, 4301, 2060, 0, 0, 0]","[(6.946066666666666, 0.00013333333333333334, 0.00013333333333333334), (1882.5420666666669, 0.7918000000000001, 2.699733333333333), (65.71033333333331, 0.2166, 0.004533333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4288.053933333334, 1859.9998666666668, 999.9998666666667), (15297.457933333333, 1799.2082, 1522.3002666666666), (34294.289666666664, 1882.4834, 1333.7454666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.00011666666666666668), (4, 0.07586666666666667, 0.04725555555555555), (1, 0.0002833333333333333, 0.09404444444444444), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109883333333332), (16101, 51.824133333333336, 6.142744444444444), (32211, 58.19971666666667, 11.545955555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
9,"[27.674360883593945, 68.99530980004937, 12.786295077897089, 0.0, 0.0, 0.0]","[2, 5, 1, 0, 0, 0]","[875.7158234591107, 3464.872807589396, 0, 0, 0, 0]","[3153.2841765408893, 4637.127192410604, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1115, 5590, 2060, 0, 0, 0]","[(55.224, 0.0002, 0.00013333333333333334), (1845.3162666666667, 0.8337333333333334, 2.2074666666666665), (40.54486666666667, 0.21746666666666667, 0.0017333333333333335), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4239.776, 1859.9998, 999.9998666666667), (15334.683733333333, 1799.1662666666666, 1522.7925333333333), (34319.45513333334, 1882.4825333333333, 1333.7482666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0008222222222222222), (9, 0.0017166666666666665, 0.013294444444444446), (1, 0.0, 0.05373333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109177777777777), (16096, 51.89828333333334, 6.1767055555555554), (32211, 58.2, 11.586266666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
10,"[55.671382477041455, 46.09972846210812, 23.033951958289368, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[358.9476726212114, 2953.4412330855157, 3221.5930185047064, 0, 0, 0]","[3670.0523273787885, 5148.558766914484, 12889.406981495293, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2243, 3735, 3711, 0, 0, 0]","[(55.04846666666667, 0.004200000000000001, 0.004266666666666667), (628.2706666666667, 0.6993999999999999, 1.3259333333333332), (54.5256, 0.004733333333333333, 0.0002666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4239.951533333333, 1859.9958, 999.9957333333333), (16551.729333333333, 1799.3006, 1523.6740666666667), (34305.4744, 1882.6952666666666, 1333.7497333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.00047777777777777776), (6, 0.00225, 0.07190555555555556), (2, 0.0, 0.0019277777777777783), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109522222222221), (16099, 51.89775000000001, 6.118094444444444), (32210, 58.2, 11.63807222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
