interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,cpufailures,ramfailures
1,"[8.190618019359643, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[272.0421134275266, 0, 0, 0, 0, 0]","[3756.9578865724734, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[330, 0, 0, 0, 0, 0]","[3.404693830034924, 0.0, 0.0, 0.0, 0.0, 0.0]","[146.2316, 0, 0, 0, 0, 0]","[0.017866666666666666, 0, 0, 0, 0, 0]","[0.00013333333333333337, 0, 0, 0, 0, 0]","[4148.7684, 17180, 34360, 4295, 17180, 34360]","[371.9821333333333, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.99986666666666, 305.0, 266.75, 200.0, 305.0, 266.75]","[(7, 0.0, 0.003977777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.106022222222222), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
2,"[17.125837676842888, 0.0, 0.0, 0.0, 0.0, 0.0]","[6, 0, 0, 0, 0, 0]","[523.3466089129105, 0, 0, 0, 0, 0]","[3505.6533910870894, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[690, 0, 0, 0, 0, 0]","[5.35675746992627, 0.0, 0.0, 0.0, 0.0, 0.0]","[230.0727333333333, 0, 0, 0, 0, 0]","[0.0176, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[4064.9272666666666, 17180, 34360, 4295, 17180, 34360]","[371.9824, 360.0, 376.54, 372.0, 360.0, 376.54]","[200.0, 305.0, 266.75, 200.0, 305.0, 266.75]","[(11, 3.3333333333333335e-05, 0.00463888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4015, 67.09996666666666, 10.10536111111111), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
3,"[18.391660461653014, 0.0, 0.0, 0.0, 0.0, 0.0]","[7, 0, 0, 0, 0, 0]","[334.9013294481874, 0, 0, 0, 0, 0]","[3694.0986705518126, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[741, 0, 0, 0, 0, 0]","[4.581618936748157, 0.0, 0.0, 0.0, 0.0, 0.0]","[196.78053333333332, 0, 0, 0, 0, 0]","[0.017333333333333333, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[4098.219466666666, 17180, 34360, 4295, 17180, 34360]","[371.98266666666666, 360.0, 376.54, 372.0, 360.0, 376.54]","[200.0, 305.0, 266.75, 200.0, 305.0, 266.75]","[(13, 8.333333333333333e-05, 0.0034388888888888885), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4013, 67.09991666666666, 10.10656111111111), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
4,"[21.02258624968975, 7.998025178968156, 0.0, 0.0, 0.0, 0.0]","[8, 3, 0, 0, 0, 0]","[471.323338298679, 538.9357789166227, 0, 0, 0, 0]","[3557.676661701321, 7563.064221083378, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[847, 648, 0, 0, 0, 0]","[6.704583624369423, 0.46283779588668994, 0.0, 0.0, 0.0, 0.0]","[287.9618666666667, 79.51553333333334, 0, 0, 0, 0]","[0.018266666666666667, 0.10266666666666668, 0, 0, 0, 0]","[0.0048, 0.19666666666666663, 0, 0, 0, 0]","[4007.0381333333335, 17100.484466666665, 34360, 4295, 17180, 34360]","[371.98173333333335, 359.89733333333334, 376.54, 372.0, 360.0, 376.54]","[199.9952, 304.80333333333334, 266.75, 200.0, 305.0, 266.75]","[(13, 0.057666666666666665, 0.02263333333333334), (8, 0.0048833333333333315, 0.03208333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4013, 67.04233333333333, 10.087366666666666), (16097, 51.895116666666674, 6.157916666666666), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
5,"[25.912137006701414, 15.181436682300667, 0.0, 0.0, 0.0, 0.0]","[9, 6, 0, 0, 0, 0]","[795.0079964648637, 911.223976229893, 0, 0, 0, 0]","[3233.992003535136, 7190.776023770107, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1044, 1230, 0, 0, 0, 0]","[10.002477299185097, 2.135184710904152, 0.0, 0.0, 0.0, 0.0]","[429.60639999999995, 366.82473333333337, 0, 0, 0, 0]","[0.019733333333333332, 0.12333333333333334, 0, 0, 0, 0]","[0.03, 0.2481333333333334, 0, 0, 0, 0]","[3865.3936, 16813.175266666665, 34360, 4295, 17180, 34360]","[371.9802666666667, 359.87666666666667, 376.54, 372.0, 360.0, 376.54]","[199.97, 304.7518666666667, 266.75, 200.0, 305.0, 266.75]","[(18, 0.0001666666666666667, 0.0038277777777777776), (15, 0.0, 0.03405555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4008, 67.09983333333332, 10.106172222222222), (16090, 51.900000000000006, 6.155944444444444), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
6,"[39.166046165301566, 15.181436682300667, 0.0, 0.0, 0.0, 0.0]","[13, 6, 0, 0, 0, 0]","[1021.4083185546216, 709.777563244658, 0, 0, 0, 0]","[3007.5916814453785, 7392.222436755342, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1578, 1230, 0, 0, 0, 0]","[12.379767171129224, 2.372199068684517, 0.0, 0.0, 0.0, 0.0]","[531.7110000000001, 407.54380000000003, 0, 0, 0, 0]","[0.026666666666666672, 0.11533333333333333, 0, 0, 0, 0]","[0.020266666666666662, 0.21760000000000007, 0, 0, 0, 0]","[3763.2889999999998, 16772.4562, 34360, 4295, 17180, 34360]","[371.97333333333336, 359.88466666666665, 376.54, 372.0, 360.0, 376.54]","[199.97973333333334, 304.7824, 266.75, 200.0, 305.0, 266.75]","[(27, 0.00021666666666666668, 0.09334444444444444), (15, 0.03996666666666667, 0.04765), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3999, 67.09978333333333, 10.016655555555555), (16090, 51.86003333333334, 6.1423499999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
7,"[32.86175229585505, 15.292520365341892, 3.798646887219912, 0.0, 0.0, 0.0]","[11, 7, 2, 0, 0, 0]","[831.8829700695826, 814.6572742609196, 447.51860792427624, 0, 0, 0]","[3197.1170299304176, 7287.34272573908, 15663.481392075724, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1324, 1239, 612, 0, 0, 0]","[11.866053550640277, 1.6886096235933252, 0.04348447807528134, 0.0, 0.0, 0.0]","[509.6469999999999, 290.1031333333333, 14.941266666666667, 0, 0, 0]","[0.025733333333333334, 0.11359999999999999, 0.0077333333333333325, 0, 0, 0]","[0.007866666666666668, 0.21493333333333334, 0.007866666666666666, 0, 0, 0]","[3785.353, 16889.896866666666, 34345.05873333333, 4295, 17180, 34360]","[371.97426666666667, 359.8864, 376.5322666666667, 372.0, 360.0, 376.54]","[199.99213333333333, 304.7850666666667, 266.74213333333336, 200.0, 305.0, 266.75]","[(21, 0.0492, 0.021672222222222228), (17, 0.004633333333333332, 0.030855555555555553), (2, 0.0, 8.88888888888889e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4005, 67.0508, 10.088327777777778), (16088, 51.895366666666675, 6.159144444444444), (32210, 58.2, 11.63991111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
8,"[36.63440059568131, 16.94643297951123, 5.580038483024021, 0.0, 0.0, 0.0]","[13, 8, 3, 0, 0, 0]","[663.9814951210103, 575.9538269584546, 339.3196148976489, 0, 0, 0]","[3365.01850487899, 7526.046173041545, 15771.68038510235, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1476, 1373, 899, 0, 0, 0]","[11.588339930151337, 1.4136934419868061, 0.03623632130384168, 0.0, 0.0, 0.0]","[497.7191999999999, 242.87253333333328, 12.450800000000001, 0, 0, 0]","[0.051866666666666665, 0.11613333333333334, 0.010933333333333335, 0, 0, 0]","[0.027199999999999995, 0.2216, 0.0022666666666666673, 0, 0, 0]","[3797.2808, 16937.127466666665, 34347.5492, 4295, 17180, 34360]","[371.9481333333333, 359.8838666666667, 376.52906666666667, 372.0, 360.0, 376.54]","[199.9728, 304.7784, 266.7477333333333, 200.0, 305.0, 266.75]","[(26, 0.01956666666666667, 0.00688888888888889), (18, 5e-05, 0.02973888888888889), (5, 0.0, 0.001011111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4000, 67.08043333333333, 10.10311111111111), (16087, 51.899950000000004, 6.160261111111111), (32207, 58.2, 11.638988888888887), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
9,"[37.99950359890792, 21.57491977289558, 8.155918316678045, 0.0, 0.0, 0.0]","[12, 10, 5, 0, 0, 0]","[754.8304091554139, 1235.404574837571, 489.50963908753124, 0, 0, 0]","[3274.1695908445863, 6866.595425162429, 15621.490360912469, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1531, 1748, 1314, 0, 0, 0]","[20.52078230500582, 1.5385638339154055, 0.25023632130384166, 0.0, 0.0, 0.0]","[881.3676, 264.32526666666666, 85.9812, 0, 0, 0]","[0.6273333333333333, 0.018666666666666665, 0.010133333333333333, 0, 0, 0]","[0.1508, 0.007866666666666668, 0.0010666666666666667, 0, 0, 0]","[3413.6324, 16915.674733333333, 34274.0188, 4295, 17180, 34360]","[371.37266666666665, 359.98133333333334, 376.5298666666667, 372.0, 360.0, 376.54]","[199.8492, 304.99213333333336, 266.74893333333335, 200.0, 305.0, 266.75]","[(21, 0.0013666666666666664, 0.01693888888888889), (19, 0.0, 0.028844444444444447), (11, 0.0, 0.0017444444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4005, 67.09863333333332, 10.09306111111111), (16086, 51.900000000000006, 6.161155555555555), (32201, 58.2, 11.638255555555554), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
10,"[26.95457930007446, 32.79437176005924, 6.026938116814598, 0.0, 0.0, 0.0]","[8, 15, 4, 0, 0, 0]","[678.680220453289, 1823.8229575756077, 494.32653136312194, 0, 0, 0]","[3350.319779546711, 6278.177042424392, 15616.673468636878, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1086, 2657, 971, 0, 0, 0]","[14.764204889406289, 2.8739379123011255, 0.29550504462553356, 0.0, 0.0, 0.0]","[634.1226, 493.74253333333337, 101.53553333333333, 0, 0, 0]","[0.5999999999999999, 0.08946666666666664, 0.0096, 0, 0, 0]","[0.10933333333333334, 0.10426666666666667, 0.00026666666666666673, 0, 0, 0]","[3660.8774, 16686.257466666666, 34258.464466666665, 4295, 17180, 34360]","[371.4, 359.9105333333333, 376.53040000000004, 372.0, 360.0, 376.54]","[199.89066666666668, 304.89573333333334, 266.7497333333333, 200.0, 305.0, 266.75]","[(13, 0.0, 0.014766666666666666), (30, 0.00041666666666666664, 0.006866666666666667), (8, 0.0, 0.0021277777777777775), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4013, 67.1, 10.095233333333333), (16075, 51.89958333333334, 6.183133333333333), (32204, 58.2, 11.63787222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
11,"[23.504591710101764, 32.2759812392002, 6.691080628142262, 0.0, 0.0, 0.0]","[8, 15, 4, 0, 0, 0]","[736.6895563251744, 1193.9539940871764, 556.2069814622089, 0, 0, 0]","[3292.3104436748254, 6908.046005912824, 15554.793018537792, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[947, 2615, 1078, 0, 0, 0]","[6.5306216530849825, 3.5836717112921996, 0.16249980597594105, 0.0, 0.0, 0.0]","[280.4902, 615.6747999999999, 55.83493333333334, 0, 0, 0]","[0.056799999999999996, 0.6123999999999999, 0.06773333333333334, 0, 0, 0]","[0.07053333333333332, 0.48199999999999993, 0.060933333333333346, 0, 0, 0]","[4014.5098, 16564.3252, 34304.16506666667, 4295, 17180, 34360]","[371.9432, 359.3876, 376.4722666666667, 372.0, 360.0, 376.54]","[199.92946666666666, 304.518, 266.6890666666667, 200.0, 305.0, 266.75]","[(14, 0.0, 0.008755555555555555), (30, 0.0031499999999999996, 0.06405555555555555), (9, 0.0, 0.0021666666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4012, 67.1, 10.101244444444443), (16075, 51.89685000000001, 6.1259444444444435), (32203, 58.2, 11.637833333333331), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
12,"[22.561429635145196, 19.94569242162429, 14.021476010179382, 0.0, 0.0, 0.0]","[8, 10, 9, 0, 0, 0]","[297.38783873720433, 697.34045797107, 1942.2537483918268, 0, 0, 0]","[3731.612161262796, 7404.65954202893, 14168.746251608172, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[909, 1616, 2259, 0, 0, 0]","[7.066720993403182, 4.086520760574311, 2.2427613504074504, 0.0, 0.0, 0.0]","[303.5156666666667, 702.0642666666666, 770.6127999999999, 0, 0, 0]","[0.048666666666666664, 1.0145333333333335, 1.1137333333333335, 0, 0, 0]","[0.055733333333333336, 0.4756, 0.37933333333333336, 0, 0, 0]","[3991.4843333333333, 16477.935733333332, 33589.3872, 4295, 17180, 34360]","[371.9513333333333, 358.98546666666664, 375.42626666666666, 372.0, 360.0, 376.54]","[199.94426666666666, 304.5244, 266.3706666666667, 200.0, 305.0, 266.75]","[(14, 0.003116666666666667, 0.014905555555555557), (18, 0.0002666666666666666, 0.055905555555555576), (16, 3.3333333333333335e-05, 0.011516666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4012, 67.09688333333332, 10.095094444444443), (16087, 51.89973333333334, 6.134094444444444), (32196, 58.19996666666667, 11.628483333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
13,"[16.281955820302805, 22.389533448531225, 19.62013531127801, 0.0, 0.0, 0.0]","[6, 10, 13, 0, 0, 0]","[278.73053897884614, 1310.3415308731508, 1978.8108893267686, 0, 0, 0]","[3750.269461021154, 6791.658469126849, 14132.189110673231, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[656, 1814, 3161, 0, 0, 0]","[3.4697415599534347, 5.0989809856422195, 2.320829646876213, 0.0, 0.0, 0.0]","[149.02540000000002, 876.0049333333333, 797.4370666666667, 0, 0, 0]","[0.018799999999999997, 1.6019999999999999, 0.0892, 0, 0, 0]","[0.0188, 0.5785333333333333, 0.13360000000000002, 0, 0, 0]","[4145.9746, 16303.995066666666, 33562.562933333335, 4295, 17180, 34360]","[371.9812, 358.398, 376.4508, 372.0, 360.0, 376.54]","[199.9812, 304.4214666666667, 266.6164, 200.0, 305.0, 266.75]","[(9, 0.001633333333333333, 0.0008388888888888889), (19, 0.00015000000000000001, 0.056744444444444445), (24, 5e-05, 0.01757222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.09836666666666, 10.10916111111111), (16086, 51.89985000000001, 6.1332555555555555), (32188, 58.19995, 11.622427777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
14,"[13.948870687515512, 23.636139224882747, 19.22289119235305, 0.0, 0.0, 0.0]","[5, 11, 13, 0, 0, 0]","[429.949534626624, 1320.0395623859606, 2094.022300934975, 0, 0, 0]","[3599.050465373376, 6781.96043761404, 14016.977699065024, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[562, 1915, 3097, 0, 0, 0]","[3.5419899107489328, 5.804965851765619, 2.381101668606907, 0.0, 0.0, 0.0]","[152.12846666666667, 997.2931333333333, 818.1465333333332, 0, 0, 0]","[0.024266666666666662, 1.5821333333333332, 0.08146666666666667, 0, 0, 0]","[0.023466666666666663, 0.6206666666666666, 0.11253333333333333, 0, 0, 0]","[4142.871533333333, 16182.706866666667, 33541.85346666667, 4295, 17180, 34360]","[371.9757333333333, 358.41786666666667, 376.4585333333334, 372.0, 360.0, 376.54]","[199.97653333333332, 304.3793333333333, 266.6374666666667, 200.0, 305.0, 266.75]","[(9, 0.002466666666666667, 0.009433333333333332), (19, 0.001333333333333333, 0.06364444444444443), (26, 0.0, 0.009772222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.09753333333333, 10.100566666666666), (16086, 51.89866666666667, 6.126355555555555), (32186, 58.2, 11.630227777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
15,"[19.33482253660958, 23.142433966921747, 20.184966792874434, 0.0, 0.0, 0.0]","[6, 10, 13, 0, 0, 0]","[470.1149093383364, 1234.1505549836904, 1168.8202702796746, 0, 0, 0]","[3558.8850906616635, 6867.84944501631, 14942.179729720325, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[779, 1875, 3252, 0, 0, 0]","[10.899717500970118, 11.063887077997672, 1.471174427629026, 0.0, 0.0, 0.0]","[468.1428666666665, 1900.7758000000001, 505.49553333333336, 0, 0, 0]","[0.027866666666666665, 1.1671999999999998, 0.08053333333333333, 0, 0, 0]","[0.013066666666666667, 0.4793333333333333, 0.11333333333333331, 0, 0, 0]","[3826.8571333333334, 15279.2242, 33854.504466666665, 4295, 17180, 34360]","[371.9721333333333, 358.8328, 376.4594666666667, 372.0, 360.0, 376.54]","[199.98693333333333, 304.52066666666667, 266.63666666666666, 200.0, 305.0, 266.75]","[(12, 0.00015, 0.002444444444444444), (18, 0.0, 0.06256666666666666), (29, 0.0, 0.009283333333333331), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4014, 67.09984999999999, 10.107555555555555), (16087, 51.900000000000006, 6.127433333333332), (32183, 58.2, 11.630716666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
16,"[21.543807396376273, 18.6620587509257, 13.872509465582523, 0.0, 0.0, 0.0]","[6, 8, 9, 0, 0, 0]","[437.762466105193, 755.1886497739572, 1902.0966282533127, 0, 0, 0]","[3591.237533894807, 7346.811350226043, 14208.903371746688, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[868, 1512, 2235, 0, 0, 0]","[6.395388436166084, 8.128529685681025, 0.5284503298409002, 0.0, 0.0, 0.0]","[274.68193333333335, 1396.4814000000001, 181.57553333333334, 0, 0, 0]","[0.0276, 0.04306666666666667, 0.018666666666666668, 0, 0, 0]","[0.012933333333333333, 0.055999999999999994, 0.00013333333333333337, 0, 0, 0]","[4020.3180666666667, 15783.5186, 34178.424466666664, 4295, 17180, 34360]","[371.9724, 359.9569333333333, 376.52133333333336, 372.0, 360.0, 376.54]","[199.98706666666666, 304.944, 266.74986666666666, 200.0, 305.0, 266.75]","[(12, 0.0, 0.002722222222222222), (17, 0.0, 0.008672222222222222), (21, 0.0, 0.0033944444444444447), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4014, 67.1, 10.107277777777778), (16088, 51.900000000000006, 6.181327777777777), (32191, 58.2, 11.636605555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
