interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,cpufailures,ramfailures
1,"[11.69024571854058, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[267.6050180976449, 0, 0, 0, 0, 0]","[3761.394981902355, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[471, 0, 0, 0, 0, 0]","[0.3621171905316259, 0.0, 0.0, 0.0, 0.0, 0.0]","[15.552933333333332, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[4279.447066666667, 17180, 34360, 4295, 17180, 34360]","[372.0, 360.0, 376.54, 372.0, 360.0, 376.54]","[200.0, 305.0, 266.75, 200.0, 305.0, 266.75]","[(2, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
2,"[28.294862248696944, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[4029, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1140, 0, 0, 0, 0, 0]","[0.8340830422972447, 0.0, 0.0, 0.0, 0.0, 0.0]","[35.82386666666666, 0, 0, 0, 0, 0]","[0.008400000000000001, 0, 0, 0, 0, 0]","[0.008533333333333334, 0, 0, 0, 0, 0]","[4259.176133333333, 17180, 34360, 4295, 17180, 34360]","[371.9916, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.99146666666667, 305.0, 266.75, 200.0, 305.0, 266.75]","[(4, 0.0, 8.333333333333333e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109916666666667), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
3,"[11.888806155373542, 23.62379659343372, 0.0, 0.0, 0.0, 0.0]","[1, 2, 0, 0, 0, 0]","[439.0876958201859, 1914.6853713306891, 0, 0, 0, 0]","[3589.912304179814, 6187.314628669311, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[479, 1914, 0, 0, 0, 0]","[1.6926938300349244, 0.0406814124951494, 0.0, 0.0, 0.0, 0.0]","[72.7012, 6.989066666666667, 0, 0, 0, 0]","[0.009333333333333334, 0.0, 0, 0, 0, 0]","[0.00013333333333333337, 0.002, 0, 0, 0, 0]","[4222.2988, 17173.010933333335, 34360, 4295, 17180, 34360]","[371.99066666666664, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.99986666666666, 304.998, 266.75, 200.0, 305.0, 266.75]","[(1, 0.0, 0.0011111111111111111), (5, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4025, 67.1, 10.108888888888888), (16100, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
4,"[25.515016133035495, 23.62379659343372, 0.0, 0.0, 0.0, 0.0]","[2, 2, 0, 0, 0, 0]","[924.3448485077337, 1165.3008367242637, 0, 0, 0, 0]","[3104.655151492266, 6936.699163275736, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1028, 1914, 0, 0, 0, 0]","[19.710109429569265, 0.035596429957314706, 0.0, 0.0, 0.0, 0.0]","[846.5491999999999, 6.115466666666666, 0, 0, 0, 0]","[2.799066666666666, 0.0, 0, 0, 0, 0]","[0.0112, 0.002, 0, 0, 0, 0]","[3448.4508, 17173.884533333334, 34360, 4295, 17180, 34360]","[369.20093333333335, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.9888, 304.998, 266.75, 200.0, 305.0, 266.75]","[(2, 0.0, 0.010716666666666668), (5, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.099283333333332), (16100, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
5,"[38.24770414494912, 23.62379659343372, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[1301.9264983899232, 0, 0, 0, 0, 0]","[2727.073501610077, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1541, 1914, 0, 0, 0, 0]","[17.333811408614668, 0.23904850601474587, 0.0, 0.0, 0.0, 0.0]","[744.4872, 41.068533333333335, 0, 0, 0, 0]","[1.3053333333333335, 0.0, 0, 0, 0, 0]","[0.006933333333333334, 0.002, 0, 0, 0, 0]","[3550.5128, 17138.931466666665, 34360, 4295, 17180, 34360]","[370.69466666666665, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.99306666666666, 304.998, 266.75, 200.0, 305.0, 266.75]","[(5, 0.0, 0.001288888888888889), (5, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108711111111111), (16100, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
6,"[51.00521221146687, 0.0, 22.096704115200794, 0.0, 0.0, 0.0]","[4, 0, 2, 0, 0, 0]","[1389.6940136850349, 0, 2719.6543741684577, 0, 0, 0]","[2639.305986314965, 8102, 13391.345625831542, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2055, 0, 3560, 0, 0, 0]","[17.610483507954985, 0.0, 0.8382072176949942, 0.0, 0.0, 0.0]","[756.3702666666666, 0, 288.008, 0, 0, 0]","[1.2998666666666667, 0, 0.03666666666666666, 0, 0, 0]","[0.0096, 0, 0.012, 0, 0, 0]","[3538.629733333333, 17180, 34071.992, 4295, 17180, 34360]","[370.7001333333333, 360.0, 376.50333333333333, 372.0, 360.0, 376.54]","[199.9904, 305.0, 266.738, 200.0, 305.0, 266.75]","[(6, 0.0, 0.0012777777777777774), (0, 0, 0), (3, 0.11005, 0.050833333333333335), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108722222222221), (16105, 51.900000000000006, 6.1899999999999995), (32209, 58.08995, 11.589166666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
7,"[57.3343261355175, 16.51444087879536, 22.096704115200794, 0.0, 0.0, 0.0]","[4, 1, 2, 0, 0, 0]","[928.4538353577325, 1334.8951447236057, 2867.9608498007947, 0, 0, 0]","[3100.5461646422673, 6767.104855276394, 13243.039150199205, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2310, 1338, 3560, 0, 0, 0]","[14.953424912689176, 0.05797904540162979, 0.6591734575087311, 0.0, 0.0, 0.0]","[642.2496000000001, 9.960799999999999, 226.49200000000002, 0, 0, 0]","[1.2642666666666666, 0.0, 0.045333333333333344, 0, 0, 0]","[0.011333333333333336, 0.0, 0.0172, 0, 0, 0]","[3652.7504, 17170.0392, 34133.508, 4295, 17180, 34360]","[370.7357333333333, 360.0, 376.49466666666666, 372.0, 360.0, 376.54]","[199.98866666666666, 305.0, 266.7328, 200.0, 305.0, 266.75]","[(8, 0.0, 0.0002666666666666667), (2, 0.0, 0.0), (3, 0.00315, 0.0018611111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.109733333333333), (16103, 51.900000000000006, 6.1899999999999995), (32209, 58.196850000000005, 11.638138888888887), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
8,"[42.31819310002482, 41.1873611453962, 22.096704115200794, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[1317.507483519786, 3208.814253561115, 1739.3188752290168, 0, 0, 0]","[2711.492516480214, 4893.185746438885, 14371.681124770983, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1705, 3337, 3560, 0, 0, 0]","[1.448474970896391, 2.97796585176562, 0.7812409778812573, 0.0, 0.0, 0.0]","[62.212, 511.6145333333335, 268.43440000000004, 0, 0, 0]","[0.0, 0.0, 0.05413333333333333, 0, 0, 0]","[0.0, 0.00013333333333333337, 0.017466666666666665, 0, 0, 0]","[4232.788, 16668.385466666667, 34091.5656, 4295, 17180, 34360]","[372.0, 360.0, 376.4858666666667, 372.0, 360.0, 376.54]","[200.0, 304.99986666666666, 266.7325333333333, 200.0, 305.0, 266.75]","[(7, 0.0, 0.00011666666666666667), (7, 0.0, 0.007066666666666666), (3, 0.0056500000000000005, 0.02482777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109883333333332), (16098, 51.900000000000006, 6.182933333333333), (32209, 58.19435, 11.61517222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
9,"[59.04690990320178, 41.1873611453962, 12.010427658121781, 0.0, 0.0, 0.0]","[4, 3, 1, 0, 0, 0]","[446.2848497873626, 1953.205611649672, 0, 0, 0, 0]","[3582.7151502126376, 6148.7943883503285, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2379, 3337, 1935, 0, 0, 0]","[3.3934528521536675, 2.398135040745052, 0.7731028327512612, 0.0, 0.0, 0.0]","[145.74880000000002, 411.9996, 265.63813333333337, 0, 0, 0]","[0.006, 0.0, 0.06853333333333333, 0, 0, 0]","[0.0006666666666666666, 0.0, 0.022666666666666672, 0, 0, 0]","[4149.2512, 16768.0004, 34094.361866666666, 4295, 17180, 34360]","[371.994, 360.0, 376.4714666666667, 372.0, 360.0, 376.54]","[199.99933333333334, 305.0, 266.7273333333333, 200.0, 305.0, 266.75]","[(10, 1.666666666666667e-05, 0.00025), (7, 0.0, 0.0018611111111111111), (1, 0.004566666666666667, 0.027766666666666665), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4016, 67.09998333333333, 10.10975), (16098, 51.900000000000006, 6.188138888888888), (32211, 58.195433333333334, 11.612233333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
10,"[29.908165797964752, 57.40557886941497, 11.011110421451182, 0.0, 0.0, 0.0]","[2, 5, 1, 0, 0, 0]","[1073.28852417973, 3960.8773176319773, 1645.2825219566423, 0, 0, 0]","[2955.7114758202697, 4141.122682368023, 14465.717478043358, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1205, 4651, 1774, 0, 0, 0]","[2.697685681024447, 23.49223515715949, 0.3255180442374854, 0.0, 0.0, 0.0]","[115.8656, 4035.9660000000003, 111.848, 0, 0, 0]","[0.058133333333333335, 1.5768000000000002, 0.0092, 0, 0, 0]","[0.057733333333333345, 0.02586666666666667, 0.00013333333333333337, 0, 0, 0]","[4179.1344, 13144.034, 34248.152, 4295, 17180, 34360]","[371.94186666666667, 358.4232, 376.5308, 372.0, 360.0, 376.54]","[199.94226666666665, 304.9741333333333, 266.74986666666666, 200.0, 305.0, 266.75]","[(6, 0.0, 0.00010555555555555555), (11, 0.0, 0.005350000000000001), (1, 0.0, 0.0010999999999999998), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109894444444445), (16094, 51.900000000000006, 6.1846499999999995), (32211, 58.2, 11.6389), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
