interval,totalcontainers,newcontainers,deployed,migrations,inqueue
1,1,1,1,1,0
2,2,1,1,1,0
3,5,3,3,3,0
4,6,1,1,1,0
5,7,1,1,1,0
6,10,3,3,3,0
7,12,2,2,2,0
8,15,3,3,3,0
9,16,1,1,1,0
10,21,5,5,5,0
11,22,1,1,1,0
12,25,3,3,3,0
13,30,5,5,5,0
14,32,2,2,2,0
15,36,4,4,4,0
16,40,4,4,4,0
17,42,2,2,2,0
18,47,5,5,5,0
19,49,2,2,2,0
20,52,3,3,3,0
21,54,2,2,2,0
22,57,3,3,3,0
23,60,3,3,3,0
24,63,3,3,3,0
25,66,3,3,3,0
26,69,3,3,3,0
27,72,3,3,3,0
28,76,4,4,4,0
29,79,3,3,3,0
30,82,3,3,3,0
31,85,3,3,3,0
32,88,3,3,3,0
33,91,3,3,3,0
34,94,3,3,3,0
35,97,3,3,3,0
36,100,3,3,3,0
37,103,3,3,3,0
38,105,2,2,2,0
39,107,2,2,2,0
40,112,5,5,5,0
41,115,3,3,3,0
42,116,1,1,1,0
43,120,4,4,4,0
44,123,3,3,3,0
45,125,2,2,2,0
46,128,3,3,3,0
47,132,4,4,4,0
48,134,2,2,2,0
49,137,3,3,3,0
50,140,3,3,3,0
51,145,5,5,5,0
52,147,2,2,2,0
53,152,5,5,5,0
54,154,2,2,2,0
55,156,2,2,2,0
56,160,4,4,4,0
57,164,4,4,4,0
58,166,2,2,2,0
59,169,3,3,3,0
60,171,2,2,2,0
61,176,5,5,5,0
62,178,2,2,2,0
63,181,3,3,3,0
64,183,2,2,2,0
65,186,3,3,3,0
66,187,1,1,1,0
67,194,7,7,7,0
68,195,1,1,1,0
69,197,2,2,2,0
70,202,5,5,5,0
71,205,3,3,3,0
72,207,2,2,2,0
73,209,2,2,2,0
74,215,6,6,6,0
75,217,2,2,2,0
76,220,3,3,3,0
77,224,4,4,4,0
78,227,3,3,3,0
79,229,2,2,2,0
80,231,2,2,2,0
81,235,4,4,4,0
82,238,3,3,3,0
83,241,3,3,3,0
84,244,3,3,3,0
85,247,3,3,3,0
86,250,3,3,3,0
87,251,1,1,1,0
88,256,5,5,5,0
89,258,2,2,2,0
90,260,2,2,2,0
91,267,7,7,7,0
92,268,1,1,1,0
93,270,2,2,2,0
94,274,4,4,4,0
95,277,3,3,3,0
96,279,2,2,2,0
97,283,4,4,4,0
98,285,2,2,2,0
99,289,4,4,4,0
100,291,2,2,2,0
101,293,2,2,2,0
102,296,3,3,3,0
103,302,6,6,6,0
104,304,2,2,2,0
105,308,4,4,4,0
106,311,3,3,3,0
107,314,3,3,3,0
108,317,3,3,3,0
109,319,2,2,2,0
110,321,2,2,2,0
111,325,4,4,4,0
112,327,2,2,2,0
113,331,4,4,4,0
114,333,2,2,2,0
115,335,2,2,2,0
116,340,5,5,5,0
117,342,2,2,2,0
118,345,3,3,3,0
119,348,3,3,3,0
120,351,3,3,3,0
