interval,activecontainers,ips,apparentips,ram,disk,creationids,hostalloc,active
1,1,"[605.2074355786712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[605.2074355786712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(13.630799999999999, 0.002, 0.001), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(1, 0.0, 0.0003833333333333333), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
2,2,"[0, 426.67913363334486, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[605.2074355786712, 426.67913363334486, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(21.32053333333333, 0.002, 0.001), (6.116, 0.0038666666666666663, 0.002), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(1, 0.0, 0.00037222222222222225), (3, 0.0, 0.00018888888888888888), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
3,3,"[676.3704021294876, 419.9858931973065, 439.1948243283037, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1249.9777185935363, 426.67913363334486, 576.7059427619771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(1272.2718666666667, 0.0006666666666666666, 0.001), (5.067399999999999, 0.004, 0.002), (33.5544, 0.004666666666666667, 6.666666666666668e-05), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(1, 0.0, 0.00017777777777777779), (3, 0.0, 0.00016111111111111108), (1, 0.0, 0.0011111111111111111), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 1, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
4,4,"[0, 0, 407.2953313908976, 452.02184410195173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1249.9777185935363, 426.67913363334486, 576.7059427619771, 645.2798230237914, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(1181.3953333333332, 0.0004, 0.001), (6.640266666666666, 0.004, 0.002), (8.3886, 0.004733333333333333, 0.0), (261.44446666666676, 0.5536, 0.16226666666666667), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(1, 0.0, 0.0001111111111111111), (3, 0.0, 0.00018888888888888888), (1, 0.0, 0.001472222222222222), (1, 0.0, 0.003850000000000001), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 1, 3, 4, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
5,5,"[0, 1001.7714058927403, 0, 426.29443601757237, 485.97200743316597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2148.2853171616557, 1010.1074178279766, 576.7059427619771, 645.2798230237914, 643.187101675752, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(97.867, 0.5311333333333333, 0.43746666666666656), (92.27453333333334, 6.666666666666668e-05, 6.666666666666668e-05), (33.5544, 0.004666666666666667, 0.0), (436.207, 0.019333333333333327, 0.026666666666666672), (5.592, 0.0, 0.0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(1, 0.0, 0.0014666666666666662), (3, 0.0, 0.0017666666666666666), (1, 0.0, 0.0010999999999999998), (1, 0.0, 0.003427777777777778), (3, 5e-05, 0.34744444444444444), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 6, 3, 4, 7, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[2, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
6,5,"[1416.0236468211137, 1010.1074178279766, 373.69944797718307, 0, 595.8559388893273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1525.7075630243467, 1010.1074178279766, 631.0513939179824, 645.2798230237914, 643.187101675752, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(130.0228666666667, 8.2766, 0.1462), (79.69146666666666, 0.00013333333333333334, 6.666666666666668e-05), (16.7766, 6.666666666666668e-05, 6.666666666666668e-05), (307.58166666666676, 0.0061333333333333335, 0.017533333333333335), (2.097, 0.0, 0.0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(1, 8.906633333333335, 3.6877999999999997), (3, 0.0, 0.0011666666666666668), (1, 0.0, 0.00016666666666666666), (1, 0.0, 0.0036333333333333335), (3, 0.0, 7.777777777777777e-05), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[8, 6, 9, 4, 7, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
7,6,"[1525.7075630243467, 0, 376.14446734271894, 1334.8952441792542, 0, 451.83259181833955, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1525.7075630243467, 1010.1074178279766, 631.0513939179824, 1338.6974430050514, 643.187101675752, 530.6080136093541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(195.0344, 0.0856, 0.6087333333333332), (41.9426, 0.0, 0.0), (14.6794, 0.0, 0.0), (47.3602, 0.0006, 0.004533333333333333), (11.1842, 0.0, 0.0), (211.1128, 0.003733333333333333, 0.006266666666666668), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(1, 0.0, 0.00017777777777777779), (3, 0.0, 0.0012277777777777777), (1, 0.0, 0.0), (2, 0.0007666666666666667, 0.00029444444444444445), (3, 0.0, 8.88888888888889e-05), (1, 0.0, 0.0010055555555555558), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[8, 6, 9, 10, 7, 11, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 0, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
8,7,"[1426.741099033347, 1626.0301554285925, 538.3997785880981, 1319.7662997972957, 915.8908929650686, 530.6080136093541, 383.59399772098897, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1525.7075630243467, 1929.1756166240234, 631.0513939179824, 1338.6974430050514, 1009.7454258191793, 530.6080136093541, 661.0283556905348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(106.95439999999999, 0.1056, 1.2295999999999998), (39.146800000000006, 0.004733333333333333, 6.666666666666668e-05), (13.281533333333332, 0.0, 0.0), (50.506066666666655, 0.0004, 0.0028), (44.7392, 0.0046, 6.666666666666668e-05), (185.94693333333333, 0.0036666666666666666, 0.0061333333333333335), (8.7374, 0.0, 0.0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(1, 1.666666666666667e-05, 0.00022222222222222226), (2, 0.0, 0.0010999999999999998), (1, 0.0, 0.0), (2, 3.3333333333333335e-05, 0.00031666666666666665), (3, 0.0, 0.0011166666666666666), (1, 0.0, 0.0005777777777777778), (1, 0.0, 0.0012000000000000001), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[8, 12, 9, 10, 13, 11, 14, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 2, 0, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
9,8,"[0, 1929.1756166240234, 0, 0, 1007.7389936476189, 0, 401.2896804471603, 605.2074355786712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1525.7075630243467, 1929.1756166240234, 631.0513939179824, 1338.6974430050514, 1009.7454258191793, 530.6080136093541, 661.0283556905348, 605.2074355786712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(169.86860000000001, 0.08973333333333332, 0.9770666666666667), (36.3506, 0.004666666666666667, 0.0), (15.728, 0.0, 0.0), (78.64266666666668, 0.0004, 0.0030666666666666668), (83.886, 0.0046, 0.0), (191.5396, 0.0036666666666666666, 0.0062), (17.126133333333335, 0.0, 0.0), (13.630799999999999, 0.002, 0.001), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(1, 0.0, 0.00025), (2, 0.0, 0.0010333333333333334), (1, 0.0, 1.1111111111111112e-05), (2, 0.06351666666666665, 0.014094444444444444), (3, 0.0, 0.0010166666666666666), (1, 1.666666666666667e-05, 0.0006000000000000001), (1, 0.0, 0.0013222222222222222), (1, 0.0, 0.0003833333333333333), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[8, 12, 9, 10, 13, 11, 14, 15, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 2, 0, 1, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
10,9,"[2647.7836930219532, 0, 762.5521196399111, 2060.4280407364645, 0, 956.2374912637823, 0, 306.5041341463717, 443.6949634928696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2647.7836930219532, 1929.1756166240234, 1249.5711266940536, 2060.4280407364645, 1009.7454258191793, 1529.225866320342, 661.0283556905348, 605.2074355786712, 457.73155329463674, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7.1647333333333325, 0.0514, 0.054666666666666655), (16.7772, 0.0046, 0.0), (121.63446666666664, 0.017466666666666665, 0.003533333333333333), (39.146666666666654, 0.29753333333333337, 0.0019333333333333331), (41.943, 0.0044, 0.0), (1001.0402666666668, 0.0002666666666666667, 0.0008), (23.0682, 0.0, 0.0), (21.32053333333333, 0.002, 0.001), (55.924, 0.004733333333333333, 0.0002), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(2, 0.0, 0.0004388888888888889), (2, 0.0, 0.0010555555555555557), (1, 0.0032333333333333337, 0.00037777777777777777), (1, 0.003, 0.06097777777777777), (3, 0.0, 0.0010333333333333334), (2, 0.0, 6.666666666666667e-05), (1, 0.0, 0.0013722222222222222), (1, 0.0, 0.00037222222222222225), (3, 0.0, 0.0011333333333333332), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[16, 12, 17, 18, 13, 19, 14, 15, 20, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[2, 2, 1, 2, 1, 1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
