interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable
1,"[15.016133035492679, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[605.2074355786712, 0, 0, 0, 0, 0]","[3423.7925644213287, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[605, 0, 0, 0, 0, 0]","[(13.630799999999999, 0.002, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4281.3692, 1859.998, 999.999), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(1, 0.0, 0.0003833333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4025, 67.1, 10.109616666666666), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
2,"[25.589476296847852, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[426.67913363334486, 0, 0, 0, 0, 0]","[3602.320866366655, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1031, 0, 0, 0, 0, 0]","[(27.43653333333333, 0.005866666666666666, 0.003), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4267.5634666666665, 1859.9941333333334, 999.997), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0005611111111111112), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109438888888889), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
3,"[24.894514767932492, 15.41594667983214, 0.0, 0.0, 0.0, 0.0]","[2, 1, 0, 0, 0, 0]","[859.1807175256101, 676.3704021294876, 0, 0, 0, 0]","[3169.81928247439, 7425.629597870512, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1003, 1249, 0, 0, 0, 0]","[(38.6218, 0.008666666666666666, 0.0020666666666666667), (1272.2718666666667, 0.0006666666666666666, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4256.3782, 1859.9913333333334, 999.9979333333333), (15907.728133333334, 1799.9993333333334, 1524.999), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0012722222222222221), (1, 0.0, 0.00017777777777777779), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.108727777777776), (16104, 51.900000000000006, 6.1898222222222214), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
4,"[40.90344998758997, 15.41594667983214, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[859.3171754928494, 0, 0, 0, 0, 0]","[3169.6828245071506, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1648, 1249, 0, 0, 0, 0]","[(276.4733333333334, 0.5623333333333334, 0.16426666666666667), (1181.3953333333332, 0.0004, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018.5266666666666, 1859.4376666666667, 999.8357333333333), (15998.604666666666, 1799.9996, 1524.999), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.005511111111111112), (1, 0.0, 0.0001111111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.104488888888888), (16104, 51.900000000000006, 6.1898888888888886), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
5,"[46.28940183668404, 12.466057763515181, 13.332505741418906, 0.0, 0.0, 0.0]","[3, 1, 1, 0, 0, 0]","[912.2664434507383, 1001.7714058927403, 0, 0, 0, 0]","[3116.7335565492617, 7100.22859410726, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1865, 1010, 2148, 0, 0, 0]","[(475.35339999999997, 0.023999999999999994, 0.026666666666666672), (92.27453333333334, 6.666666666666668e-05, 6.666666666666668e-05), (97.867, 0.5311333333333333, 0.43746666666666656), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3819.6466, 1859.976, 999.9733333333334), (17087.725466666667, 1799.9999333333333, 1524.9999333333333), (34262.133, 1882.1688666666666, 1333.3125333333332), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 5e-05, 0.35197222222222224), (3, 0.0, 0.0017666666666666666), (1, 0.0, 0.0014666666666666662), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.09994999999999, 9.758027777777777), (16102, 51.900000000000006, 6.188233333333333), (32211, 58.2, 11.638533333333331), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
6,"[47.62968478530652, 31.2885707232782, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[969.5553868665104, 2426.13106464909, 0, 0, 0, 0]","[3059.44461313349, 5675.86893535091, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1919, 2535, 0, 0, 0, 0]","[(326.4552666666667, 0.0062, 0.0176), (209.71433333333334, 8.276733333333334, 0.14626666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3968.544733333333, 1859.9938, 999.9824), (16970.285666666667, 1791.7232666666666, 1524.8537333333334), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0038777777777777777), (4, 8.906633333333335, 3.6889666666666665), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.106122222222222), (16101, 42.993366666666674, 2.501033333333333), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
7,"[44.77537850583271, 47.81535423352259, 0.0, 0.0, 0.0, 0.0]","[3, 3, 0, 0, 0, 0]","[827.9770591610585, 2860.6028072036006, 0, 0, 0, 0]","[3201.0229408389414, 5241.397192796399, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1804, 3874, 0, 0, 0, 0]","[(236.97639999999998, 0.003733333333333333, 0.006266666666666668), (284.3372, 0.0862, 0.6132666666666665), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4058.0236, 1859.9962666666668, 999.9937333333334), (16895.6628, 1799.9138, 1524.3867333333333), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0010944444444444448), (6, 0.0007666666666666667, 0.0017), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108905555555555), (16099, 51.89923333333334, 6.1883), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
8,"[45.22213948870687, 47.81535423352259, 11.973186021972564, 0.0, 0.0, 0.0]","[3, 3, 1, 0, 0, 0]","[1452.601789918441, 3662.398291795711, 1626.0301554285925, 0, 0, 0]","[2576.3982100815592, 4439.601708204289, 14484.969844571408, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1822, 3874, 1929, 0, 0, 0]","[(207.96586666666667, 0.0036666666666666666, 0.0061333333333333335), (202.19966666666664, 0.1106, 1.2324666666666664), (39.146800000000006, 0.004733333333333333, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4087.0341333333336, 1859.9963333333333, 999.9938666666667), (16977.800333333333, 1799.8894, 1523.7675333333334), (34320.8532, 1882.6952666666666, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.0017777777777777779), (6, 5.000000000000001e-05, 0.0016555555555555555), (2, 0.0, 0.0010999999999999998), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.108222222222222), (16099, 51.899950000000004, 6.188344444444444), (32210, 58.2, 11.6389), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
9,"[60.23827252419955, 47.81535423352259, 11.973186021972564, 0.0, 0.0, 0.0]","[4, 3, 1, 0, 0, 0]","[1006.4971160258315, 1007.7389936476189, 1929.1756166240234, 0, 0, 0]","[3022.5028839741685, 7094.261006352381, 14181.824383375977, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2427, 3874, 1929, 0, 0, 0]","[(238.02453333333335, 0.005666666666666667, 0.0072), (332.3972666666667, 0.09473333333333331, 0.9801333333333334), (36.3506, 0.004666666666666667, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4056.9754666666668, 1859.9943333333333, 999.9928), (16847.602733333333, 1799.9052666666666, 1524.0198666666668), (34323.6494, 1882.6953333333333, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 1.666666666666667e-05, 0.0023166666666666665), (6, 0.06351666666666665, 0.01536111111111111), (2, 0.0, 0.0010333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.09998333333333, 10.107683333333332), (16099, 51.83648333333334, 6.174638888888889), (32210, 58.2, 11.638966666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
10,"[42.76495408289898, 46.75388792890644, 41.1954565203898, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[750.1990976392412, 1718.7896109036933, 4708.211733758418, 0, 0, 0]","[3278.8009023607588, 6383.210389096306, 11402.788266241583, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1723, 3788, 6637, 0, 0, 0]","[(100.31273333333334, 0.006733333333333333, 0.0012000000000000001), (1164.6177333333335, 0.02213333333333333, 0.004333333333333333), (63.088599999999985, 0.35353333333333337, 0.05659999999999999), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4194.687266666667, 1859.9932666666666, 999.9988), (16015.382266666667, 1799.9778666666666, 1524.9956666666667), (34296.9114, 1882.3464666666666, 1333.6934), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0028777777777777777), (6, 0.0032333333333333337, 0.001477777777777778), (5, 0.003, 0.062472222222222214), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.107122222222221), (16099, 51.89676666666667, 6.188522222222222), (32207, 58.197, 11.577527777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
