interval,numdestroyed,nummigrations,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
1,0,1,[],0.0,[],0.0,1,0.0,[]
2,0,1,[],0.0,[],0.0,1,0.0,[]
3,1,2,[597.5360002847772],597.5360002847772,[0.0866308],0.0866308,1,100.0,[1]
4,0,1,[],0.0,[],0.0,1,0.0,[]
5,2,3,"[575.1296753520585, 892.7350623072872]",733.9323688296729,"[1.0738174933333333, 0.07911599999999999]",0.5764667466666666,1,50.0,"[1, 1]"
6,2,2,"[2.9290912631710313, 658.2021760427235]",330.56563365294727,"[0.1174404, 0.1065544]",0.1119974,1,50.0,"[1, 1]"
7,1,2,[708.6764917991187],708.6764917991187,[0.3344444666666668],0.3344444666666668,1,100.0,[1]
8,2,3,"[728.354154132818, 804.6726409962771]",766.5133975645476,"[0.12981962666666666, 0.078592]",0.10420581333333333,1,50.0,"[1, 1]"
9,0,1,[],0.0,[],0.0,1,0.0,[]
10,4,5,"[1144.875099072249, 912.5170874295042, 892.664798235561, 837.4430053665587]",946.8749975259683,"[0.16001829333333334, 0.0897766, 0.09388816, 0.2841128]",0.15694896333333333,1,25.0,"[1, 1, 1, 1]"
11,3,3,"[730.1955871743259, 855.787924345892, 620.6078554624884]",735.530455660902,"[0.04697616, 0.09179135999999999, 0.08173739999999999]",0.07350164,1,33.333333333333336,"[1, 1, 1]"
12,1,2,[791.9401535470553],791.9401535470553,[0.0866308],0.0866308,1,100.0,[1]
13,7,6,"[895.407473601001, 704.3697171083506, 616.4728885169851, 433.9042093694611, 604.2778126729679, 539.7252573867282, 884.0469201036756]",668.3148969655957,"[0.014329466666666665, 0.2506151466666666, 0.04697599999999998, 0.06662506666666666, 1.0570402666666667, 0.0768008, 0.12892399999999998]",0.23447296380952382,1,14.285714285714286,"[1, 1, 1, 1, 1, 1, 1]"
14,1,1,[852.6614759444202],852.6614759444202,[0.0671088],0.0671088,1,100.0,[1]
15,3,3,"[576.2807557115069, 621.9755191630386, 839.7252573867283]",679.3271774204246,"[0.0223696, 1.3841958933333336, 0.0768008]",0.4944554311111112,1,33.333333333333336,"[1, 1, 1]"
16,4,4,"[800.2801732321328, 864.7044946400897, 673.0983308023135, 658.2021760427235]",749.0712936793147,"[0.09395232, 0.10129759999999999, 0.12031259999999999, 0.1065544]",0.10552922999999999,1,25.0,"[1, 1, 1, 1]"
17,3,2,"[658.2021760427235, 1104.0255796167091, 549.6102212525486]",770.6126589706604,"[0.1065544, 1.9908948, 0.11072952]",0.7360595733333333,1,33.333333333333336,"[1, 1, 1]"
18,3,3,"[455.20261732952093, 275.7024492735356, 750.3463296921162]",493.75046543172425,"[0.0, 0.07632019999999999, 0.0981658]",0.05816199999999999,1,33.333333333333336,"[1, 1, 1]"
19,3,3,"[578.4135138544482, 852.6614759444202, 1184.3562805284391]",871.8104234424359,"[0.5469556, 0.0671088, 0.057118453333333326]",0.22372761777777775,1,33.333333333333336,"[1, 1, 1]"
20,2,3,"[827.9464469906195, 1012.1159273920557]",920.0311871913376,"[0.12310848, 0.055999999999999994]",0.08955424000000001,1,50.0,"[1, 1]"
21,3,3,"[755.2150560081689, 587.7030731877866, 813.8107015444631]",718.9096102468061,"[0.52240616, 0.26256293333333336, 0.2673357333333333]",0.3507682755555555,1,33.333333333333336,"[1, 1, 1]"
