interval,totalcontainers,newcontainers,deployed,migrations,inqueue
1,1,1,1,1,0
2,2,1,1,1,0
3,4,2,2,2,0
4,5,1,1,1,0
5,8,3,3,3,0
6,10,2,2,2,0
7,12,2,2,2,0
8,15,3,3,3,0
9,16,1,1,1,0
10,21,5,5,5,0
11,24,3,3,3,0
12,26,2,2,2,0
13,32,6,6,6,0
14,33,1,1,1,0
15,36,3,3,3,0
16,40,4,4,4,0
17,42,2,2,2,0
18,45,3,3,3,0
19,48,3,3,3,0
20,51,3,3,3,0
21,54,3,3,3,0
22,57,3,3,3,0
23,62,5,5,5,0
24,63,1,1,1,0
25,66,3,3,3,0
26,70,4,4,4,0
27,73,3,3,3,0
28,77,4,4,4,0
29,78,1,1,1,0
30,82,4,4,4,0
31,84,2,2,2,0
32,87,3,3,3,0
33,91,4,4,4,0
34,93,2,2,2,0
35,96,3,3,3,0
36,99,3,3,3,0
37,103,4,4,4,0
38,106,3,3,3,0
39,108,2,2,2,0
40,112,4,4,4,0
41,115,3,3,3,0
42,119,4,4,4,0
43,120,1,1,1,0
44,125,5,5,5,0
45,128,3,3,3,0
46,130,2,2,2,0
47,133,3,3,3,0
48,136,3,3,3,0
49,139,3,3,3,0
50,141,2,2,2,0
51,145,4,4,4,0
52,148,3,3,3,0
53,152,4,4,4,0
54,155,3,3,3,0
55,156,1,1,1,0
56,161,5,5,5,0
57,162,1,1,1,0
58,164,2,2,2,0
59,169,5,5,5,0
60,171,2,2,2,0
61,175,4,4,4,0
62,177,2,2,2,0
63,180,3,3,3,0
64,183,3,3,3,0
65,185,2,2,2,0
66,189,4,4,4,0
67,193,4,4,4,0
68,195,2,2,2,0
69,198,3,3,3,0
70,203,5,5,5,0
71,204,1,1,1,0
72,209,5,5,5,0
73,211,2,2,2,0
74,213,2,2,2,0
75,217,4,4,4,0
76,220,3,3,3,0
77,222,2,2,2,0
78,226,4,4,4,0
79,228,2,2,2,0
80,231,3,3,3,0
81,234,3,3,3,0
82,237,3,3,3,0
83,242,5,5,5,0
84,244,2,2,2,0
85,247,3,3,3,0
86,250,3,3,3,0
87,253,3,3,3,0
88,256,3,3,3,0
89,259,3,3,3,0
90,261,2,2,2,0
91,265,4,4,4,0
92,267,2,2,2,0
93,270,3,3,3,0
94,274,4,4,4,0
95,277,3,3,3,0
96,280,3,3,3,0
97,282,2,2,2,0
98,286,4,4,4,0
99,287,1,1,1,0
100,290,3,3,3,0
101,295,5,5,5,0
