interval,totalcontainers,newcontainers,deployed,migrations,inqueue
1,1,1,1,1,0
2,2,1,1,1,0
3,3,1,1,1,0
4,6,3,3,3,0
5,8,2,2,2,0
6,10,2,2,2,0
7,12,2,2,2,0
8,15,3,3,3,0
9,18,3,3,3,0
10,21,3,3,3,0
11,24,3,3,3,0
12,29,5,5,5,0
13,31,2,2,2,0
14,36,5,5,5,0
15,37,1,1,1,0
16,40,3,3,3,0
17,42,2,2,3,0
18,46,4,4,4,0
19,49,3,3,4,0
20,50,1,1,2,0
21,55,5,5,5,0
22,57,2,2,2,0
23,59,2,2,2,0
24,62,3,3,3,0
25,64,2,2,2,0
26,70,6,6,6,0
27,72,2,2,2,0
28,75,3,3,3,0
29,79,4,4,4,0
30,82,3,3,3,0
31,84,2,2,2,0
32,87,3,3,3,0
33,91,4,4,4,0
34,94,3,3,3,0
35,96,2,2,2,0
36,100,4,4,4,0
37,103,3,3,3,0
38,105,2,2,3,0
39,109,4,4,5,0
40,112,3,3,4,0
41,115,3,3,3,0
42,119,4,4,4,0
43,120,1,1,1,0
44,123,3,3,3,0
45,127,4,4,4,0
46,130,3,3,3,0
47,132,2,2,2,0
48,138,6,6,6,0
49,139,1,1,1,0
50,141,2,2,2,0
51,145,4,4,4,0
52,146,1,1,1,0
53,150,4,4,4,0
54,153,3,3,3,0
55,155,2,2,2,0
56,158,3,3,3,0
57,162,4,4,5,0
58,165,3,3,3,0
59,169,4,4,5,0
60,171,2,2,3,0
61,174,3,3,3,0
62,177,3,3,3,0
63,182,5,5,5,0
64,183,1,1,1,0
65,185,2,2,2,0
66,190,5,5,5,0
67,193,3,3,3,0
68,194,1,1,1,0
69,198,4,4,4,0
70,202,4,4,4,0
71,204,2,2,2,0
72,207,3,3,3,0
73,210,3,3,3,0
74,212,2,2,2,0
75,216,4,4,4,0
76,218,2,2,2,0
77,223,5,5,6,0
78,226,3,3,3,0
79,229,3,3,4,0
80,232,3,3,3,0
81,234,2,2,2,0
82,238,4,4,4,0
83,241,3,3,3,0
84,243,2,2,2,0
85,246,3,3,3,0
86,250,4,4,4,0
87,253,3,3,3,0
88,254,1,1,1,0
89,259,5,5,5,0
90,263,4,4,4,0
91,264,1,1,1,0
92,269,5,5,5,0
93,273,4,4,4,0
94,275,2,2,2,0
95,278,3,3,3,0
96,282,4,4,4,0
97,283,1,1,2,0
98,287,4,4,4,0
99,290,3,3,4,0
100,291,1,1,2,0
101,294,3,3,3,0
