interval,numdestroyed,nummigrations,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
1,0,1,[],0.0,[],0.0,1,0.0,[]
2,0,1,[],0.0,[],0.0,1,0.0,[]
3,0,1,[],0.0,[],0.0,1,0.0,[]
4,1,2,[785.524763111136],785.524763111136,[0.1484974],0.1484974,1,100.0,[1]
5,1,2,[698.5560241946719],698.5560241946719,[0.10262166666666667],0.10262166666666667,1,100.0,[1]
6,3,4,"[598.646101987115, 785.524763111136, 321.86185129722554]",568.6775721318255,"[0.05879562666666666, 0.1484974, 0.0796404]",0.09564447555555555,1,33.333333333333336,"[1, 1, 1]"
7,1,2,[589.9185329168112],589.9185329168112,[0.9845613333333334],0.9845613333333334,1,100.0,[1]
8,2,3,"[567.7465179942607, 447.74795142208836]",507.7472347081745,"[0.33450120000000005, 0.148497]",0.24149910000000002,1,50.0,"[1, 1]"
9,3,3,"[894.628616303004, 1155.7879243458917, 616.7866983169852]",889.0677463219603,"[1.5490957866666668, 0.09179135999999999, 0.3607858]",0.6672243155555556,1,33.333333333333336,"[1, 1, 1]"
10,1,2,[633.3693210286789],633.3693210286789,[0.0847962],0.0847962,1,100.0,[1]
11,4,4,"[726.1353063294373, 1144.875099072249, 870.4104139207706, 721.0456987848299]",865.6166295268217,"[0.53351496, 0.16001829333333334, 0.10241669333333334, 0.1736628]",0.2424031866666667,1,25.0,"[1, 1, 1, 1]"
12,2,2,"[774.0431249623584, 609.4238988469514]",691.733511904655,"[0.07381968, 0.0772812]",0.07555044,1,50.0,"[1, 1]"
13,5,5,"[979.6352835844732, 572.245288610507, 824.5638408839454, 587.8397199965596, 620.3421208987669]",716.9252507948505,"[0.04697616, 0.31101328, 0.055999999999999994, 0.08278619999999999, 0.0761454]",0.11458420799999999,1,20.0,"[1, 1, 1, 1, 1]"
14,2,2,"[664.1232438520352, 557.2072436705301]",610.6652437612827,"[0.0, 0.0251652]",0.0125826,1,50.0,"[1, 1]"
15,3,5,"[735.9867490988966, 799.1734756228611, 449.0122597983877]",661.3908281733818,"[0.20699472, 0.07632019999999999, 0.0780196]",0.12044484,1,33.333333333333336,"[1, 1, 1]"
16,3,4,"[876.290542411507, 893.0795205163374, 875.6385840987252]",881.6695490088565,"[0.0321563, 0.0, 1.58272624]",0.53829418,1,33.333333333333336,"[1, 1, 1]"
17,0,4,[],0.0,[],0.0,1,0.0,[]
18,7,6,"[893.7807799154056, 965.0738661781978, 893.5859953820722, 664.1232438520352, 481.37121723501565, 750.3575144921165, 1384.131588750217]",861.7748865435799,"[0.28465261333333336, 0.08060119999999998, 0.08986808, 0.0, 0.1254282, 0.10935059999999999, 0.08794099999999999]",0.11112024190476191,1,14.285714285714286,"[1, 1, 1, 1, 1, 1, 1]"
19,2,5,"[764.7343230843081, 597.5360002847772]",681.1351616845427,"[0.15770552, 0.0866308]",0.12216816,1,50.0,"[1, 1]"
20,2,5,"[413.9822432567367, 397.826183236231]",405.90421324648383,"[0.08256266666666667, 0.06080533333333333]",0.071684,1,50.0,"[1, 1]"
21,4,4,"[849.8836734450368, 726.6545606694373, 882.8305050373473, 894.5059193888637]",838.4686646351713,"[0.10549128666666666, 1.0527693, 0.20140173333333336, 0.31417153333333336]",0.41845846333333336,1,25.0,"[1, 1, 1, 1]"
22,1,2,[884.204495842951],884.204495842951,[0.10131059999999999],0.10131059999999999,1,100.0,[1]
