interval,numdestroyed,nummigrations,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
1,0,1,[],0.0,[],0.0,1,0.0,[]
2,0,1,[],0.0,[],0.0,1,0.0,[]
3,1,2,[580.0924264685353],580.0924264685353,[0.7888269333333334],0.7888269333333334,1,100.0,[1]
4,0,1,[],0.0,[],0.0,1,0.0,[]
5,1,2,[813.9528115121376],813.9528115121376,[0.1820516],0.1820516,1,100.0,[1]
6,2,3,"[764.5411951169663, 523.2725186702315]",643.9068568935988,"[0.7494573866666667, 0.14570119999999998]",0.44757929333333335,1,50.0,"[1, 1]"
7,2,3,"[917.3480808190918, 452.0336894436154]",684.6908851313536,"[0.16317706666666665, 0.10026159999999999]",0.13171933333333333,1,50.0,"[1, 1]"
8,1,2,[842.5826999376823],842.5826999376823,[0.16784725333333333],0.16784725333333333,1,100.0,[1]
9,3,3,"[850.5302841296293, 577.1653103387251, 859.9406829962866]",762.5454258215472,"[0.03019824, 3.10945248, 0.14100448]",1.093551733333333,1,33.333333333333336,"[1, 1, 1]"
10,3,4,"[739.6072988722806, 953.5242283745824, 877.439941023252]",856.8571560900383,"[0.45306026666666666, 0.092398, 0.1373121333333333]",0.2275901333333333,1,33.333333333333336,"[1, 1, 1]"
11,3,2,"[801.9742818274631, 328.5377303758072, 878.8874694544483]",669.7998272192395,"[1.8969432533333337, 0.0078288, 1.0209112]",0.9752277511111113,1,33.333333333333336,"[1, 1, 1]"
12,3,2,"[886.8465845353129, 835.389991684343, 588.4907619877865]",770.2424460691476,"[0.08053056, 0.08121333333333333, 1.0502517333333334]",0.40399854222222226,1,33.333333333333336,"[1, 1, 1]"
13,3,4,"[683.1072166862547, 664.9001608219127, 878.8422328266591]",742.2832034449422,"[0.25061552, 0.0951468, 0.07998999999999999]",0.14191743999999998,1,33.333333333333336,"[1, 1, 1]"
14,3,4,"[739.5278868189473, 699.5394522584633, 599.4932528785085]",679.5201973186396,"[0.3736482133333333, 0.10398871428571428, 0.35821173333333334]",0.2786162203174603,1,33.333333333333336,"[1, 1, 1]"
15,1,2,[899.0656537298981],899.0656537298981,[0.06438751999999999],0.06438751999999999,1,100.0,[1]
16,2,2,"[730.2738807743258, 623.3037150563717]",676.7887979153488,"[0.12526976, 2.712391786666667]",1.4188307733333336,1,50.0,"[1, 1]"
17,7,6,"[894.0061531154054, 883.2438686412507, 726.8939739366957, 1158.5330795917466, 1152.0492676367357, 642.2056981416948, 597.5496310847772]",864.9259531640438,"[0.5100258133333334, 0.13653056, 0.07557186666666665, 0.08724143999999999, 0.11004853333333334, 0.14779746666666665, 0.10026159999999999]",0.16678246857142856,1,14.285714285714286,"[1, 1, 1, 1, 1, 1, 1]"
18,1,1,[673.7573838198776],673.7573838198776,[0.026633279999999995],0.026633279999999995,1,100.0,[1]
19,4,3,"[422.8787544656243, 875.9687389485396, 642.2056981416948, 587.8495061965596]",632.2256744381045,"[0.36909840000000005, 0.05816096, 0.14779746666666665, 0.0925724]",0.16690730666666667,1,25.0,"[1, 1, 1, 1]"
20,2,3,"[828.1477724306195, 743.711146455634]",785.9294594431267,"[0.32443392000000004, 0.08955279999999999]",0.20699336000000002,1,50.0,"[1, 1]"
