interval,totalcontainers,newcontainers,deployed,migrations,inqueue
1,1,1,1,1,0
2,2,1,1,1,0
3,4,2,2,2,0
4,5,1,1,1,0
5,7,2,2,2,0
6,10,3,3,3,0
7,13,3,3,3,0
8,15,2,2,2,0
9,18,3,3,3,0
10,22,4,4,4,0
11,24,2,2,2,0
12,26,2,2,2,0
13,30,4,4,4,0
14,34,4,4,4,0
15,36,2,2,2,0
16,38,2,2,2,0
17,44,6,6,6,0
18,45,1,1,1,0
19,48,3,3,3,0
20,51,3,3,3,0
21,54,3,3,3,0
22,57,3,3,3,0
23,61,4,4,4,0
24,63,2,2,2,0
25,65,2,2,2,0
26,68,3,3,3,0
27,72,4,4,4,0
28,75,3,3,3,0
29,78,3,3,3,0
30,80,2,2,2,0
31,83,3,3,3,0
32,87,4,4,4,0
33,90,3,3,3,0
34,94,4,4,4,0
35,98,4,4,4,0
36,100,2,2,2,0
37,103,3,3,3,0
38,106,3,3,3,0
39,108,2,2,2,0
40,111,3,3,3,0
41,115,4,4,4,0
42,117,2,2,2,0
43,119,2,2,2,0
44,122,3,3,3,0
45,127,5,5,5,0
46,130,3,3,3,0
47,133,3,3,3,0
48,136,3,3,3,0
49,139,3,3,3,0
50,142,3,3,3,0
51,145,3,3,3,0
52,148,3,3,3,0
53,150,2,2,2,0
54,154,4,4,4,0
55,157,3,3,3,0
56,160,3,3,3,0
57,163,3,3,3,0
58,167,4,4,4,0
59,170,3,3,3,0
60,172,2,2,2,0
61,175,3,3,3,0
62,179,4,4,4,0
63,181,2,2,2,0
64,183,2,2,2,0
65,188,5,5,5,0
66,190,2,2,2,0
67,193,3,3,3,0
68,196,3,3,3,0
69,198,2,2,2,0
70,201,3,3,3,0
71,204,3,3,3,0
72,206,2,2,2,0
73,210,4,4,4,0
74,213,3,3,3,0
75,215,2,2,2,0
76,219,4,4,4,0
77,223,4,4,4,0
78,226,3,3,3,0
79,230,4,4,4,0
80,232,2,2,2,0
81,234,2,2,2,0
82,238,4,4,4,0
83,240,2,2,2,0
84,244,4,4,4,0
85,248,4,4,4,0
86,249,1,1,1,0
87,252,3,3,3,0
88,255,3,3,3,0
89,259,4,4,4,0
90,261,2,2,2,0
91,264,3,3,3,0
92,267,3,3,3,0
93,270,3,3,3,0
94,274,4,4,4,0
95,276,2,2,2,0
96,279,3,3,3,0
97,283,4,4,4,0
98,285,2,2,2,0
99,288,3,3,3,0
100,291,3,3,3,0
101,293,2,2,2,0
102,298,5,5,5,0
103,301,3,3,3,0
104,303,2,2,2,0
105,306,3,3,3,0
106,309,3,3,3,0
107,311,2,2,2,0
108,317,6,6,6,0
109,319,2,2,2,0
110,322,3,3,3,0
111,325,3,3,3,0
112,328,3,3,3,0
113,331,3,3,3,0
114,335,4,4,4,0
115,338,3,3,3,0
116,339,1,1,1,0
117,342,3,3,3,0
118,346,4,4,4,0
119,348,2,2,2,0
120,351,3,3,3,0
