interval,ips,create,start,destroy,apparentips,ram,disk,hostalloc,active
1,[446.2848497873626],[0],[1],[-1],[674.3055420766065],"[(45.08853333333333, 0.003, 0.0003333333333333333)]","[(3, 1.666666666666667e-05, 0.00019999999999999998)]",[0],[True]
2,"[674.3055420766065, 408.1113784619685]","[0, 1]","[1, 2]","[-1, -1]","[674.3055420766065, 419.4461622241998]","[(55.574, 0.0, 0.0), (6.640266666666666, 0.0, 0.0)]","[(3, 0.0, 8.333333333333333e-05), (3, 0.0, 0.0)]","[0, 0]","[True, True]"
3,"[510.1712161252014, 419.4461622241998, 373.69944797718307]","[0, 1, 2]","[1, 2, 3]","[-1, -1, -1]","[674.3055420766065, 419.4461622241998, 631.0513939179824]","[(74.44846666666666, 0.0, 0.0002666666666666667), (3.1014666666666666, 0.0, 0.0), (16.7766, 6.666666666666668e-05, 6.666666666666668e-05)]","[(3, 0.05158333333333333, 0.01831111111111111), (3, 0.0, 5.555555555555557e-06), (1, 0.0, 0.00016666666666666666)]","[0, 0, 0]","[True, True, True]"
4,"[0, 0, 376.14446734271894, 267.6050494897803]","[0, 1, 2, 3]","[1, 2, 3, 4]","[-1, -1, -1, -1]","[674.3055420766065, 419.4461622241998, 631.0513939179824, 471.00836329859106]","[(74.44839999999999, 0.0, 0.0), (8.257200000000001, 0.0, 0.0), (14.6794, 0.0, 0.0), (5.635666666666668, 0.0, 0.0)]","[(3, 0.0, 8.333333333333333e-05), (3, 0.0, 5.555555555555557e-06), (1, 0.0, 0.0), (1, 0.0, 9.444444444444444e-05)]","[0, 0, 0, 0]","[True, True, True, True]"
5,"[0, 0, 0, 0, 815.3310623623827, 583.3915269050505, 245.54319931548474]","[0, 1, 2, 3, 4, 4, 4]","[1, 2, 3, 4, 5, 5, 5]","[4, 4, -1, -1, -1, -1, -1]","[0, 0, 631.0513939179824, 471.00836329859106, 887.8565896286426, 877.3386810122662, 465.83499855134875]","[0, 0, (13.281533333333332, 0.0, 0.0), (3.800666666666666, 0.0, 0.0), (4.8491333333333335, 0.0008, 0.0008), (47.5354, 0.0, 6.666666666666668e-05), (5.5922, 0.0003333333333333333, 6.666666666666668e-05)]","[0, 0, (1, 0.0, 0.0), (1, 0.0, 8.88888888888889e-05), (1, 0.0, 4.9999999999999996e-05), (2, 0.0, 0.0002222222222222222), (3, 0.0, 0.0)]","[-1, -1, 0, 0, 1, 1, 0]","[False, False, True, True, True, True, True]"
6,"[0, 0, 0, 0, 716.5008770896474, 804.078297530017, 0, 1114.1609034516462, 538.4606800435287, 611.3363067526898]","[0, 1, 2, 3, 4, 4, 4, 5, 5, 5]","[1, 2, 3, 4, 5, 5, 5, 6, 6, 6]","[4, 4, 5, 5, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 887.8565896286426, 877.3386810122662, 465.83499855134875, 1385.37864271004, 1203.1984198303842, 611.3363067526898]","[0, 0, 0, 0, (3.625666666666666, 0.0008, 0.0008666666666666667), (29.35993333333334, 0.0, 0.0), (6.291, 0.0, 0.0), (25.1654, 0.00046666666666666666, 0.00013333333333333334), (13.981, 0.0, 0.001), (4.2812, 0.0009333333333333332, 0.001)]","[0, 0, 0, 0, (1, 0.0, 5.555555555555555e-05), (2, 0.0, 0.00016111111111111108), (3, 0.0, 0.0), (2, 0.0, 0.0005999999999999998), (3, 0.0, 0.0), (3, 0.0, 8.333333333333333e-05)]","[-1, -1, -1, -1, 1, 1, 0, 1, 1, 0]","[False, False, False, False, True, True, True, True, True, True]"
7,"[0, 0, 0, 0, 0, 0, 0, 1184.3731806464255, 0, 300.7763511503716, 1521.9636309878945, 317.8853161136635]","[0, 1, 2, 3, 4, 4, 4, 5, 5, 5, 6, 6]","[1, 2, 3, 4, 5, 5, 5, 6, 6, 6, 7, 7]","[4, 4, 5, 5, -1, -1, 6, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 887.8565896286426, 877.3386810122662, 0, 1385.37864271004, 1079.132637673136, 611.3363067526898, 1571.2468060557483, 418.07863612812815]","[0, 0, 0, 0, (8.737533333333333, 0.0007333333333333332, 0.0007333333333333332), (5.592266666666666, 0.0, 0.0), 0, (27.2626, 0.0005333333333333334, 0.0011333333333333332), (41.943, 0.0, 0.001), (4.455933333333333, 0.0009333333333333332, 0.001), (433.41086666666666, 0.002333333333333333, 0.0030666666666666668), (33.5544, 0.004666666666666667, 6.666666666666668e-05)]","[0, 0, 0, 0, (1, 0.0, 6.111111111111111e-05), (2, 0.0, 0.0001944444444444444), 0, (2, 0.0, 0.0027833333333333334), (3, 0.04748333333333333, 0.01665), (3, 0.0, 8.333333333333333e-05), (1, 0.011300000000000001, 0.0010833333333333333), (2, 0.0, 0.0011055555555555554)]","[-1, -1, -1, -1, 1, 1, -1, 1, 1, 0, 1, 0]","[False, False, False, False, True, True, False, True, True, True, True, True]"
8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1571.2468060557483, 0, 1492.620801770176, 1757.469369889886, 1645.2825219566423, 431.82754378726725]","[0, 1, 2, 3, 4, 4, 4, 5, 5, 5, 6, 6, 7, 7, 7, 7]","[1, 2, 3, 4, 5, 5, 5, 6, 6, 6, 7, 7, 8, 8, 8, 8]","[4, 4, 5, 5, 7, 7, 6, -1, 7, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 1385.37864271004, 0, 611.3363067526898, 1571.2468060557483, 418.07863612812815, 2192.9787383724074, 1896.9355398285493, 1774.5705726637832, 571.5265531019063]","[0, 0, 0, 0, 0, 0, 0, (16.077533333333328, 0.0003333333333333333, 0.0), 0, (4.6308, 0.001, 0.001), (398.45840000000004, 0.0016666666666666668, 0.0003333333333333333), (16.7772, 0.004733333333333333, 6.666666666666668e-05), (7.776466666666666, 0.0, 0.0), (36.3506, 0.004666666666666667, 0.00013333333333333334), (55.924, 0.0046, 6.666666666666668e-05), (13.980666666666664, 0.0006666666666666666, 0.005866666666666666)]","[0, 0, 0, 0, 0, 0, 0, (2, 0.0, 0.0006500000000000002), 0, (3, 0.0, 8.333333333333333e-05), (1, 0.015133333333333334, 0.0009777777777777777), (2, 0.0, 0.0010999999999999998), (2, 0.0, 7.777777777777777e-05), (2, 0.0, 0.0011388888888888887), (1, 0.0, 0.0010999999999999998), (1, 0.0, 0.0006222222222222223)]","[-1, -1, -1, -1, -1, -1, -1, 1, -1, 0, 1, 0, 2, 2, 2, 0]","[False, False, False, False, False, False, False, True, False, True, True, True, True, True, True, True]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1884.0814406089871, 0, 0, 1184.2313299584257, 292.3127804182906, 807.2018146390005, 526.216990066169]","[0, 1, 2, 3, 4, 4, 4, 5, 5, 5, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8]","[1, 2, 3, 4, 5, 5, 5, 6, 6, 6, 7, 7, 8, 8, 8, 8, 9, 9, 9, 9]","[4, 4, 5, 5, 7, 7, 6, 8, 7, 8, -1, 8, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1571.2468060557483, 0, 2192.9787383724074, 1896.9355398285493, 1774.5705726637832, 571.5265531019063, 1625.2324383417672, 916.4678195190937, 810.190296171332, 590.8682637939636]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (349.5247333333333, 0.002333333333333333, 0.003), 0, (8.650333333333334, 0.0, 0.0), (44.7392, 0.004533333333333333, 6.666666666666668e-05), (25.1658, 0.0046, 0.0), (16.77666666666667, 0.0002666666666666667, 0.0056), (13.981, 0.0, 0.0), (102.06106666666666, 0.0003333333333333333, 0.0002666666666666667), (19.922400000000003, 0.0002, 0.00013333333333333334), (0.0, 0.0, 0.0)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (1, 0.01145, 0.0009944444444444447), 0, (2, 0.0, 1.1111111111111112e-05), (2, 0.0, 0.00105), (1, 0.0, 0.0010222222222222221), (1, 0.0, 0.00011666666666666667), (2, 0.0, 9.999999999999999e-05), (2, 0.0, 0.0023777777777777777), (1, 0.0, 0.0004222222222222222), (3, 0.0, 1.6666666666666667e-05)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 2, 2, 2, 0, 2, 1, 1, 0]","[False, False, False, False, False, False, False, False, False, False, True, False, True, True, True, True, True, True, True, True]"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1210.24148979592, 0, 0, 421.1059521014839, 1619.5645677852426, 878.7746921899874, 372.2361844474653]","[0, 1, 2, 3, 4, 4, 4, 5, 5, 5, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 9, 9, 9]","[1, 2, 3, 4, 5, 5, 5, 6, 6, 6, 7, 7, 8, 8, 8, 8, 9, 9, 9, 9, 10, 10, 10]","[4, 4, 5, 5, 7, 7, 6, 8, 7, 8, 9, 8, 9, -1, 9, 9, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1896.9355398285493, 0, 0, 1625.2324383417672, 916.4678195190937, 810.190296171332, 590.8682637939636, 2791.147141457057, 1178.3370950713042, 436.7846371289756]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (25.1658, 0.0044666666666666665, 6.666666666666668e-05), 0, 0, (16.7772, 0.0, 0.0), (92.2744, 0.0, 6.666666666666668e-05), (20.62146666666667, 0.0, 0.0), (0.0, 0.0, 0.0), (3472.8832, 0.6164666666666667, 0.0428), (915.7558, 0.0002, 0.001), (75.4974, 0.004733333333333333, 6.666666666666668e-05)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (2, 0.0, 0.00105), 0, 0, (2, 0.0, 0.00010555555555555555), (2, 0.0, 0.0024555555555555554), (1, 0.0, 1.6666666666666667e-05), (3, 0.0, 0.0), (3, 3.203133333333333, 0.7003944444444444), (3, 0.0, 0.0001388888888888889), (1, 0.0, 0.0014555555555555554)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, 2, 1, 1, 0, 2, 1, 0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, True, True, True, True, True, True, True]"
