interval,numdestroyed,nummigrations,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
1,0,1,[],0.0,[],0.0,1,0.0,[]
2,0,1,[],0.0,[],0.0,1,0.0,[]
3,0,1,[],0.0,[],0.0,1,0.0,[]
4,0,1,[],0.0,[],0.0,1,0.0,[]
5,2,3,"[917.3029922857586, 881.9254946752291]",899.6142434804938,"[0.11808853333333333, 0.07964026666666667]",0.09886439999999999,1,50.0,"[1, 1]"
6,2,3,"[612.517087429504, 330.8839681434906]",471.70052778649733,"[0.0897766, 0.07863566666666666]",0.08420613333333332,1,50.0,"[1, 1]"
7,1,2,[543.3444932253285],543.3444932253285,[0.0785922],0.0785922,1,100.0,[1]
8,3,4,"[726.5877153493543, 774.5394132872772, 508.17997108799705]",669.7690332415428,"[0.06181895999999999, 0.1035354, 0.06998099999999999]",0.07844512,1,33.333333333333336,"[1, 1, 1]"
9,3,4,"[777.9153877562766, 813.1286980631731, 478.79892980303174]",689.9476718741604,"[0.08619848, 0.0772812, 0.1065544]",0.09001135999999998,1,33.333333333333336,"[1, 1, 1]"
10,4,3,"[421.57329325913753, 575.111932954139, 764.194466423633, 504.6810296629439]",566.3901805749633,"[0.012442346666666666, 0.0671088, 0.40272869333333333, 0.08698066666666666]",0.14231512666666668,1,25.0,"[1, 1, 1, 1]"
11,3,3,"[875.9541987085395, 542.7093482111242, 596.1833756074519]",671.6156408423718,"[0.043620719999999995, 0.17847327999999998, 0.0759224]",0.09933879999999999,1,33.333333333333336,"[1, 1, 1]"
12,2,2,"[774.1675841683218, 698.9000414672549]",736.5338128177884,"[0.0223696, 0.073]",0.0476848,1,50.0,"[1, 1]"
13,2,2,"[709.4341782194103, 684.1985522858421]",696.8163652526262,"[4.16745984, 0.78860464]",2.47803224,1,50.0,"[1, 1]"
14,5,4,"[657.8157688941282, 1074.2025404344702, 758.6445927793995, 832.0341518441885, 534.9464416795731]",771.5286991263519,"[0.04026528, 0.1484974, 0.0009781333333333333, 0.459924, 0.0805578]",0.14604452266666668,1,20.0,"[1, 1, 1, 1, 1]"
15,1,3,[616.4886233969852],616.4886233969852,[0.06271088],0.06271088,1,100.0,[1]
16,1,3,[642.1682994083615],642.1682994083615,[0.11039873333333333],0.11039873333333333,1,100.0,[1]
17,5,5,"[940.885631220267, 648.0718410120542, 547.8996965675254, 835.441263706569, 452.0200586436154]",684.8636982300061,"[0.060397919999999994, 0.17679583999999998, 0.06487184, 0.1300993, 0.0866308]",0.10375914,1,20.0,"[1, 1, 1, 1, 1]"
18,2,5,"[1144.3220989252175, 953.5145293745823]",1048.9183141498997,"[0.17658553333333335, 0.082699]",0.12964226666666667,1,50.0,"[1, 1]"
19,4,5,"[576.2807557115069, 821.0687800304249, 1.9449684036040389, 609.4951146469513]",502.1974046981218,"[0.0223696, 1.3349821199999998, 0.1174404, 0.148497]",0.40582228,1,25.0,"[1, 1, 1, 1]"
20,4,6,"[875.9765683085394, 821.4120406374208, 763.9933627969662, 508.17717488799707]",742.3897866577308,"[0.06599031999999999, 0.3431695066666667, 0.20162506666666663, 0.06718479999999999]",0.1694924233333333,1,25.0,"[1, 1, 1, 1]"
21,2,3,"[508.20234068799704, 682.162266591031]",595.182303639514,"[0.09235059999999999, 0.08802846666666667]",0.09018953333333332,1,50.0,"[1, 1]"
