interval,totalcontainers,newcontainers,deployed,migrations,inqueue
1,1,1,1,1,0
2,2,1,1,1,0
3,3,1,1,1,0
4,4,1,1,1,0
5,7,3,3,3,0
6,10,3,3,3,0
7,12,2,2,2,0
8,16,4,4,4,0
9,20,4,4,4,0
10,23,3,3,3,0
11,26,3,3,3,0
12,28,2,2,2,0
13,30,2,2,2,0
14,34,4,4,4,0
15,36,2,2,3,0
16,38,2,2,3,0
17,42,4,4,5,0
18,45,3,3,5,0
19,48,3,3,5,0
20,52,4,4,6,0
21,55,3,3,3,0
22,59,4,4,4,0
23,61,2,2,2,0
24,63,2,2,2,0
25,67,4,4,4,0
26,72,5,5,5,0
27,74,2,2,2,0
28,75,1,1,1,0
29,81,6,6,6,0
30,82,1,1,1,0
31,85,3,3,3,0
32,88,3,3,3,0
33,89,1,1,1,0
34,93,4,4,4,0
35,96,3,3,5,0
36,98,2,2,4,0
37,103,5,5,6,0
38,107,4,4,6,0
39,108,1,1,4,0
40,111,3,3,6,0
41,115,4,4,4,0
42,117,2,2,2,0
43,119,2,2,2,0
44,123,4,4,4,0
45,125,2,2,2,0
46,129,4,4,4,0
47,132,3,3,3,0
48,134,2,2,2,0
49,139,5,5,5,0
50,142,3,3,3,0
51,146,4,4,4,0
52,148,2,2,2,0
53,151,3,3,3,0
54,153,2,2,2,0
55,156,3,3,4,0
56,159,3,3,4,0
57,162,3,3,6,0
58,165,3,3,5,0
59,168,3,3,6,0
60,171,3,3,6,0
61,175,4,4,4,0
62,177,2,2,2,0
63,181,4,4,4,0
64,185,4,4,4,0
65,187,2,2,2,0
66,190,3,3,3,0
67,193,3,3,3,0
68,194,1,1,1,0
69,198,4,4,4,0
70,201,3,3,3,0
71,202,1,1,1,0
72,204,2,2,2,0
73,211,7,7,7,0
74,212,1,1,2,0
75,214,2,2,3,0
76,220,6,6,6,0
77,222,2,2,4,0
78,225,3,3,4,0
79,230,5,5,7,0
80,231,1,1,4,0
81,235,4,4,4,0
82,238,3,3,3,0
83,240,2,2,2,0
84,243,3,3,3,0
85,246,3,3,3,0
86,249,3,3,3,0
87,252,3,3,3,0
88,255,3,3,3,0
89,258,3,3,3,0
90,261,3,3,3,0
91,264,3,3,3,0
92,267,3,3,3,0
93,270,3,3,3,0
94,273,3,3,4,0
95,276,3,3,4,0
96,279,3,3,4,0
97,283,4,4,7,0
98,285,2,2,4,0
99,288,3,3,6,0
100,291,3,3,5,0
101,294,3,3,3,0
