interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable,numfailures
1,"[12.757508066517747, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[347.95014350013605, 0, 0, 0, 0, 0]","[3681.049856499864, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[514, 0, 0, 0, 0, 0]","[(20.271933333333333, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4274.728066666667, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(1, 0.0, 4.9999999999999996e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4025, 67.1, 10.10995), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[27.500620501365102, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[1108.6919821309993, 0, 0, 0, 0, 0]","[2920.3080178690007, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1108, 0, 0, 0, 0, 0]","[(67.45713333333333, 0.0002, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4227.542866666667, 1859.9998, 999.9998666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0, 0.0008111111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109188888888887), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[39.041945892280964, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[797.7703789886489, 0, 0, 0, 0, 0]","[3231.229621011351, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1573, 0, 0, 0, 0, 0]","[(62.475866666666676, 0.00013333333333333334, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4232.524133333333, 1859.9998666666668, 999.9998666666667), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.0004333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109566666666666), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[39.43906676594688, 12.61416934090348, 0.0, 0.0, 0.0, 0.0]","[3, 1, 0, 0, 0, 0]","[262.61535995470337, 1022.0287790173022, 0, 0, 0, 0]","[3766.3846400452967, 7079.971220982698, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1589, 1022, 0, 0, 0, 0]","[(78.642, 0.0004, 0.0003333333333333334), (0.0, 0.0, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4216.358, 1859.9996, 999.9996666666667), (17180.0, 1800.0, 1524.999), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(9, 0.0, 0.0004888888888888889), (2, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.1, 10.109511111111111), (16103, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[26.309257880367337, 37.620340656627995, 0.0, 0.0, 0.0, 0.0]","[2, 3, 0, 0, 0, 0]","[676.6185044456794, 1298.4534732423936, 0, 0, 0, 0]","[3352.3814955543207, 6803.546526757606, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1060, 3048, 0, 0, 0, 0]","[(33.946799999999996, 0.00020000000000000004, 0.00020000000000000004), (49.6322, 0.0, 0.0010666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4261.0532, 1859.9998, 999.9998), (17130.3678, 1800.0, 1524.9989333333333), (34360, 1882.7, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.00010555555555555555), (4, 0.003833333333333334, 0.0030888888888888884), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109894444444445), (16101, 51.89616666666667, 6.186911111111111), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[39.463886820551004, 25.00617131572451, 14.822171187387498, 0.0, 0.0, 0.0]","[3, 2, 1, 0, 0, 0]","[676.6185044456794, 928.9311828566526, 2138.308283086843, 0, 0, 0]","[3352.3814955543207, 7173.068817143348, 13972.691716913158, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1590, 2026, 2388, 0, 0, 0]","[(51.90339999999999, 0.0003333333333333334, 0.0002666666666666667), (60.81673333333333, 0.0, 6.666666666666668e-05), (23.0682, 0.00013333333333333334, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4243.0966, 1859.9996666666666, 999.9997333333333), (17119.183266666667, 1800.0, 1524.9999333333333), (34336.9318, 1882.6998666666668, 1333.7498666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(9, 0.0, 0.00015555555555555554), (2, 0.0039, 0.0027666666666666673), (2, 0.0, 0.0005888888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.1, 10.109844444444445), (16103, 51.896100000000004, 6.1872333333333325), (32210, 58.2, 11.63941111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[39.73690742119633, 24.080473957047644, 28.154676928806406, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[359.2479821883697, 1022.0287790173022, 1932.60301540134, 0, 0, 0]","[3669.75201781163, 7079.971220982698, 14178.39698459866, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1601, 1951, 4536, 0, 0, 0]","[(35.126599999999996, 0.00020000000000000004, 0.00013333333333333337), (0.0, 0.0, 0.001), (123.73146666666668, 0.5311333333333333, 0.43793333333333323), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4259.8734, 1859.9998, 999.9998666666667), (17180.0, 1800.0, 1524.999), (34236.268533333336, 1882.1688666666666, 1333.3120666666666), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(8, 0.0, 0.00012777777777777776), (3, 0.0, 0.0001111111111111111), (3, 1.666666666666667e-05, 0.0017222222222222218), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.109872222222222), (16102, 51.900000000000006, 6.1898888888888886), (32209, 58.199983333333336, 11.638277777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[24.94415487714073, 39.039743273265856, 25.771212215256657, 0.0, 0.0, 0.0]","[2, 3, 2, 0, 0, 0]","[979.742775972463, 1172.7338091227189, 1290.4392936531015, 0, 0, 0]","[3049.2572240275367, 6929.266190877281, 14820.560706346898, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1005, 3163, 4152, 0, 0, 0]","[(3.407, 0.00013333333333333334, 0.00013333333333333334), (69.90453333333333, 0.07913333333333333, 0.06966666666666667), (1162.5208, 0.00013333333333333334, 0.0006666666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4291.593, 1859.9998666666668, 999.9998666666667), (17110.095466666666, 1799.9208666666666, 1524.9303333333332), (33197.4792, 1882.6998666666668, 1333.7493333333334), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 5.555555555555557e-06), (6, 0.0018666666666666669, 0.001011111111111111), (3, 0.0, 0.00023333333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.109994444444444), (16099, 51.89813333333334, 6.188988888888888), (32209, 58.2, 11.639766666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[38.123603871928516, 25.709701308318934, 21.761529389857863, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[906.3363562189594, 599.9449131617434, 1439.6932532990488, 0, 0, 0]","[3122.6636437810407, 7502.055086838256, 14671.306746700951, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1536, 2083, 3506, 0, 0, 0]","[(212.1608, 0.003733333333333333, 0.006266666666666668), (16.7772, 0.0, 0.002), (1152.7339333333334, 0.0018, 0.0031999999999999997), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4082.8392, 1859.9962666666668, 999.9937333333334), (17163.2228, 1800.0, 1524.998), (33207.26606666666, 1882.6982, 1333.7468), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(6, 0.0, 0.0010111111111111113), (3, 0.0, 7.777777777777777e-05), (3, 0.0, 0.001011111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.108988888888888), (16102, 51.900000000000006, 6.189922222222222), (32209, 58.2, 11.638988888888887), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[43.68329610325143, 23.463342384596398, 34.46092731674011, 0.0, 0.0, 0.0]","[3, 2, 3, 0, 0, 0]","[1008.726584360116, 0, 2687.952941029349, 0, 0, 0]","[3020.2734156398838, 8102, 13423.047058970651, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1760, 1901, 5552, 0, 0, 0]","[(207.17993333333334, 0.0084, 0.0062), (247.4634, 0.0008, 0.014533333333333332), (1248.5038666666667, 0.003333333333333333, 0.011933333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4087.8200666666667, 1859.9916, 999.9938), (16932.5366, 1799.9992, 1524.9854666666668), (33111.496133333334, 1882.6966666666667, 1333.7380666666666), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0016944444444444444), (3, 0.06103333333333333, 0.012666666666666666), (4, 0.04615, 0.01690555555555556), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108305555555555), (16102, 51.83896666666667, 6.1773333333333325), (32208, 58.153850000000006, 11.623094444444444), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
