interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,numfailures
1,"[18.217920079424175, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0, 0, 0]","[413.8959424085754, 0, 0, 0, 0, 0]","[3615.1040575914244, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[734, 0, 0, 0, 0, 0]","[8.213333333333335, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[0.0, 0, 0, 0, 0, 0]","[4286.786666666667, 17180, 34360, 4295, 17180, 34360]","[372.0, 360.0, 376.54, 372.0, 360.0, 376.54]","[200.0, 305.0, 266.75, 200.0, 305.0, 266.75]","[(3, 0.0, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
2,"[31.397369074211962, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 0, 0, 0, 0, 0]","[909.6953658968039, 0, 0, 0, 0, 0]","[3119.304634103196, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1265, 0, 0, 0, 0, 0]","[12.405866666666666, 0, 0, 0, 0, 0]","[0.058133333333333335, 0, 0, 0, 0, 0]","[0.057733333333333345, 0, 0, 0, 0, 0]","[4282.594133333333, 17180, 34360, 4295, 17180, 34360]","[371.94186666666667, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.94226666666665, 305.0, 266.75, 200.0, 305.0, 266.75]","[(6, 0.0, 2.2222222222222223e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.1, 10.109977777777777), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
3,"[41.995532390171256, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 0, 0, 0, 0, 0]","[426.67913363334486, 0, 0, 0, 0, 0]","[3602.320866366655, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1692, 0, 0, 0, 0, 0]","[26.735866666666666, 0, 0, 0, 0, 0]","[0.05506666666666668, 0, 0, 0, 0, 0]","[0.0508, 0, 0, 0, 0, 0]","[4268.264133333333, 17180, 34360, 4295, 17180, 34360]","[371.9449333333333, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.9492, 305.0, 266.75, 200.0, 305.0, 266.75]","[(9, 0.0, 0.0002111111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.1, 10.109788888888888), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
4,"[22.263588979895758, 25.956553937299432, 0.0, 0.0, 0.0, 0.0]","[2, 2, 0, 0, 0, 0]","[687.5909426870868, 1083.430774605276, 0, 0, 0, 0]","[3341.4090573129133, 7018.569225394724, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[897, 2103, 0, 0, 0, 0]","[21.406133333333337, 415.2350666666667, 0, 0, 0, 0]","[0.008, 0.0056, 0, 0, 0, 0]","[0.004, 0.0076, 0, 0, 0, 0]","[4273.593866666667, 16764.764933333332, 34360, 4295, 17180, 34360]","[371.992, 359.9944, 376.54, 372.0, 360.0, 376.54]","[199.996, 304.9924, 266.75, 200.0, 305.0, 266.75]","[(4, 0.0, 0.00025555555555555553), (5, 0.0, 0.007477777777777777), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.109744444444443), (16100, 51.900000000000006, 6.182522222222222), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
5,"[37.85058327128319, 25.956553937299432, 0.0, 0.0, 0.0, 0.0]","[3, 2, 0, 0, 0, 0]","[546.8531091368895, 1113.9521370610519, 0, 0, 0, 0]","[3482.1468908631105, 6988.047862938948, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1525, 2103, 0, 0, 0, 0]","[409.5533333333333, 297.794, 0, 0, 0, 0]","[0.04093333333333333, 0.005733333333333333, 0, 0, 0, 0]","[0.037066666666666664, 0.008266666666666665, 0, 0, 0, 0]","[3885.4466666666667, 16882.206, 34360, 4295, 17180, 34360]","[371.9590666666667, 359.99426666666665, 376.54, 372.0, 360.0, 376.54]","[199.96293333333332, 304.99173333333334, 266.75, 200.0, 305.0, 266.75]","[(7, 0.0001, 0.013077777777777777), (5, 0.0, 0.006838888888888889), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.09989999999999, 10.096922222222222), (16100, 51.900000000000006, 6.183161111111111), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
6,"[28.34450235790519, 56.578622562330295, 0.0, 0.0, 0.0, 0.0]","[2, 4, 0, 0, 0, 0]","[960.5308086546332, 2137.831157090702, 0, 0, 0, 0]","[3068.4691913453667, 5964.168842909297, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1142, 4584, 0, 0, 0, 0]","[390.0681333333333, 306.35653333333323, 0, 0, 0, 0]","[0.04186666666666667, 0.0064, 0, 0, 0, 0]","[0.02866666666666667, 0.007466666666666667, 0, 0, 0, 0]","[3904.931866666667, 16873.64346666667, 34360, 4295, 17180, 34360]","[371.9581333333333, 359.9936, 376.54, 372.0, 360.0, 376.54]","[199.97133333333332, 304.9925333333333, 266.75, 200.0, 305.0, 266.75]","[(4, 0.0, 0.007266666666666666), (8, 0.0, 0.006877777777777777), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.102733333333333), (16097, 51.900000000000006, 6.183122222222222), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
7,"[39.31496649292628, 30.609725993581833, 28.204332443672026, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[354.7662454720879, 0, 2400.982462477513, 0, 0, 0]","[3674.233754527912, 8102, 13710.017537522486, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1584, 2480, 4544, 0, 0, 0]","[980.7645333333334, 13.193200000000001, 723.5161333333334, 0, 0, 0]","[1.2201333333333335, 0.0, 0.19626666666666662, 0, 0, 0]","[0.4010666666666666, 0.0, 0.6909333333333334, 0, 0, 0]","[3314.2354666666665, 17166.8068, 33636.48386666667, 4295, 17180, 34360]","[370.7798666666667, 360.0, 376.3437333333334, 372.0, 360.0, 376.54]","[199.59893333333332, 305.0, 266.0590666666667, 200.0, 305.0, 266.75]","[(7, 0.011666666666666667, 0.43685555555555555), (3, 0.0, 0.0), (2, 0.0008333333333333333, 0.5136833333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.08833333333332, 9.673144444444445), (16102, 51.900000000000006, 6.1899999999999995), (32210, 58.19916666666667, 11.126316666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
8,"[25.564656242243732, 28.20291286102197, 55.365899075166034, 0.0, 0.0, 0.0]","[2, 2, 4, 0, 0, 0]","[880.6701821714262, 1798.5128272894267, 3743.7296380609046, 0, 0, 0]","[3148.329817828574, 6303.487172710573, 12367.270361939096, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1030, 2285, 8920, 0, 0, 0]","[645.9219999999999, 3095.3949333333335, 4107.617866666667, 0, 0, 0]","[0.8525333333333334, 0.32066666666666666, 0.5372, 0, 0, 0]","[0.27093333333333336, 1.1958666666666666, 0.029066666666666668, 0, 0, 0]","[3649.078, 14084.605066666667, 30252.382133333333, 4295, 17180, 34360]","[371.1474666666667, 359.6793333333333, 376.00280000000004, 372.0, 360.0, 376.54]","[199.72906666666665, 303.8041333333333, 266.72093333333333, 200.0, 305.0, 266.75]","[(5, 1.666666666666667e-05, 0.22833333333333336), (4, 0.00835, 0.1872777777777778), (6, 1.666666666666667e-05, 0.012738888888888888), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.09998333333333, 9.881666666666666), (16101, 51.891650000000006, 6.002722222222221), (32206, 58.199983333333336, 11.62726111111111), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
9,"[39.68726731198808, 28.20291286102197, 27.16156663149401, 0.0, 0.0, 0.0]","[3, 2, 2, 0, 0, 0]","[778.1697064077119, 1672.4466056763254, 3027.2575315516174, 0, 0, 0]","[3250.830293592288, 6429.553394323675, 13083.742468448383, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1599, 2285, 4376, 0, 0, 0]","[645.9216, 2969.5656000000004, 3450.5128000000004, 0, 0, 0]","[1.0030666666666666, 0.3912, 0.03386666666666667, 0, 0, 0]","[0.3192, 1.4805333333333335, 0.0034666666666666674, 0, 0, 0]","[3649.0784, 14210.4344, 30909.4872, 4295, 17180, 34360]","[370.99693333333335, 359.6088, 376.50613333333337, 372.0, 360.0, 376.54]","[199.6808, 303.5194666666667, 266.74653333333333, 200.0, 305.0, 266.75]","[(6, 8.333333333333333e-05, 0.2883222222222222), (4, 0.0006166666666666666, 0.11332777777777778), (4, 0.0, 0.00029444444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4020, 67.09991666666666, 9.821677777777778), (16101, 51.89938333333334, 6.076672222222221), (32208, 58.2, 11.639705555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
10,"[43.88185654008439, 38.681806961244135, 27.16156663149401, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[892.8762797498118, 1720.207118681428, 0, 0, 0, 0]","[3136.123720250188, 6381.792881318572, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1768, 3134, 4376, 0, 0, 0]","[654.3104, 2913.6410666666666, 3489.6596, 0, 0, 0]","[0.01906666666666667, 0.31293333333333334, 0.035199999999999995, 0, 0, 0]","[0.0, 0.9421333333333334, 0.004133333333333333, 0, 0, 0]","[3640.6896, 14266.358933333333, 30870.3404, 4295, 17180, 34360]","[371.9809333333333, 359.6870666666667, 376.50480000000005, 372.0, 360.0, 376.54]","[200.0, 304.05786666666665, 266.74586666666664, 200.0, 305.0, 266.75]","[(4, 0.0, 0.008905555555555555), (7, 0.0014499999999999997, 0.12368888888888889), (4, 0.0, 0.00029444444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.101094444444444), (16098, 51.89855000000001, 6.06631111111111), (32208, 58.2, 11.639705555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]"
