interval,totalcontainers,newcontainers,deployed,migrations,inqueue
1,1,1,1,1,0
2,2,1,1,1,0
3,3,1,1,1,0
4,6,3,3,3,0
5,7,1,1,1,0
6,10,3,3,3,0
7,13,3,3,3,0
8,18,5,5,5,0
9,19,1,1,1,0
10,21,2,2,2,0
11,24,3,3,3,0
12,27,3,3,3,0
13,30,3,3,3,0
14,32,2,2,2,0
15,36,4,4,4,0
16,39,3,3,3,0
17,43,4,4,4,0
18,46,3,3,3,0
19,50,4,4,4,0
20,51,1,1,1,0
21,55,4,4,4,0
22,58,3,3,3,0
23,60,2,2,2,0
24,63,3,3,3,0
25,68,5,5,5,0
26,69,1,1,1,0
27,73,4,4,4,0
28,75,2,2,2,0
29,79,4,4,4,0
30,81,2,2,2,0
31,84,3,3,3,0
32,87,3,3,3,0
33,93,6,6,6,0
34,94,1,1,1,0
35,97,3,3,3,0
36,100,3,3,3,0
37,103,3,3,3,0
38,106,3,3,3,0
39,109,3,3,3,0
40,113,4,4,4,0
41,116,3,3,3,0
42,119,3,3,3,0
43,120,1,1,1,0
44,123,3,3,3,0
45,127,4,4,4,0
46,130,3,3,3,0
47,133,3,3,3,0
48,136,3,3,3,0
49,140,4,4,4,0
50,142,2,2,2,0
51,144,2,2,2,0
52,148,4,4,4,0
53,151,3,3,3,0
54,153,2,2,2,0
55,157,4,4,4,0
56,159,2,2,2,0
57,162,3,3,3,0
58,167,5,5,5,0
59,169,2,2,2,0
60,172,3,3,3,0
61,176,4,4,4,0
62,178,2,2,2,0
63,180,2,2,2,0
64,183,3,3,3,0
65,186,3,3,3,0
66,189,3,3,3,0
67,192,3,3,3,0
68,195,3,3,3,0
69,200,5,5,5,0
70,202,2,2,2,0
71,205,3,3,3,0
72,207,2,2,2,0
73,212,5,5,5,0
74,215,3,3,3,0
75,217,2,2,2,0
76,220,3,3,3,0
77,223,3,3,3,0
78,226,3,3,3,0
79,230,4,4,4,0
80,232,2,2,2,0
81,235,3,3,3,0
82,238,3,3,3,0
83,239,1,1,1,0
84,243,4,4,4,0
85,246,3,3,3,0
86,248,2,2,2,0
87,253,5,5,5,0
88,256,3,3,3,0
89,259,3,3,3,0
90,262,3,3,3,0
91,265,3,3,3,0
92,266,1,1,1,0
93,270,4,4,4,0
94,274,4,4,4,0
95,275,1,1,1,0
96,279,4,4,4,0
97,283,4,4,4,0
98,285,2,2,2,0
99,286,1,1,1,0
100,290,4,4,4,0
101,293,3,3,3,0
