interval,ips,create,start,destroy,apparentips,ram,disk,hostalloc,active
1,[439.0876958201859],[0],[1],[-1],[479.1467168674371],"[(36.3506, 0.004666666666666667, 6.666666666666668e-05)]","[(1, 0.0, 0.0011111111111111111)]",[0],[True]
2,"[0, 253.96622867117168]","[0, 1]","[1, 2]","[-1, -1]","[479.1467168674371, 558.8373252717306]","[(36.3506, 0.004666666666666667, 0.0), (3.3202, 0.00013333333333333334, 0.0)]","[(1, 0.0, 0.0010333333333333334), (3, 0.0, 0.0)]","[0, 0]","[True, True]"
3,"[0, 0, 329.4707641769164, 611.3363067526898]","[0, 1, 2, 2]","[1, 2, 3, 3]","[2, -1, -1, -1]","[0, 558.8373252717306, 853.2299120300013, 611.3363067526898]","[0, (3.8446, 6.666666666666668e-05, 0.0), (11.883466666666667, 0.0, 0.0), (4.2812, 0.0009333333333333332, 0.001)]","[0, (3, 0.0, 0.0), (3, 0.0, 0.00018888888888888888), (3, 0.0, 8.333333333333333e-05)]","[-1, 0, 1, 0]","[False, True, True, True]"
4,"[0, 0, 0, 300.7763511503716, 538.4606800435287, 431.20079432063125]","[0, 1, 2, 2, 3, 3]","[1, 2, 3, 3, 4, 4]","[2, 3, -1, -1, -1, -1]","[0, 0, 853.2299120300013, 611.3363067526898, 1203.1984198303842, 490.8559483116707]","[0, 0, (16.77666666666667, 0.0, 0.0), (4.455933333333333, 0.0009333333333333332, 0.001), (13.981, 0.0, 0.001), (10.966066666666668, 0.0, 0.0)]","[0, 0, (3, 0.0, 5.555555555555557e-06), (3, 0.0, 8.333333333333333e-05), (3, 0.0, 0.0), (1, 0.0, 2.7777777777777776e-05)]","[-1, -1, 1, 0, 1, 0]","[False, False, True, True, True, True]"
5,"[0, 0, 0, 0, 674.9884691143833, 490.8559483116707, 1614.403632382624, 452.02184410195173]","[0, 1, 2, 2, 3, 3, 4, 4]","[1, 2, 3, 3, 4, 4, 5, 5]","[2, 3, 4, -1, -1, -1, -1, -1]","[0, 0, 0, 611.3363067526898, 1203.1984198303842, 490.8559483116707, 1620.380595458781, 645.2798230237914]","[0, 0, 0, (4.6308, 0.001, 0.001), (41.943, 0.0, 0.001), (14.242533333333329, 0.0, 0.0), (159.38306666666668, 0.0, 0.0), (261.44446666666676, 0.5536, 0.16226666666666667)]","[0, 0, 0, (3, 0.0, 8.333333333333333e-05), (3, 0.04748333333333333, 0.01665), (1, 0.0, 3.888888888888889e-05), (3, 0.0, 0.00035), (1, 0.0, 0.003850000000000001)]","[-1, -1, -1, 0, 1, 0, 2, 0]","[False, False, False, True, True, True, True, True]"
6,"[0, 0, 0, 0, 0, 0, 0, 426.29443601757237, 1023.2367773203464, 267.1482963937084]","[0, 1, 2, 2, 3, 3, 4, 4, 5, 5]","[1, 2, 3, 3, 4, 4, 5, 5, 6, 6]","[2, 3, 4, 5, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 1203.1984198303842, 490.8559483116707, 1620.380595458781, 645.2798230237914, 1064.628201689945, 506.11681433750834]","[0, 0, 0, 0, (33.5544, 0.0, 0.001), (13.674666666666663, 0.0, 0.0), (74.09926666666667, 0.0, 0.0), (436.207, 0.019333333333333327, 0.026666666666666672), (58.020866666666684, 0.0044666666666666665, 0.0008), (3.8008, 0.002333333333333333, 0.0021333333333333334)]","[0, 0, 0, 0, (3, 0.0, 0.0), (1, 0.0, 2.7777777777777776e-05), (3, 0.0, 0.0), (1, 0.0, 0.003427777777777778), (3, 0.0, 0.0017666666666666666), (1, 0.0, 0.0)]","[-1, -1, -1, -1, 1, 0, 2, 0, 1, 0]","[False, False, False, False, True, True, True, True, True, True]"
7,"[0, 0, 0, 0, 0, 0, 0, 0, 1064.628201689945, 0, 990.9370936802097, 525.789895885378, 319.13027928132715]","[0, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 6]","[1, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7]","[2, 3, 4, 5, 6, 6, 6, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 645.2798230237914, 1064.628201689945, 506.11681433750834, 2957.8401968246035, 1252.3591672387126, 556.4401191941384]","[0, 0, 0, 0, 0, 0, 0, (307.58166666666676, 0.0061333333333333335, 0.017533333333333335), (55.9238, 0.0044, 0.0008), (4.718066666666666, 0.002933333333333333, 0.0027333333333333333), (181.4032, 0.00013333333333333334, 0.00013333333333333334), (100.6632, 0.0022, 0.004733333333333333), (9.7864, 6.666666666666668e-05, 6.666666666666668e-05)]","[0, 0, 0, 0, 0, 0, 0, (1, 0.0, 0.0036333333333333335), (3, 0.0, 0.0018333333333333333), (1, 0.0, 0.0), (3, 0.05556666666666666, 0.026677777777777772), (3, 0.0, 0.0011055555555555556), (3, 0.0, 6.666666666666667e-05)]","[-1, -1, -1, -1, -1, -1, -1, 0, 1, 0, 2, 1, 0]","[False, False, False, False, False, False, False, True, True, True, True, True, True]"
8,"[0, 0, 0, 0, 0, 0, 0, 0, 1000.6498143384554, 0, 0, 0, 485.272853004852, 766.2627758313829, 762.5521196399111]","[0, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8]","[2, 3, 4, 5, 6, 6, 6, 7, -1, 7, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 1064.628201689945, 0, 2957.8401968246035, 1252.3591672387126, 556.4401191941384, 804.6364234793698, 1249.5711266940536]","[0, 0, 0, 0, 0, 0, 0, 0, (46.836, 0.004333333333333333, 0.0012666666666666666), 0, (159.38326666666669, 0.00013333333333333334, 6.666666666666668e-05), (114.6442, 0.002, 0.004666666666666667), (4.194, 0.0, 0.0), (53.1278, 0.004666666666666667, 0.00013333333333333334), (121.63446666666664, 0.017466666666666665, 0.003533333333333333)]","[0, 0, 0, 0, 0, 0, 0, 0, (3, 0.0, 0.0019222222222222223), 0, (3, 0.01295, 0.007627777777777777), (3, 0.0, 0.0002722222222222222), (3, 0.0, 0.0), (3, 0.0, 0.00115), (1, 0.0032333333333333337, 0.00037777777777777777)]","[-1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 2, 1, 0, 1, 1]","[False, False, False, False, False, False, False, False, True, False, True, True, True, True, True]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 749.9511828834871, 920.6997522162576, 760.9816372485877, 2138.308283086843]","[0, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 6, 7, 7, 7, 8]","[1, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9]","[2, 3, 4, 5, 6, 6, 6, 7, -1, 7, 8, 8, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 1064.628201689945, 0, 0, 0, 556.4401191941384, 804.6364234793698, 1249.5711266940536, 785.6232190106965, 2388.666156056188]","[0, 0, 0, 0, 0, 0, 0, 0, (67.10846666666666, 0.004333333333333333, 0.0008), 0, 0, 0, (31.456599999999998, 0.0002666666666666667, 0.00013333333333333334), (33.5544, 0.0046, 6.666666666666668e-05), (173.364, 0.0, 6.666666666666668e-05), (128.62506666666664, 0.00046666666666666666, 0.0014), (23.0682, 0.00013333333333333334, 0.00013333333333333334)]","[0, 0, 0, 0, 0, 0, 0, 0, (3, 1.666666666666667e-05, 0.0018777777777777777), 0, 0, 0, (3, 0.0, 2.7777777777777776e-05), (3, 0.0, 0.0010555555555555555), (1, 1.666666666666667e-05, 0.0002833333333333333), (2, 0.0705, 0.025599999999999998), (2, 0.0, 0.0005888888888888889)]","[-1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 0, 1, 1, 0, 2]","[False, False, False, False, False, False, False, False, True, False, False, False, True, True, True, True, True]"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 785.6232190106965, 1932.60301540134, 421.4356608994527, 2122.456120514357]","[0, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 9]","[1, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 10, 10]","[2, 3, 4, 5, 6, 6, 6, 7, 9, 7, 8, 8, 9, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 804.6364234793698, 1249.5711266940536, 785.6232190106965, 2388.666156056188, 634.3878860277937, 2127.7849120179944]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (55.924, 0.0046, 0.0), (128.6248666666667, 0.01686666666666667, 0.002933333333333333), (120.23626666666664, 0.0, 0.001066666666666667), (25.864466666666672, 0.0, 0.00046666666666666666), (9.699, 0.0, 0.0), (294.999, 0.0006, 0.00046666666666666666)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (3, 0.0, 0.0010444444444444446), (1, 0.0014333333333333331, 0.00036666666666666667), (2, 1.666666666666667e-05, 0.0006111111111111112), (2, 1.666666666666667e-05, 0.0002555555555555556), (3, 0.0, 8.333333333333333e-05), (1, 0.0, 0.0016055555555555554)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 0, 2, 0, 2]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True]"
