interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ram_s,ram_r,ram_w,ramavailable_s,ramavailable_r,ramavailable_w,disk,diskavailable,cpufailures,ramfailures
1,"[13.20426904939191, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, 0, 0, 0, 0, 0]","[421.82677874060806, 0, 0, 0, 0, 0]","[3607.173221259392, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[532, 0, 0, 0, 0, 0]","[7.88869072564998, 0.0, 0.0, 0.0, 0.0, 0.0]","[338.81926666666664, 0, 0, 0, 0, 0]","[0.5785333333333333, 0, 0, 0, 0, 0]","[0.10706666666666667, 0, 0, 0, 0, 0]","[3956.1807333333336, 17180, 34360, 4295, 17180, 34360]","[371.4214666666667, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.89293333333333, 305.0, 266.75, 200.0, 305.0, 266.75]","[(8, 0.0, 0.0024000000000000007), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.1076), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
2,"[19.08662199056838, 0.0, 0.0, 0.0, 0.0, 0.0]","[6, 0, 0, 0, 0, 0]","[376.12089222911817, 0, 0, 0, 0, 0]","[3652.879107770882, 8102, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[769, 0, 0, 0, 0, 0]","[17.623715948777647, 0.0, 0.0, 0.0, 0.0, 0.0]","[756.9386, 0, 0, 0, 0, 0]","[0.6210666666666667, 0, 0, 0, 0, 0]","[0.12106666666666668, 0, 0, 0, 0, 0]","[3538.0614, 17180, 34360, 4295, 17180, 34360]","[371.37893333333335, 360.0, 376.54, 372.0, 360.0, 376.54]","[199.87893333333332, 305.0, 266.75, 200.0, 305.0, 266.75]","[(13, 0.0, 0.0038222222222222225), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4013, 67.1, 10.106177777777777), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
3,"[20.65028543062795, 1.431745248086892, 0.0, 0.0, 0.0, 0.0]","[6, 1, 0, 0, 0, 0]","[83.8563441592036, 74.20259647407177, 0, 0, 0, 0]","[3945.1436558407963, 8027.7974035259285, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[832, 116, 0, 0, 0, 0]","[14.922950717889016, 0.08951571594877765, 0.0, 0.0, 0.0, 0.0]","[640.9407333333332, 15.3788, 0, 0, 0, 0]","[0.5674666666666666, 0.008933333333333333, 0, 0, 0, 0]","[0.12413333333333335, 0.0004, 0, 0, 0, 0]","[3654.0592666666666, 17164.6212, 34360, 4295, 17180, 34360]","[371.4325333333333, 359.99106666666665, 376.54, 372.0, 360.0, 376.54]","[199.87586666666667, 304.9996, 266.75, 200.0, 305.0, 266.75]","[(13, 0.0, 0.004166666666666666), (1, 0.0, 0.001277777777777778), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4013, 67.1, 10.105833333333333), (16104, 51.900000000000006, 6.188722222222221), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
4,"[6.403574087862992, 19.180449271784745, 0.0, 0.0, 0.0, 0.0]","[2, 9, 0, 0, 0, 0]","[225.00539634203332, 1204.6877948018582, 0, 0, 0, 0]","[3803.9946036579668, 6897.312205198142, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[258, 1554, 0, 0, 0, 0]","[0.7486829646876214, 10.603227784245247, 0.0, 0.0, 0.0, 0.0]","[32.15593333333334, 1821.6345333333334, 0, 0, 0, 0]","[0.023600000000000003, 0.22706666666666664, 0, 0, 0, 0]","[0.018266666666666667, 0.04546666666666667, 0, 0, 0, 0]","[4262.844066666667, 15358.365466666666, 34360, 4295, 17180, 34360]","[371.9764, 359.77293333333336, 376.54, 372.0, 360.0, 376.54]","[199.98173333333332, 304.95453333333336, 266.75, 200.0, 305.0, 266.75]","[(4, 0.0, 0.0018777777777777777), (18, 0.06151666666666666, 0.10956126373626375), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.1, 10.108122222222221), (16087, 51.838483333333336, 6.080438736263735), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
5,"[17.820799205758252, 19.180449271784745, 0.0, 0.0, 0.0, 0.0]","[5, 9, 0, 0, 0, 0]","[368.10446000900293, 866.61894712496, 0, 0, 0, 0]","[3660.895539990997, 7235.38105287504, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[718, 1554, 0, 0, 0, 0]","[4.30899805975941, 10.325778812572759, 0.0, 0.0, 0.0, 0.0]","[185.07146666666665, 1773.9688, 0, 0, 0, 0]","[0.06773333333333334, 0.04173333333333334, 0, 0, 0, 0]","[0.07653333333333334, 0.02213333333333333, 0, 0, 0, 0]","[4109.928533333334, 15406.0312, 34360, 4295, 17180, 34360]","[371.9322666666667, 359.95826666666665, 376.54, 372.0, 360.0, 376.54]","[199.92346666666666, 304.97786666666667, 266.75, 200.0, 305.0, 266.75]","[(9, 0.0014833333333333332, 0.05717777777777778), (18, 0.02943333333333333, 0.05383333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.09851666666665, 10.052822222222222), (16087, 51.870566666666676, 6.136166666666666), (32212, 58.2, 11.639999999999999), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
6,"[17.920079424174734, 27.696864971611944, 7.193842716156664, 0.0, 0.0, 0.0]","[6, 13, 4, 0, 0, 0]","[630.9504301909868, 1205.8048016780958, 855.2115624095412, 0, 0, 0]","[3398.049569809013, 6896.195198321904, 15255.78843759046, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[722, 2244, 1159, 0, 0, 0]","[7.179663174233605, 4.097685681024446, 1.3854827318587508, 0.0, 0.0, 0.0]","[308.36653333333334, 703.9823999999999, 476.05186666666674, 0, 0, 0]","[0.07266666666666667, 1.1942666666666664, 1.1978666666666666, 0, 0, 0]","[0.040799999999999996, 1.1742666666666668, 0.3990666666666666, 0, 0, 0]","[3986.6334666666667, 16476.0176, 33883.94813333333, 4295, 17180, 34360]","[371.9273333333333, 358.8057333333333, 375.3421333333334, 372.0, 360.0, 376.54]","[199.9592, 303.82573333333335, 266.35093333333333, 200.0, 305.0, 266.75]","[(11, 6.666666666666667e-05, 0.0809202380952381), (23, 0.030350000000000002, 0.07218015873015875), (10, 0.011966666666666667, 0.4331166666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4015, 67.09993333333333, 10.029079761904761), (16082, 51.86965000000001, 6.11781984126984), (32202, 58.18803333333334, 11.206883333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
7,"[23.28121121866468, 21.463836089854357, 19.47116876668115, 0.0, 0.0, 0.0]","[7, 10, 11, 0, 0, 0]","[537.4719791247356, 633.0677686824835, 2002.4096500543842, 0, 0, 0]","[3491.5280208752642, 7468.932231317516, 14108.590349945616, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[938, 1739, 3137, 0, 0, 0]","[7.240690725649982, 3.0267892898719446, 2.6803030655801314, 0.0, 0.0, 0.0]","[310.9876666666667, 520.0024000000001, 920.9521333333332, 0, 0, 0]","[0.08146666666666667, 0.0432, 1.0981333333333332, 0, 0, 0]","[0.039733333333333336, 0.03573333333333333, 0.35973333333333335, 0, 0, 0]","[3984.012333333333, 16659.9976, 33439.04786666667, 4295, 17180, 34360]","[371.91853333333336, 359.9568, 375.44186666666667, 372.0, 360.0, 376.54]","[199.96026666666666, 304.9642666666667, 266.39026666666666, 200.0, 305.0, 266.75]","[(14, 5.000000000000001e-05, 0.08226666666666667), (18, 0.04693333333333333, 0.03574444444444445), (26, 1.666666666666667e-05, 0.31326666666666664), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4012, 67.09994999999999, 10.027733333333332), (16087, 51.85306666666667, 6.154255555555555), (32186, 58.199983333333336, 11.326733333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
8,"[16.803176966989327, 32.2759812392002, 36.14921482217119, 0.0, 0.0, 0.0]","[5, 13, 21, 0, 0, 0]","[362.61843117747827, 1674.6747209051537, 2922.7313067878904, 0, 0, 0]","[3666.381568822522, 6427.325279094846, 13188.26869321211, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[677, 2615, 5824, 0, 0, 0]","[3.0750997283663173, 10.199116802483507, 4.34284924330617, 0.0, 0.0, 0.0]","[132.07553333333334, 1752.2082666666665, 1492.203, 0, 0, 0]","[0.038266666666666664, 0.2244, 1.2522666666666664, 0, 0, 0]","[0.008, 0.034133333333333335, 0.4237333333333334, 0, 0, 0]","[4162.924466666666, 15427.791733333333, 32867.797, 4295, 17180, 34360]","[371.9617333333333, 359.7756, 375.28773333333334, 372.0, 360.0, 376.54]","[199.992, 304.96586666666667, 266.32626666666664, 200.0, 305.0, 266.75]","[(10, 0.0, 0.0260968253968254), (22, 8.333333333333333e-05, 0.032738888888888894), (47, 0.004033333333333333, 0.37092777777777775), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4016, 67.1, 10.083903174603174), (16083, 51.89991666666667, 6.157261111111111), (32165, 58.19596666666667, 11.26907222222222), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
9,"[14.619012161826756, 30.90594914835843, 26.969151511389732, 0.0, 0.0, 0.0]","[5, 12, 16, 0, 0, 0]","[290.04481365216196, 1553.5923672669387, 2292.482708792715, 0, 0, 0]","[3738.955186347838, 6548.407632733061, 13818.517291207285, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[589, 2504, 4345, 0, 0, 0]","[3.7444361660845944, 9.306740007760963, 4.169032790065968, 0.0, 0.0, 0.0]","[160.82353333333333, 1598.8979333333334, 1432.4796666666666, 0, 0, 0]","[0.14200000000000002, 0.0352, 0.1044, 0, 0, 0]","[0.20479999999999998, 0.0336, 0.10866666666666668, 0, 0, 0]","[4134.176466666667, 15581.102066666666, 32927.520333333334, 4295, 17180, 34360]","[371.858, 359.9648, 376.4356, 372.0, 360.0, 376.54]","[199.7952, 304.9664, 266.6413333333333, 200.0, 305.0, 266.75]","[(10, 0.0048833333333333315, 0.057233333333333324), (21, 0.0, 0.00736111111111111), (33, 0.0, 0.0065), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4016, 67.09511666666666, 10.052766666666667), (16084, 51.900000000000006, 6.182638888888889), (32179, 58.2, 11.633499999999998), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
10,"[13.77513030528667, 32.177240187608, 22.878778474334304, 0.0, 0.0, 0.0]","[3, 13, 14, 0, 0, 0]","[214.47646982897086, 1483.3021283887958, 2061.7867166275078, 0, 0, 0]","[3814.523530171029, 6618.697871611204, 14049.213283372492, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[555, 2607, 3686, 0, 0, 0]","[2.819790454016298, 9.785097788125729, 2.5355927435001937, 0.0, 0.0, 0.0]","[121.11, 1681.0798000000002, 871.2296666666666, 0, 0, 0]","[0.1208, 0.058666666666666666, 0.08906666666666668, 0, 0, 0]","[0.19573333333333337, 0.06693333333333333, 0.09106666666666666, 0, 0, 0]","[4173.89, 15498.9202, 33488.770333333334, 4295, 17180, 34360]","[371.8792, 359.9413333333333, 376.45093333333335, 372.0, 360.0, 376.54]","[199.80426666666668, 304.93306666666666, 266.6589333333333, 200.0, 305.0, 266.75]","[(8, 0.0, 0.029311111111111107), (24, 0.03923333333333333, 0.026772222222222225), (26, 1.666666666666667e-05, 0.004344444444444445), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4018, 67.1, 10.080688888888888), (16081, 51.86076666666667, 6.163227777777777), (32186, 58.199983333333336, 11.635655555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
