interval,numdestroyed,nummigrations,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
1,0,4,[],0.0,[],0.0,1,0.0,[]
2,0,2,[],0.0,[],0.0,1,0.0,[]
3,1,2,[467.2342302914124],467.2342302914124,[0.21490559999999997],0.21490559999999997,1,100.0,[1]
4,5,9,"[770.7126045841743, 735.9729898455633, 841.4404327937958, 453.42340670048253, 472.6516178399994]",654.8402103528031,"[1.1439439999999998, 0.19323546666666663, 0.095192, 0.2016252, 0.7608651999999999]",0.4789723733333333,1,20.0,"[1, 1, 1, 1, 1]"
5,0,3,[],0.0,[],0.0,1,0.0,[]
6,4,13,"[753.6511718676343, 455.6673330570914, 742.1277735795023, 590.8501292158153]",635.5741019300108,"[0.06830304, 5.2010119999999995, 0.1121468, 0.09117493333333333]",1.368159193333333,1,25.0,"[1, 1, 1, 1]"
7,3,8,"[856.5176469899884, 868.7291770725531, 678.7564226004705]",801.3344155543373,"[0.15106986666666666, 0.08797946666666667, 0.5425381333333334]",0.2605291555555556,1,33.333333333333336,"[1, 1, 1]"
8,8,19,"[1165.0780412808663, 1009.293494068417, 1071.6306803629955, 1043.0589574534806, 770.2777137031898, 647.8234915987358, 345.8592242414381, 326.0907622947531]",797.3890456254844,"[0.3132485333333333, 0.10143546666666667, 1.118554666666667, 0.09007599999999999, 0.3608326, 0.27222739999999995, 0.07906759999999999, 0.13067040000000002]",0.3082640833333333,1,12.5,"[1, 1, 1, 1, 1, 1, 1, 1]"
9,10,4,"[339.77042962968835, 678.8874621261618, 468.74691877766537, 770.2601977433321, 447.6397425941118, 721.27468718483, 1030.6791386675236, 883.8649517290208, 774.0258440884828, 489.9284679279214]",660.5077840468738,"[0.25501248, 1.5921550666666668, 0.05602725333333332, 0.0301968, 0.006604639999999999, 0.40265120000000004, 0.0803382, 0.34960100000000005, 0.2908798, 0.0517468]",0.311521324,1,10.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10,11,8,"[1160.6656871256987, 497.14462359078425, 997.3733198438172, 1169.961963525161, 570.9020090778142, 1163.3605927125825, 1038.8725531446742, 742.585138295221, 827.496772861636, 580.1061401954329, 492.5336307389926]",840.091130101074,"[0.27682336, 0.12774706666666663, 0.10297408, 0.0674024, 0.03187392, 0.3330466, 0.1443024, 0.0, 0.72813048, 0.14897093333333333, 0.10412845999999999]",0.18776360909090908,1,9.090909090909092,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
11,9,14,"[842.6236396441385, 837.3582179443583, 633.3553020286788, 1053.1237037389822, 966.9685360958565, 614.8252665363599, 887.8180977174476, 828.7852071976931, 774.1041373551496]",826.5513453620738,"[0.3400148800000001, 0.09310895999999999, 0.07077720000000001, 0.21139271999999998, 0.100962, 0.12992399999999998, 0.5425381333333334, 0.09007599999999999, 0.36917306666666666]",0.21644077333333334,1,11.11111111111111,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
12,11,12,"[637.7363347343141, 702.734065901257, 569.9296280784055, 1110.7427698656218, 1766.9931514860423, 583.981913703155, 1012.8343173859543, 1047.2065701039105, 1018.8878305874637, 907.0358959164905, 918.5433322089247]",934.2387099974127,"[0.31205592, 0.00188704, 0.018034133333333337, 2.79508208, 0.08934296, 0.264316, 0.04270968, 0.2706704, 0.080464, 0.09759173333333332, 5.2010119999999995]",0.8339241769696969,1,9.090909090909092,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
13,5,3,"[912.9670459455562, 1473.4353193866696, 739.0335640407254, 493.44985247480145, 1343.0029574534806]",992.3777478602467,"[0.09711653333333332, 0.09311104, 0.1317202, 0.02264688, 0.034076]",0.07573413066666666,1,20.0,"[1, 1, 1, 1, 1]"
14,15,10,"[846.5220514830856, 1273.4492186397335, 463.18838743443905, 1010.8099842629622, 1077.0019726005871, 1056.0553256063786, 921.3010218312683, 379.5793299178212, 658.2432610027234, 842.4625799641385, 869.9395892250722, 658.2164174827236, 850.1868905184461, 892.7987214458885, 841.4404327937958]",842.7463456139375,"[5.986743466666666, 0.13988511999999997, 0.36406303999999995, 0.032417093333333334, 0.1314968, 0.12808853333333334, 0.12310879999999999, 0.0251632, 0.14763936, 0.1789552, 0.027995279999999997, 0.12079584, 0.01132344, 0.09431866666666666, 0.095192]",0.5071457226666666,1,6.666666666666667,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
15,10,7,"[791.8676521714358, 573.1798254397092, 225.1817745696712, 1023.8371671734969, 1424.3119339713926, 869.9426998117387, 1146.6979318933193, 926.7856161293367, 1030.6815847341902, 863.7987184216972]",887.6284904315987,"[0.2706704, 0.06058713333333333, 0.006604639999999999, 0.0509584, 0.0, 0.031105866666666662, 0.0, 0.3638032, 0.08278426666666666, 0.047184800000000006]",0.09136987066666667,1,10.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
16,5,4,"[1424.3119339713926, 914.1192026456828, 576.1905687652169, 933.481880036865, 1094.5516904423328]",988.5310551722981,"[0.0, 0.0, 0.0883788, 1.152033333333333, 0.12892253333333334]",0.2738669333333333,1,20.0,"[1, 1, 1, 1, 1]"
17,9,6,"[839.6621394667281, 843.2837960653284, 1056.0264901930452, 1232.9474731191399, 887.7843351565595, 1494.8104250125857, 835.3094415143557, 1481.0663070583846, 1347.271984829661]",1113.129154712865,"[0.013682880000000001, 0.01789504, 0.09925312, 0.0, 0.02740136, 0.0094352, 0.06788359999999999, 0.0391448, 0.26488839999999997]",0.05995382222222222,1,11.11111111111111,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
18,10,13,"[1183.640004538385, 265.88736565722064, 915.5729656037092, 827.2887355816359, 999.8145018814892, 570.9360957578143, 1001.0903499783903, 873.7209100412208, 1223.7380263074456, 521.8439458505633]",838.3532901197874,"[0.013279466666666668, 0.0335544, 3.0143047199999997, 0.5200932, 0.01565816, 0.0659606, 0.23635440000000002, 0.0667469, 0.09676746666666666, 0.11006640000000001]",0.4172785713333334,1,10.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
19,3,4,"[1125.966816259735, 998.2065633408915, 828.7766501976929]",984.3166765994398,"[0.05676141333333333, 0.09624273333333333, 0.081519]",0.07817438222222223,1,33.333333333333336,"[1, 1, 1]"
