interval,totalcontainers,newcontainers,deployed,migrations,inqueue
1,4,4,4,4,0
2,6,2,2,2,0
3,8,2,2,2,0
4,17,9,9,9,0
5,20,3,3,3,0
6,33,13,13,13,0
7,41,8,8,8,0
8,60,19,19,19,0
9,64,4,4,4,0
10,72,8,8,8,0
11,86,14,14,14,0
12,98,12,12,12,0
13,101,3,3,3,0
14,111,10,10,10,0
15,118,7,7,7,0
16,122,4,4,4,0
17,128,6,6,6,0
18,141,13,13,13,0
19,145,4,4,4,0
20,153,8,8,8,0
21,163,10,10,10,0
22,177,14,14,14,0
23,183,6,6,6,0
24,193,10,10,10,0
25,194,1,1,1,0
26,201,7,7,7,0
27,204,3,3,3,0
28,215,11,11,11,0
29,220,5,5,5,0
30,230,10,10,10,0
31,236,6,6,6,0
32,251,15,15,15,0
33,256,5,5,5,0
34,261,5,5,5,0
35,275,14,14,14,0
36,282,7,7,7,0
37,299,17,17,17,0
38,307,8,8,8,0
39,322,15,15,15,0
40,326,4,4,4,0
41,339,13,13,13,0
42,342,3,3,3,0
43,357,15,15,15,0
44,358,1,1,1,0
45,364,6,6,6,0
46,376,12,12,12,0
47,381,5,5,5,0
48,383,2,2,2,0
49,388,5,5,5,0
50,396,8,8,8,0
51,403,7,7,7,0
52,407,4,4,4,0
53,420,13,13,13,0
54,429,9,9,9,0
55,435,6,6,6,0
56,441,6,6,6,0
57,455,14,14,14,0
58,462,7,7,7,0
59,467,5,5,5,0
60,478,11,11,11,0
61,489,11,11,11,0
62,499,10,10,10,0
63,511,12,12,12,0
64,516,5,5,5,0
65,525,9,9,9,0
66,537,12,12,12,0
67,543,6,6,6,0
68,547,4,4,4,0
69,557,10,10,10,0
70,562,5,5,5,0
71,571,9,9,9,0
72,581,10,10,10,0
73,594,13,13,13,0
74,604,10,10,10,0
75,612,8,8,8,0
76,616,4,4,4,0
77,627,11,11,11,0
78,636,9,9,9,0
79,647,11,11,11,0
80,668,21,21,21,0
81,675,7,7,7,0
82,696,21,21,21,0
83,716,20,20,20,0
84,728,12,12,12,0
85,740,12,12,12,0
86,752,12,12,12,0
87,765,13,13,13,0
88,772,7,7,7,0
89,775,3,3,3,0
90,781,6,6,6,0
91,796,15,15,15,0
92,807,11,11,11,0
93,815,8,8,8,0
94,821,6,6,6,0
95,833,12,12,12,0
96,842,9,9,9,0
97,847,5,5,5,0
98,859,12,12,12,0
99,866,7,7,7,0
100,867,1,1,1,0
101,874,7,7,7,0
102,885,11,11,11,0
103,888,3,3,3,0
104,891,3,3,3,0
105,897,6,6,6,0
106,902,5,5,5,0
107,908,6,6,6,0
108,916,8,8,8,0
109,920,4,4,4,0
110,927,7,7,7,0
111,939,12,12,12,0
112,942,3,3,3,0
113,948,6,6,6,0
114,957,9,9,9,0
115,965,8,8,8,0
116,972,7,7,7,0
117,983,11,11,11,0
118,989,6,6,6,0
119,1002,13,13,13,0
120,1010,8,8,8,0
121,1019,9,9,9,0
122,1031,12,12,12,0
123,1043,12,12,12,0
124,1049,6,6,6,0
125,1057,8,8,8,0
126,1069,12,12,12,0
127,1083,14,14,14,0
128,1093,10,10,10,0
129,1110,17,17,17,0
130,1118,8,8,8,0
131,1129,11,11,11,0
132,1147,18,18,18,0
133,1157,10,10,10,0
134,1175,18,18,18,0
135,1186,11,11,11,0
136,1192,6,6,6,0
137,1208,16,16,16,0
138,1222,14,14,14,0
139,1232,10,10,10,0
140,1238,6,6,6,0
141,1261,23,23,23,0
142,1272,11,11,11,0
143,1288,16,16,16,0
144,1303,15,15,15,0
145,1316,13,13,13,0
146,1333,17,17,17,0
147,1343,10,10,10,0
148,1362,19,19,19,0
149,1372,10,10,10,0
150,1388,16,16,16,0
151,1394,6,6,6,0
152,1409,15,15,15,0
153,1415,6,6,6,0
154,1419,4,4,4,0
155,1428,9,9,9,0
156,1431,3,3,3,0
157,1441,10,10,10,0
158,1455,14,14,14,0
159,1460,5,5,5,0
160,1467,7,7,7,0
161,1480,13,13,13,0
162,1486,6,6,6,0
163,1497,11,11,11,0
164,1506,9,9,9,0
165,1519,13,13,13,0
166,1535,16,16,16,0
167,1540,5,5,5,0
168,1556,16,16,16,0
169,1572,16,16,16,0
170,1578,6,6,6,0
171,1602,24,24,24,0
172,1611,9,9,9,0
173,1627,16,16,16,0
174,1639,12,12,12,0
175,1649,10,10,10,0
176,1662,13,13,13,0
177,1673,11,11,11,0
178,1678,5,5,5,0
179,1687,9,9,9,0
180,1697,10,10,10,0
181,1701,4,4,4,0
182,1709,8,8,8,0
183,1724,15,15,15,0
184,1727,3,3,3,0
185,1741,14,14,14,0
186,1747,6,6,6,0
187,1763,16,16,16,0
188,1768,5,5,5,0
189,1781,13,13,13,0
190,1788,7,7,7,0
191,1794,6,6,6,0
192,1800,6,6,6,0
193,1815,15,15,15,0
194,1833,18,18,18,0
195,1839,6,6,6,0
196,1847,8,8,8,0
197,1867,20,20,20,0
198,1880,13,13,13,0
199,1889,9,9,9,0
200,1896,7,7,7,0
201,1907,11,11,11,0
202,1921,14,14,14,0
203,1931,10,10,10,0
204,1936,5,5,5,0
205,1949,13,13,13,0
206,1966,17,17,17,0
207,1982,16,16,16,0
208,1989,7,7,7,0
209,1995,6,6,6,0
210,2011,16,16,16,0
211,2024,13,13,13,0
212,2025,1,1,1,0
213,2032,7,7,7,0
214,2039,7,7,7,0
215,2044,5,5,5,0
216,2055,11,11,11,0
217,2060,5,5,5,0
218,2064,4,4,4,0
219,2070,6,6,6,0
220,2075,5,5,5,0
221,2085,10,10,10,0
222,2093,8,8,8,0
223,2105,12,12,12,0
224,2111,6,6,6,0
225,2114,3,3,3,0
226,2131,17,17,17,0
227,2145,14,14,14,0
228,2155,10,10,10,0
229,2159,4,4,4,0
230,2165,6,6,6,0
231,2169,4,4,4,0
232,2182,13,13,13,0
233,2185,3,3,3,0
234,2191,6,6,6,0
235,2197,6,6,6,0
236,2203,6,6,6,0
237,2216,13,13,13,0
238,2217,1,1,1,0
239,2224,7,7,7,0
240,2228,4,4,4,0
241,2234,6,6,6,0
242,2243,9,9,9,0
243,2252,9,9,9,0
244,2264,12,12,12,0
245,2273,9,9,9,0
246,2284,11,11,11,0
247,2292,8,8,8,0
248,2304,12,12,12,0
249,2324,20,20,20,0
250,2330,6,6,6,0
251,2337,7,7,7,0
252,2349,12,12,12,0
253,2355,6,6,6,0
254,2363,8,8,8,0
255,2379,16,16,16,0
256,2382,3,3,3,0
257,2391,9,9,9,0
258,2398,7,7,7,0
259,2410,12,12,12,0
260,2414,4,4,4,0
261,2424,10,10,10,0
262,2433,9,9,9,0
263,2437,4,4,4,0
264,2453,16,16,16,0
265,2465,12,12,12,0
266,2469,4,4,4,0
267,2481,12,12,12,0
268,2489,8,8,8,0
269,2511,22,22,22,0
270,2518,7,7,7,0
271,2531,13,13,13,0
272,2540,9,9,9,0
273,2550,10,10,10,0
274,2560,10,10,10,0
275,2566,6,6,6,0
276,2573,7,7,7,0
277,2584,11,11,11,0
278,2591,7,7,7,0
279,2603,12,12,12,0
280,2609,6,6,6,0
281,2619,10,10,10,0
282,2626,7,7,7,0
283,2634,8,8,8,0
284,2643,9,9,9,0
285,2653,10,10,10,0
286,2661,8,8,8,0
287,2666,5,5,5,0
288,2676,10,10,10,0
289,2683,7,7,7,0
290,2689,6,6,6,0
291,2695,6,6,6,0
292,2704,9,9,9,0
293,2715,11,11,11,0
294,2725,10,10,10,0
295,2730,5,5,5,0
296,2736,6,6,6,0
297,2745,9,9,9,0
298,2754,9,9,9,0
299,2760,6,6,6,0
300,2772,12,12,12,0
301,2780,8,8,8,0
