interval,activecontainers,ips,apparentips,ram,disk,creationids,hostalloc,active
1,1,"[0, 0, 0]","[20000.0, 0, 0]","[(265.6387333333333, 0.05313333333333333, 0.031266666666666665), 0, 0]","[(3, 0.0, 0.006316666666666667), 0, 0]","[0, -1, -1]","[0, -1, -1]","[True, False, False]"
2,1,"[1108.5118598755066, 0, 0]","[20000.0, 0, 0]","[(67.1088, 0.0, 0.001), 0, 0]","[(3, 0.0, 0.0), 0, 0]","[1, -1, -1]","[0, -1, -1]","[True, False, False]"
3,2,"[0, 1071.7839430047102, 0]","[20033.34686522, 20033.34472906, 0]","[(47.5354, 0.0, 0.001), (125.829, 0.003333333333333333, 0.0012666666666666666), 0]","[(3, 0.0, 0.0), (3, 0.0, 0.0006444444444444443), 0]","[1, 2, -1]","[1, 2, -1]","[True, True, False]"
4,2,"[0, 0, 0]","[5008.336716305, 20033.34472906, 0]","[(75.84646666666666, 0.0, 0.0), (170.56820000000002, 0.0034, 0.0014666666666666665), 0]","[(2, 0.00015, 0.0002722222222222222), (3, 0.0, 0.0005666666666666666), 0]","[3, 2, -1]","[0, 2, -1]","[True, True, False]"
5,1,"[3464.41286996805, 0, 0]","[4107.999450555, 0, 0]","[(168.47066666666663, 0.27493333333333336, 0.023333333333333327), 0, 0]","[(3, 0.2927833333333333, 0.026605555555555556), 0, 0]","[4, -1, -1]","[0, -1, -1]","[True, False, False]"
6,2,"[4442.116739200141, 0, 0]","[4107.999450555, 20033.342134173334, 0]","[(313.1741333333334, 0.2986666666666667, 0.020266666666666665), (265.6387333333333, 0.05313333333333333, 0.031266666666666665), 0]","[(3, 0.10841666666666665, 0.0281), (3, 0.0, 0.006316666666666667), 0]","[4, 5, -1]","[0, 1, -1]","[True, True, False]"
7,2,"[3143.9889128247596, 0, 0]","[4107.999450555, 20033.342134173334, 0]","[(205.5204, 0.03793333333333333, 0.025266666666666666), (265.6387333333333, 0.05313333333333333, 0.031266666666666665), 0]","[(3, 0.00125, 0.027633333333333336), (3, 0.0, 0.006316666666666667), 0]","[4, 6, -1]","[0, 1, -1]","[True, True, False]"
8,2,"[3601.3461849865503, 2251.868135745323, 0]","[4107.999450555, 30000.0, 0]","[(130.0228, 0.042466666666666666, 0.027733333333333332), (100.6632, 0.009333333333333334, 0.0108), 0]","[(3, 0.0008, 0.02777777777777778), (2, 0.0, 0.002416666666666667), 0]","[4, 7, -1]","[0, 1, -1]","[True, True, False]"
9,3,"[3261.75156374067, 0, 884.1326637750533]","[4107.999450555, 40000.0, 8811.190550017192]","[(110.44946666666665, 0.04046666666666667, 0.026666666666666672), (150.9948, 0.009333333333333334, 0.010933333333333335), (128.62506666666664, 0.00046666666666666666, 0.0014)]","[(3, 0.00011666666666666667, 0.02971666666666667), (2, 0.0, 0.0026888888888888887), (2, 0.0705, 0.025599999999999998)]","[4, 7, 8]","[0, 2, 0]","[True, True, True]"
10,3,"[3502.7541981732297, 1235.3895160495777, 845.5631180399]","[4107.999450555, 5008.335875876667, 8671.404459933336]","[(119.5372, 0.03373333333333333, 0.02686666666666667), (267.736, 0.28726666666666667, 0.0504), (120.23626666666664, 0.0, 0.001066666666666667)]","[(3, 0.0013666666666666669, 0.04000555555555556), (1, 0.0, 0.0011611111111111112), (2, 1.666666666666667e-05, 0.0006111111111111112)]","[4, 9, 8]","[0, 1, 0]","[True, True, True]"
