interval,ips,create,start,destroy,apparentips,ram,disk,hostalloc,active
1,[1071.7839430047102],[0],[1],[-1],[20000.0],"[(125.829, 0.003333333333333333, 0.0012666666666666666)]","[(3, 0.0, 0.0006444444444444443)]",[0],[True]
2,"[0, 628.9803113908888]","[0, 1]","[1, 2]","[-1, -1]","[20033.34472906, 8900.664783833332]","[(170.56820000000002, 0.0034, 0.0014666666666666665), (320.1647333333333, 0.0011333333333333332, 0.0015333333333333334)]","[(3, 0.0, 0.0005666666666666666), (2, 0.0037166666666666667, 0.0028777777777777777)]","[1, 2]","[True, True]"
3,"[0, 0, 1578.3845313240047]","[0, 1, 2]","[1, 2, 3]","[3, -1, -1]","[0, 8900.664783833332, 20000.0]","[0, (300.59133333333324, 0.0011333333333333332, 0.0015333333333333334), (223.696, 0.11593333333333333, 0.0992)]","[0, (2, 0.0004, 0.0023666666666666667), (2, 0.0, 0.0010277777777777776)]","[-1, 2, 0]","[False, True, True]"
4,"[0, 0, 0, 2006.6731654957287]","[0, 1, 2, 3]","[1, 2, 3, 4]","[3, 4, -1, -1]","[0, 0, 30000.0, 10016.671375186666]","[0, 0, (268.4352, 0.11646666666666668, 0.09953333333333332), (306.18366666666674, 0.5942000000000001, 0.19193333333333332)]","[0, 0, (2, 0.0, 0.0009611111111111112), (3, 0.011550000000000001, 0.43049444444444446)]","[-1, -1, 1, 2]","[False, False, True, True]"
5,"[0, 0, 0, 1352.2506356501997, 0]","[0, 1, 2, 3, 4]","[1, 2, 3, 4, 5]","[3, 4, 5, -1, -1]","[0, 0, 0, 10016.671375186666, 20000.0]","[0, 0, 0, (281.018, 0.42160000000000003, 0.13533333333333333), (0.0, 0.004733333333333333, 0.00013333333333333334)]","[0, 0, 0, (3, 1.666666666666667e-05, 0.2272388888888889), (3, 0.0, 0.0014222222222222223)]","[-1, -1, -1, 2, 0]","[False, False, False, True, True]"
6,"[0, 0, 0, 1409.0117734429248, 0, 881.4670876440003]","[0, 1, 2, 3, 4, 5]","[1, 2, 3, 4, 5, 6]","[3, 4, 5, -1, 6, -1]","[0, 0, 0, 10016.671375186666, 0, 10016.6714505]","[0, 0, 0, (255.852, 0.49213333333333326, 0.15953333333333333), 0, (95.9442, 0.019933333333333334, 0.0208)]","[0, 0, 0, (3, 8.333333333333333e-05, 0.28617777777777775), 0, (1, 0.0012, 0.05558333333333333)]","[-1, -1, -1, 2, -1, 0]","[False, False, False, True, False, True]"
7,"[0, 0, 0, 1816.3564093671823, 0, 0, 2047.1528695743666]","[0, 1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6, 7]","[3, 4, 5, -1, 6, -1, -1]","[0, 0, 0, 10016.671375186666, 0, 10016.6714505, 17801.329300646667]","[0, 0, 0, (226.49179999999998, 0.6, 0.19540000000000002), 0, (96.9928, 0.020133333333333333, 0.014066666666666665), (545.259, 0.6861333333333334, 1.4692)]","[0, 0, 0, (3, 0.00016666666666666666, 0.37338333333333334), 0, (1, 0.0, 0.054338888888888895), (1, 0.07585, 0.04698333333333333)]","[-1, -1, -1, 2, -1, 0, 1]","[False, False, False, True, False, True, True]"
8,"[0, 0, 0, 0, 0, 0, 1922.54356446984, 501.40426599866777]","[0, 1, 2, 3, 4, 5, 6, 7]","[1, 2, 3, 4, 5, 6, 7, 8]","[3, 4, 5, -1, 6, 8, -1, -1]","[0, 0, 0, 10016.671375186666, 0, 0, 17801.329300646667, 20000.0]","[0, 0, 0, (209.7148, 0.7276, 0.23566666666666664), 0, 0, (738.1968, 0.7232666666666667, 1.2136), (0.0, 0.0048, 6.666666666666668e-05)]","[0, 0, 0, (3, 0.00021666666666666668, 0.5190777777777777), 0, 0, (1, 0.0017166666666666665, 0.0023777777777777777), (2, 0.0, 0.0013222222222222222)]","[-1, -1, -1, 2, -1, -1, 1, 0]","[False, False, False, True, False, False, True, True]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 744.572766635591]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 4, 5, 9, 6, 8, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 14627.713616682204, 35602.669775053335, 10016.673990613333]","[0, 0, 0, 0, 0, 0, (564.8324, 0.6947333333333332, 1.3258666666666665), (145.4024, 0.004733333333333333, 6.666666666666668e-05), (142.60586666666666, 0.0007333333333333332, 0.0006)]","[0, 0, 0, 0, 0, 0, (1, 0.00225, 0.06516111111111111), (2, 0.0, 0.0012666666666666666), (1, 0.0, 0.02883888888888889)]","[-1, -1, -1, -1, -1, -1, 1, 2, 1]","[False, False, False, False, False, False, True, True, True]"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 884.1326637750533]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[3, 4, 5, 9, 6, 8, 10, 10, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 10016.673990613333, 17801.32880084]","[0, 0, 0, 0, 0, 0, 0, 0, (98.56566666666669, 0.0007333333333333332, 0.0002666666666666667), (128.62506666666664, 0.00046666666666666666, 0.0014)]","[0, 0, 0, 0, 0, 0, 0, 0, (1, 0.0, 0.0016666666666666668), (2, 0.0705, 0.025599999999999998)]","[-1, -1, -1, -1, -1, -1, -1, -1, 1, 0]","[False, False, False, False, False, False, False, False, True, True]"
11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3464.41286996805]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[3, 4, 5, 9, 6, 8, 10, 10, 11, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 17801.32880084, 4107.999450555]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (120.23626666666664, 0.0, 0.001066666666666667), (168.47066666666663, 0.27493333333333336, 0.023333333333333327)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, (2, 1.666666666666667e-05, 0.0006111111111111112), (3, 0.2927833333333333, 0.026605555555555556)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 2]","[False, False, False, False, False, False, False, False, False, True, True]"
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4442.116739200141, 2327.8664038117226]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[3, 4, 5, 9, 6, 8, 10, 10, 11, 12, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4107.999450555, 8215.999072276667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (313.1741333333334, 0.2986666666666667, 0.020266666666666665), (335.544, 0.016466666666666664, 0.009866666666666668)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (3, 0.10841666666666665, 0.0281), (3, 0.0, 0.015905555555555555)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 0]","[False, False, False, False, False, False, False, False, False, False, True, True]"
