interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable
1,"[100.0, 0.0, 0.0]","[1, 0, 0]","[0, 0, 0]","[20000, 30000, 40000]","[20000, 30000, 40000]","[20000, 0, 0]","[(265.6387333333333, 0.05313333333333333, 0.031266666666666665), (0, 0, 0), (0, 0, 0)]","[(2734.361266666667, 2999.9468666666667, 2999.968733333333), (4000, 2000, 2000), (8000, 3000, 3000)]","[(3, 0.0, 0.006316666666666667), (0, 0, 0), (0, 0, 0)]","[(29997, 2000.0, 1999.9936833333334), (40000, 2000, 2000), (80000, 3000, 3000)]"
2,"[100.0, 0.0, 0.0]","[1, 0, 0]","[1108.5118598755066, 0, 0]","[18891.488140124493, 30000, 40000]","[20000, 30000, 40000]","[20000, 0, 0]","[(67.1088, 0.0, 0.001), (0, 0, 0), (0, 0, 0)]","[(2932.8912, 3000.0, 2999.999), (4000, 2000, 2000), (8000, 3000, 3000)]","[(3, 0.0, 0.0), (0, 0, 0), (0, 0, 0)]","[(29997, 2000.0, 2000.0), (40000, 2000, 2000), (80000, 3000, 3000)]"
3,"[0.0, 66.77666666666666, 50.082499999999996]","[0, 1, 1]","[0, 0, 1071.7839430047102]","[20000, 30000, 38928.21605699529]","[20000, 30000, 40000]","[0, 20033, 20033]","[(0, 0, 0), (47.5354, 0.0, 0.001), (125.829, 0.003333333333333333, 0.0012666666666666666)]","[(3000, 3000, 3000), (3952.4646, 2000.0, 1999.999), (7874.171, 2999.9966666666664, 2999.9987333333333)]","[(0, 0, 0), (3, 0.0, 0.0), (3, 0.0, 0.0006444444444444443)]","[(30000, 2000, 2000), (39997, 2000.0, 2000.0), (79997, 3000.0, 2999.9993555555557)]"
4,"[25.040000000000003, 0.0, 50.082499999999996]","[1, 0, 1]","[0, 0, 0]","[20000, 30000, 40000]","[20000, 30000, 40000]","[5008, 0, 20033]","[(75.84646666666666, 0.0, 0.0), (0, 0, 0), (170.56820000000002, 0.0034, 0.0014666666666666665)]","[(2924.153533333333, 3000.0, 3000.0), (4000, 2000, 2000), (7829.4318, 2999.9966, 2999.9985333333334)]","[(2, 0.00015, 0.0002722222222222222), (0, 0, 0), (3, 0.0, 0.0005666666666666666)]","[(29998, 1999.99985, 1999.9997277777777), (40000, 2000, 2000), (79997, 3000.0, 2999.9994333333334)]"
5,"[20.535, 0.0, 0.0]","[1, 0, 0]","[3464.41286996805, 0, 0]","[16535.58713003195, 30000, 40000]","[20000, 30000, 40000]","[4107, 0, 0]","[(168.47066666666663, 0.27493333333333336, 0.023333333333333327), (0, 0, 0), (0, 0, 0)]","[(2831.5293333333334, 2999.725066666667, 2999.9766666666665), (4000, 2000, 2000), (8000, 3000, 3000)]","[(3, 0.2927833333333333, 0.026605555555555556), (0, 0, 0), (0, 0, 0)]","[(29997, 1999.7072166666667, 1999.9733944444445), (40000, 2000, 2000), (80000, 3000, 3000)]"
6,"[20.535, 66.77666666666666, 0.0]","[1, 1, 0]","[4442.116739200141, 0, 0]","[15557.88326079986, 30000, 40000]","[20000, 30000, 40000]","[4107, 20033, 0]","[(313.1741333333334, 0.2986666666666667, 0.020266666666666665), (265.6387333333333, 0.05313333333333333, 0.031266666666666665), (0, 0, 0)]","[(2686.8258666666666, 2999.7013333333334, 2999.979733333333), (3734.361266666667, 1999.9468666666667, 1999.9687333333334), (8000, 3000, 3000)]","[(3, 0.10841666666666665, 0.0281), (3, 0.0, 0.006316666666666667), (0, 0, 0)]","[(29997, 1999.8915833333333, 1999.9719), (39997, 2000.0, 1999.9936833333334), (80000, 3000, 3000)]"
7,"[20.535, 66.77666666666666, 0.0]","[1, 1, 0]","[3143.9889128247596, 0, 0]","[16856.01108717524, 30000, 40000]","[20000, 30000, 40000]","[4107, 20033, 0]","[(205.5204, 0.03793333333333333, 0.025266666666666666), (265.6387333333333, 0.05313333333333333, 0.031266666666666665), (0, 0, 0)]","[(2794.4796, 2999.9620666666665, 2999.9747333333335), (3734.361266666667, 1999.9468666666667, 1999.9687333333334), (8000, 3000, 3000)]","[(3, 0.00125, 0.027633333333333336), (3, 0.0, 0.006316666666666667), (0, 0, 0)]","[(29997, 1999.99875, 1999.9723666666666), (39997, 2000.0, 1999.9936833333334), (80000, 3000, 3000)]"
8,"[20.535, 100.0, 0.0]","[1, 1, 0]","[3601.3461849865503, 2251.868135745323, 0]","[16398.65381501345, 27748.131864254676, 40000]","[20000, 30000, 40000]","[4107, 30000, 0]","[(130.0228, 0.042466666666666666, 0.027733333333333332), (100.6632, 0.009333333333333334, 0.0108), (0, 0, 0)]","[(2869.9772, 2999.9575333333332, 2999.9722666666667), (3899.3368, 1999.9906666666666, 1999.9892), (8000, 3000, 3000)]","[(3, 0.0008, 0.02777777777777778), (2, 0.0, 0.002416666666666667), (0, 0, 0)]","[(29997, 1999.9992, 1999.9722222222222), (39998, 2000.0, 1999.9975833333333), (80000, 3000, 3000)]"
9,"[64.595, 0.0, 100.0]","[2, 0, 1]","[4145.884227515723, 0, 0]","[15854.115772484278, 30000, 40000]","[20000, 30000, 40000]","[12919, 0, 40000]","[(239.0745333333333, 0.040933333333333335, 0.02806666666666667), (0, 0, 0), (150.9948, 0.009333333333333334, 0.010933333333333335)]","[(2760.9254666666666, 2999.959066666667, 2999.9719333333333), (4000, 2000, 2000), (7849.0052, 2999.9906666666666, 2999.9890666666665)]","[(5, 0.07061666666666666, 0.05531666666666667), (0, 0, 0), (2, 0.0, 0.0026888888888888887)]","[(29995, 1999.9293833333334, 1999.9446833333334), (40000, 2000, 2000), (79998, 3000.0, 2999.9973111111112)]"
10,"[63.895, 16.69333333333333, 0.0]","[2, 1, 0]","[4348.31731621313, 1235.3895160495777, 0]","[15651.68268378687, 28764.610483950422, 40000]","[20000, 30000, 40000]","[12779, 5008, 0]","[(239.77346666666665, 0.03373333333333333, 0.027933333333333338), (267.736, 0.28726666666666667, 0.0504), (0, 0, 0)]","[(2760.2265333333335, 2999.966266666667, 2999.9720666666667), (3732.264, 1999.7127333333333, 1999.9496), (8000, 3000, 3000)]","[(5, 0.0013833333333333334, 0.04061666666666667), (1, 0.0, 0.0011611111111111112), (0, 0, 0)]","[(29995, 1999.9986166666667, 1999.9593833333333), (39999, 2000.0, 1999.998838888889), (80000, 3000, 3000)]"
11,"[63.2, 16.69333333333333, 0.0]","[2, 1, 0]","[2935.85027399664, 1235.3895160495777, 0]","[17064.14972600336, 28764.610483950422, 40000]","[20000, 30000, 40000]","[12640, 5008, 0]","[(178.25706666666667, 0.036533333333333334, 0.026), (279.6198, 0.2951333333333333, 0.05206666666666667), (0, 0, 0)]","[(2821.7429333333334, 2999.9634666666666, 2999.974), (3720.3802, 1999.7048666666667, 1999.9479333333334), (8000, 3000, 3000)]","[(5, 0.0, 0.02498888888888889), (1, 0.0, 0.0009000000000000001), (0, 0, 0)]","[(29995, 2000.0, 1999.9750111111111), (39999, 2000.0, 1999.9991), (80000, 3000, 3000)]"
12,"[20.535, 16.69333333333333, 20.5375]","[1, 1, 1]","[2837.2582871833197, 1128.5450173642087, 2327.8664038117226]","[17162.74171281668, 28871.45498263579, 37672.13359618828]","[20000, 30000, 40000]","[4107, 5008, 8215]","[(111.8476, 0.035666666666666666, 0.024), (271.93059999999997, 0.26839999999999997, 0.0528), (335.544, 0.016466666666666664, 0.009866666666666668)]","[(2888.1524, 2999.9643333333333, 2999.976), (3728.0694, 1999.7316, 1999.9472), (7664.456, 2999.9835333333335, 2999.9901333333332)]","[(3, 0.0, 0.028383333333333337), (1, 0.0, 0.00115), (3, 0.0, 0.015905555555555555)]","[(29997, 2000.0, 1999.9716166666667), (39999, 2000.0, 1999.99885), (79997, 3000.0, 2999.9840944444445)]"
13,"[20.535, 16.69333333333333, 20.5375]","[1, 1, 1]","[2777.0076285751793, 1135.2227985320444, 2503.141050686958]","[17222.99237142482, 28864.777201467954, 37496.85894931304]","[20000, 30000, 40000]","[4107, 5008, 8215]","[(115.3428, 0.03426666666666667, 0.023266666666666665), (277.5227333333333, 0.25306666666666666, 0.0498), (427.8186, 0.011466666666666667, 0.006066666666666666)]","[(2884.6572, 2999.9657333333334, 2999.9767333333334), (3722.4772666666668, 1999.7469333333333, 1999.9502), (7572.1814, 2999.988533333333, 2999.993933333333)]","[(3, 0.0, 0.027411111111111112), (1, 0.0, 0.001172222222222222), (3, 1.666666666666667e-05, 0.017866666666666666)]","[(29997, 2000.0, 1999.9725888888888), (39999, 2000.0, 1999.9988277777777), (79997, 2999.999983333333, 2999.9821333333334)]"
14,"[20.535, 16.69333333333333, 20.5375]","[1, 1, 1]","[3089.2155868173595, 1208.6783913782356, 2497.663717972107]","[16910.784413182642, 28791.321608621765, 37502.33628202789]","[20000, 30000, 40000]","[4107, 5008, 8215]","[(111.1486, 0.03153333333333333, 0.0434), (304.0866, 0.2961333333333333, 0.05726666666666666), (419.43, 0.0086, 0.004933333333333334)]","[(2888.8514, 2999.9684666666667, 2999.9566), (3695.9134, 1999.7038666666667, 1999.9427333333333), (7580.57, 2999.9914, 2999.995066666667)]","[(3, 0.0009, 0.029877777777777774), (1, 0.0, 0.0010444444444444444), (3, 0.0, 0.021744444444444445)]","[(29997, 1999.9991, 1999.9701222222222), (39999, 2000.0, 1999.9989555555555), (79997, 3000.0, 2999.9782555555557)]"
15,"[20.535, 16.69333333333333, 20.5375]","[1, 1, 1]","[2842.73561978406, 0, 2664.722365775066]","[17157.26438021594, 30000, 37335.277634224934]","[20000, 30000, 40000]","[4107, 5008, 8215]","[(97.86666666666669, 0.0338, 0.023066666666666666), (292.20259999999996, 0.28073333333333333, 0.056799999999999996), (455.7806, 0.011333333333333336, 0.005066666666666666)]","[(2902.133333333333, 2999.9662, 2999.9769333333334), (3707.7974, 1999.7192666666667, 1999.9432), (7544.2194, 2999.9886666666666, 2999.9949333333334)]","[(3, 0.0, 0.029477777777777773), (1, 0.0, 0.001027777777777778), (3, 0.0, 0.016805555555555553)]","[(29997, 2000.0, 1999.9705222222221), (39999, 2000.0, 1999.9989722222222), (79997, 3000.0, 2999.9831944444445)]"
16,"[20.535, 100.0, 20.5375]","[1, 1, 1]","[2867.38361648739, 0, 2478.4930534701275]","[17132.61638351261, 30000, 37521.50694652987]","[20000, 30000, 40000]","[4107, 30000, 8215]","[(98.5656, 0.03406666666666667, 0.023066666666666666), (0.0, 0.0048, 6.666666666666668e-05), (332.7478, 0.012333333333333335, 0.0056)]","[(2901.4344, 2999.9659333333334, 2999.9769333333334), (4000.0, 1999.9952, 1999.9999333333333), (7667.2522, 2999.987666666667, 2999.9944)]","[(3, 0.0, 0.029166666666666667), (2, 0.0, 0.0013222222222222222), (3, 0.0, 0.02114444444444444)]","[(29997, 2000.0, 1999.9708333333333), (39998, 2000.0, 1999.9986777777779), (79997, 3000.0, 2999.9788555555556)]"
17,"[20.535, 66.77666666666666, 20.5375]","[1, 1, 1]","[3604.08485128692, 2240.395480738335, 2629.1197031285333]","[16395.91514871308, 27759.604519261666, 37370.880296871466]","[20000, 30000, 40000]","[4107, 20033, 8215]","[(159.383, 0.27046666666666663, 0.022466666666666666), (973.0777333333333, 0.10640000000000001, 0.744), (377.487, 0.011333333333333336, 0.0054)]","[(2840.617, 2999.729533333333, 2999.977533333333), (3026.9222666666665, 1999.8936, 1999.256), (7622.513, 2999.9886666666666, 2999.9946)]","[(3, 0.0013666666666666669, 0.02918888888888889), (3, 0.0, 0.025061111111111114), (3, 0.0, 0.030616666666666664)]","[(29997, 1999.9986333333334, 1999.970811111111), (39997, 2000.0, 1999.9749388888888), (79997, 3000.0, 2999.9693833333336)]"
18,"[20.535, 66.77666666666666, 20.5375]","[1, 1, 1]","[4107.999450555, 0, 2505.879717044383]","[15892.000549445, 30000, 37494.12028295561]","[20000, 30000, 40000]","[4107, 20033, 8215]","[(234.88039999999998, 0.2981333333333333, 0.018066666666666665), (805.3058666666667, 0.081, 0.38946666666666657), (321.563, 0.0134, 0.007933333333333334)]","[(2765.1196, 2999.701866666667, 2999.9819333333335), (3194.6941333333334, 1999.919, 1999.6105333333333), (7678.437, 2999.9866, 2999.9920666666667)]","[(3, 8.333333333333333e-05, 0.02883888888888889), (3, 0.0, 0.023311111111111112), (3, 0.0, 0.01774444444444444)]","[(29997, 1999.9999166666666, 1999.971161111111), (39997, 2000.0, 1999.976688888889), (79997, 3000.0, 2999.9822555555556)]"
19,"[20.535, 66.77666666666666, 20.5375]","[1, 1, 1]","[3519.18619597545, 3752.9130163235823, 0]","[16480.81380402455, 26247.086983676418, 40000]","[20000, 30000, 40000]","[4107, 20033, 8215]","[(221.59853333333334, 0.0404, 0.02673333333333333), (388.67179999999996, 7.663399999999999, 2.4918666666666667), (343.9326, 0.013333333333333336, 0.0074666666666666675)]","[(2778.4014666666667, 2999.9596, 2999.973266666667), (3611.3282, 1992.3366, 1997.5081333333333), (7656.0674, 2999.9866666666667, 2999.9925333333335)]","[(3, 0.0, 0.02946666666666667), (2, 0.0, 0.016355555555555557), (3, 0.0, 0.017083333333333332)]","[(29997, 2000.0, 1999.9705333333334), (39998, 2000.0, 1999.9836444444445), (79997, 3000.0, 2999.982916666667)]"
20,"[20.535, 66.77666666666666, 12.520000000000001]","[1, 1, 1]","[3576.69818828322, 2794.65141873918, 0]","[16423.30181171678, 27205.34858126082, 40000]","[20000, 30000, 40000]","[4107, 20033, 5008]","[(117.44013333333332, 0.04193333333333333, 0.027666666666666673), (651.5146, 19.004533333333335, 2.486266666666667), (75.84646666666666, 0.0, 0.0)]","[(2882.5598666666665, 2999.9580666666666, 2999.972333333333), (3348.4854, 1980.9954666666667, 1997.5137333333332), (7924.153533333333, 3000.0, 3000.0)]","[(3, 0.0027166666666666667, 0.027800000000000002), (2, 0.0, 0.0053), (2, 0.00015, 0.0002722222222222222)]","[(29997, 1999.9972833333334, 1999.9722), (39998, 2000.0, 1999.9947), (79998, 2999.99985, 2999.999727777778)]"
21,"[20.535, 66.77666666666666, 12.520000000000001]","[1, 1, 1]","[0, 1739.5619942211624, 454.0891471920266]","[20000, 28260.438005778837, 39545.910852807974]","[20000, 30000, 40000]","[4107, 20033, 5008]","[(115.3428, 0.04046666666666667, 0.026666666666666672), (369.0984, 16.1096, 2.579733333333333), (29.621666666666673, 4.1293999999999995, 4.1416)]","[(2884.6572, 2999.959533333333, 2999.9733333333334), (3630.9016, 1983.8904, 1997.4202666666667), (7970.378333333333, 2995.8706, 2995.8584)]","[(3, 0.0, 0.025622222222222223), (2, 0.0, 0.00225), (3, 0.0, 1.6666666666666667e-05)]","[(29997, 2000.0, 1999.9743777777778), (39998, 2000.0, 1999.99775), (79997, 3000.0, 2999.999983333333)]"
