interval,selection,decision,schedule,schedulingtime
1,[0],"[(0, 0)]","[(0, 0), (None, None), (None, None)]",0.00012230873107910156
2,[0],"[(0, 1), (1, 2)]","[(0, 1), (1, 2), (None, None)]",0.0001971721649169922
3,[],"[(0, 0)]","[(0, 0), (1, 2), (None, None)]",0.00012636184692382812
4,[0],"[(0, 1), (1, 2)]","[(0, 1), (1, 2), (None, None)]",0.00018262863159179688
5,[],"[(0, 0)]","[(0, 0), (1, 2), (None, None)]",0.00011420249938964844
6,[],"[(0, 0)]","[(0, 0), (1, 2), (None, None)]",0.00011014938354492188
7,[],"[(2, 1)]","[(0, 0), (1, 2), (2, 1)]",0.0001285076141357422
8,[],"[(0, 0)]","[(0, 0), (1, 2), (2, 1)]",0.00014352798461914062
9,[0],"[(0, 2), (1, 1)]","[(0, 2), (1, 1), (2, 1)]",0.0002048015594482422
10,[],"[(0, 0)]","[(0, 0), (1, 1), (None, None)]",0.00011372566223144531
11,[0],"[(0, 1), (1, 2)]","[(0, 1), (1, 2), (None, None)]",0.0001819133758544922
12,[],"[(0, 0)]","[(0, 0), (1, 2), (None, None)]",0.00010991096496582031
13,[],"[(2, 1)]","[(0, 0), (1, 2), (2, 1)]",0.00012803077697753906
14,[],[],"[(0, 0), (1, 2), (2, 1)]",0.00011086463928222656
15,[],"[(2, 1)]","[(0, 0), (1, 2), (2, 1)]",0.0001251697540283203
16,[],[],"[(0, 0), (1, 2), (2, 1)]",0.00010895729064941406
17,[],"[(2, 1)]","[(0, 0), (1, 2), (2, 1)]",0.00012874603271484375
18,[2],"[(2, 2)]","[(0, 0), (1, 2), (2, 2)]",0.00020599365234375
19,[],"[(0, 0), (2, 1)]","[(0, 0), (1, 2), (2, 1)]",0.00012159347534179688
20,[],"[(0, 0)]","[(0, 0), (1, 2), (2, 1)]",0.0001270771026611328
21,[0],"[(0, 1), (2, 2)]","[(0, 1), (1, 2), (2, 2)]",0.00019359588623046875
