interval,activecontainers,ips,apparentips,ram,disk,creationids,hostalloc,active
1,1,"[399.84528818413116, 0, 0, 0, 0, 0]","[8215.999072276667, 0, 0, 0, 0, 0]","[(194.3357333333333, 0.016466666666666664, 0.016533333333333334), 0, 0, 0, 0, 0]","[(3, 0.0001, 0.012799999999999999), 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1]","[True, False, False, False, False, False]"
2,2,"[0, 0, 0, 0, 0, 0]","[8215.999072276667, 8900.665523273334, 0, 0, 0, 0]","[(174.76213333333334, 0.020933333333333335, 0.014333333333333335), (72.70086666666668, 0.005533333333333332, 0.004066666666666666), 0, 0, 0, 0]","[(3, 0.0, 0.007216666666666666), (3, 0.0, 0.0015388888888888893), 0, 0, 0, 0]","[0, 1, -1, -1, -1, -1]","[0, 0, -1, -1, -1, -1]","[True, True, False, False, False, False]"
3,1,"[0, 0, 0, 0, 0, 0]","[4450.331770581667, 0, 0, 0, 0, 0]","[(100.6628, 0.0004, 0.0027333333333333333), 0, 0, 0, 0, 0]","[(1, 0.0004166666666666667, 0.0008333333333333334), 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1]","[True, False, False, False, False, False]"
4,1,"[307.17787062611995, 0, 0, 0, 0, 0]","[5008.334847165001, 0, 0, 0, 0, 0]","[(78.29326666666667, 0.0, 0.0006666666666666666), 0, 0, 0, 0, 0]","[(1, 0.0, 0.0013499999999999999), 0, 0, 0, 0, 0]","[3, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1]","[True, False, False, False, False, False]"
5,2,"[0, 0, 0, 0, 0, 0]","[5008.334847165001, 4450.332208768334, 0, 0, 0, 0]","[(76.8952, 0.0, 0.0006666666666666666), (66.40913333333332, 0.0018, 0.008), 0, 0, 0, 0]","[(1, 0.0, 0.0025277777777777772), (2, 0.0002833333333333333, 0.0007333333333333333), 0, 0, 0, 0]","[3, 4, -1, -1, -1, -1]","[0, 0, -1, -1, -1, -1]","[True, True, False, False, False, False]"
6,1,"[0, 0, 0, 0, 0, 0]","[8900.665523273334, 0, 0, 0, 0, 0]","[(72.70086666666668, 0.005533333333333332, 0.004066666666666666), 0, 0, 0, 0, 0]","[(3, 0.0, 0.0015388888888888893), 0, 0, 0, 0, 0]","[5, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1]","[True, False, False, False, False, False]"
7,1,"[183.94706462909107, 0, 0, 0, 0, 0]","[8900.664417536667, 0, 0, 0, 0, 0]","[(20.971, 0.0046, 6.666666666666668e-05), 0, 0, 0, 0, 0]","[(3, 0.0, 0.0009055555555555556), 0, 0, 0, 0, 0]","[6, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1]","[True, False, False, False, False, False]"
8,2,"[0, 0, 0, 0, 0, 0]","[8900.664417536667, 5008.335913533334, 0, 0, 0, 0]","[(71.303, 0.004533333333333333, 6.666666666666668e-05), (51.3798, 6.666666666666668e-05, 0.00013333333333333334), 0, 0, 0, 0]","[(3, 0.0, 0.0013333333333333333), (1, 0.0, 0.0006666666666666666), 0, 0, 0, 0]","[6, 7, -1, -1, -1, -1]","[0, 0, -1, -1, -1, -1]","[True, True, False, False, False, False]"
9,1,"[0, 0, 0, 0, 0, 0]","[4450.332193363333, 0, 0, 0, 0, 0]","[(37.39873333333333, 0.010933333333333335, 0.011666666666666664), 0, 0, 0, 0, 0]","[(1, 0.0, 0.0007333333333333333), 0, 0, 0, 0, 0]","[8, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1]","[True, False, False, False, False, False]"
10,1,"[0, 0, 0, 0, 0, 0]","[5008.336716305, 0, 0, 0, 0, 0]","[(8.2134, 0.0, 0.0), 0, 0, 0, 0, 0]","[(1, 0.0, 0.000988888888888889), 0, 0, 0, 0, 0]","[9, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1]","[True, False, False, False, False, False]"
11,1,"[0, 0, 0, 0, 0, 0]","[5008.33549931, 0, 0, 0, 0, 0]","[(47.18546666666667, 0.0, 0.00013333333333333334), 0, 0, 0, 0, 0]","[(3, 0.0, 0.0006611111111111111), 0, 0, 0, 0, 0]","[10, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1]","[True, False, False, False, False, False]"
12,1,"[0, 0, 0, 0, 0, 0]","[8900.66643388, 0, 0, 0, 0, 0]","[(131.42113333333333, 6.666666666666668e-05, 6.666666666666668e-05), 0, 0, 0, 0, 0]","[(3, 3.3333333333333335e-05, 0.004461111111111111), 0, 0, 0, 0, 0]","[11, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1]","[True, False, False, False, False, False]"
13,1,"[0, 0, 0, 0, 0, 0]","[5008.336716305, 0, 0, 0, 0, 0]","[(75.84646666666666, 0.0, 0.0), 0, 0, 0, 0, 0]","[(2, 0.00015, 0.0002722222222222222), 0, 0, 0, 0, 0]","[12, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1]","[True, False, False, False, False, False]"
14,1,"[0, 0, 0, 0, 0, 0]","[5008.335408591666, 0, 0, 0, 0, 0]","[(106.6046, 0.0002, 0.0003333333333333333), 0, 0, 0, 0, 0]","[(3, 0.0, 0.0011055555555555556), 0, 0, 0, 0, 0]","[13, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1]","[True, False, False, False, False, False]"
15,1,"[0, 0, 0, 0, 0, 0]","[5008.335913533334, 0, 0, 0, 0, 0]","[(51.3798, 6.666666666666668e-05, 0.00013333333333333334), 0, 0, 0, 0, 0]","[(1, 0.0, 0.0006666666666666666), 0, 0, 0, 0, 0]","[14, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1]","[True, False, False, False, False, False]"
16,1,"[0, 0, 0, 0, 0, 0]","[4450.332126608333, 0, 0, 0, 0, 0]","[(60.816866666666684, 0.0044666666666666665, 0.0008), 0, 0, 0, 0, 0]","[(3, 0.0, 0.00195), 0, 0, 0, 0, 0]","[15, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1]","[True, False, False, False, False, False]"
