interval,numdestroyed,nummigrations,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
1,0,1,[],0.0,[],0.0,1,0.0,[]
2,0,1,[],0.0,[],0.0,1,0.0,[]
3,2,1,"[345.09433573333337, 127.97270086666664]",236.5335183,"[0.19433573333333332, 0.07270086666666668]",0.1335183,1,50.0,"[1, 1]"
4,1,1,[197.10066279999995],197.10066279999995,[0.10066280000000001],0.10066280000000001,1,100.0,[1]
5,0,1,[],0.0,[],0.0,1,0.0,[]
6,2,1,"[424.07829326666655, 143.8664091333333]",283.97235119999993,"[0.07829326666666667, 0.06640913333333331]",0.07235119999999999,1,50.0,"[1, 1]"
7,1,1,[123.47270086666664],123.47270086666664,[0.07270086666666668],0.07270086666666668,1,100.0,[1]
8,0,1,[],0.0,[],0.0,1,0.0,[]
9,2,1,"[162.02097099999995, 134.65137979999997]",148.33617539999995,"[0.020971, 0.0513798]",0.0361754,1,50.0,"[1, 1]"
10,1,1,[97.03739873333336],97.03739873333336,[0.03739873333333333],0.03739873333333333,1,100.0,[1]
11,1,1,[153.00821339999996],153.00821339999996,[0.0082134],0.0082134,1,100.0,[1]
12,1,1,[34.64718546666667],34.64718546666667,[0.04718546666666667],0.04718546666666667,1,100.0,[1]
13,1,1,[145.73142113333333],145.73142113333333,[0.13142113333333333],0.13142113333333333,1,100.0,[1]
14,1,1,[130.47584646666667],130.47584646666667,[0.07584646666666665],0.07584646666666665,1,100.0,[1]
15,1,1,[85.9066046],85.9066046,[0.10660460000000001],0.10660460000000001,1,100.0,[1]
16,1,1,[146.05137979999998],146.05137979999998,[0.0513798],0.0513798,1,100.0,[1]
17,1,1,[212.86081686666668],212.86081686666668,[0.060816866666666684],0.060816866666666684,1,100.0,[1]
18,0,1,[],0.0,[],0.0,1,0.0,[]
19,1,1,[442.07829326666655],442.07829326666655,[0.07829326666666667],0.07829326666666667,1,100.0,[1]
20,1,1,[97.7796916],97.7796916,[0.0796916],0.0796916,1,100.0,[1]
21,0,1,[],0.0,[],0.0,1,0.0,[]
