interval,selection,decision,schedule,schedulingtime
1,[0],"[(0, 0)]","[(0, 0), (None, None), (None, None), (None, None), (None, None), (None, None)]",7.605552673339844e-05
2,[],"[(0, 0)]","[(0, 0), (None, None), (None, None), (None, None), (None, None), (None, None)]",8.96453857421875e-05
3,[],"[(0, 0)]","[(0, 0), (None, None), (None, None), (None, None), (None, None), (None, None)]",8.678436279296875e-05
4,[],"[(0, 0)]","[(0, 0), (None, None), (None, None), (None, None), (None, None), (None, None)]",9.465217590332031e-05
5,[],"[(1, 0)]","[(0, 0), (1, 0), (None, None), (None, None), (None, None), (None, None)]",0.00011134147644042969
6,[],"[(1, 0)]","[(0, 0), (1, 0), (None, None), (None, None), (None, None), (None, None)]",0.00011396408081054688
7,[],"[(1, 0)]","[(0, 0), (1, 0), (None, None), (None, None), (None, None), (None, None)]",0.00011944770812988281
8,[0],"[(0, 3), (2, 0)]","[(0, 3), (1, 0), (2, 0), (None, None), (None, None), (None, None)]",0.0002384185791015625
9,[],"[(1, 0)]","[(0, 3), (1, 0), (None, None), (None, None), (None, None), (None, None)]",0.00010633468627929688
10,[],"[(2, 0)]","[(0, 3), (1, 0), (2, 0), (None, None), (None, None), (None, None)]",0.00012254714965820312
11,[],"[(0, 0)]","[(0, 0), (None, None), (2, 0), (None, None), (None, None), (None, None)]",0.00011181831359863281
12,[],"[(0, 0)]","[(0, 0), (None, None), (2, 0), (None, None), (None, None), (None, None)]",0.0001270771026611328
13,[],"[(0, 0)]","[(0, 0), (None, None), (2, 0), (None, None), (None, None), (None, None)]",0.00011730194091796875
14,[],"[(1, 0)]","[(0, 0), (1, 0), (2, 0), (None, None), (None, None), (None, None)]",0.00013589859008789062
15,[],"[(1, 0)]","[(0, 0), (1, 0), (2, 0), (None, None), (None, None), (None, None)]",0.0001442432403564453
16,[2],"[(2, 3), (3, 0)]","[(0, 0), (1, 0), (2, 3), (3, 0), (None, None), (None, None)]",0.00025963783264160156
17,[],"[(3, 0)]","[(0, 0), (1, 0), (2, 3), (3, 0), (None, None), (None, None)]",0.00015497207641601562
18,[],"[(3, 0)]","[(0, 0), (1, 0), (2, 3), (3, 0), (None, None), (None, None)]",0.00015401840209960938
19,[],"[(3, 0)]","[(0, 0), (1, 0), (2, 3), (3, 0), (None, None), (None, None)]",0.00016260147094726562
20,[],"[(3, 0)]","[(0, 0), (1, 0), (2, 3), (3, 0), (None, None), (None, None)]",0.00016188621520996094
21,[],"[(1, 0)]","[(0, 0), (1, 0), (None, None), (3, 0), (None, None), (None, None)]",0.00013184547424316406
