criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,score,total time
gini, None, None, 1, 2, 1000, 0.653 , 5.9min
gini, None, None, 1, 10, 1000, 0.631 , 6.0min
gini, None, None, 5, 2, 500, 0.608 , 3.0min
gini, None, None, 5, 5, 200, 0.685 , 1.2min
gini, None, None, 5, 10, 200, 0.654 , 1.3min
gini, None, None, 5, 10, 200, 0.607 , 1.2min
gini, None, None, 5, 10, 1000, 0.656 , 5.9min
gini, None, None, 20, 2, 500, 0.560 , 2.8min
gini, None, None, 20, 5, 200, 0.555 , 1.1min
gini, None, None, 20, 5, 1000, 0.557 , 5.3min
gini, None, None, 20, 20, 1000, 0.559 , 5.4min
gini, None, None, 50, 5, 500, 0.517 , 2.5min
gini, None, None, 50, 10, 500, 0.518 , 2.5min
gini, None, None, 50, 20, 200, 0.526 ,  59.8s
gini, None, None, 100, 2, 200, 0.494 , 1.1min
gini, None, None, 100, 2, 200, 0.479 ,  56.6s
gini, None, None, 100, 2, 1000, 0.475 , 4.7min
gini, None, None, 100, 10, 500, 0.492 , 2.4min
gini, None, None, 100, 20, 200, 0.471 ,  56.0s
gini, None, sqrt, 1, 2, 200, 0.639 ,  37.0s
gini, None, sqrt, 1, 2, 200, 0.585 ,  37.9s
gini, None, sqrt, 1, 2, 200, 0.604 ,  33.8s
gini, None, sqrt, 1, 2, 1000, 0.585 , 2.7min
gini, None, sqrt, 1, 10, 200, 0.650 ,  31.7s
gini, None, sqrt, 1, 10, 1000, 0.642 , 2.7min
gini, None, sqrt, 5, 2, 1000, 0.586 , 2.5min
gini, None, sqrt, 5, 10, 200, 0.547 ,  28.5s
gini, None, sqrt, 5, 10, 1000, 0.593 , 2.5min
gini, None, sqrt, 20, 2, 1000, 0.530 , 2.3min
gini, None, sqrt, 20, 10, 500, 0.538 , 1.2min
gini, None, sqrt, 20, 20, 200, 0.524 ,  26.1s
gini, None, sqrt, 20, 20, 1000, 0.532 , 2.3min
gini, None, sqrt, 50, 5, 1000, 0.447 , 2.1min
gini, None, sqrt, 50, 20, 500, 0.437 , 1.1min
gini, None, sqrt, 100, 2, 500, 0.337 , 1.1min
gini, None, sqrt, 100, 5, 500, 0.339 , 1.0min
gini, None, sqrt, 100, 10, 200, 0.328 ,  23.4s
gini, None, sqrt, 100, 20, 200, 0.337 ,  28.5s
gini, None, sqrt, 100, 20, 200, 0.343 ,  24.2s
gini, None, sqrt, 100, 20, 1000, 0.329 , 2.0min
gini, None, log2, 1, 5, 200, 0.628 ,  30.4s
gini, None, log2, 1, 10, 200, 0.661 ,  35.6s
gini, None, log2, 1, 10, 200, 0.590 ,  34.6s
gini, None, log2, 1, 10, 500, 0.654 , 1.3min
gini, None, log2, 1, 20, 500, 0.570 , 1.3min
gini, None, log2, 5, 2, 200, 0.587 ,  30.4s
gini, None, log2, 5, 5, 200, 0.588 ,  35.1s
gini, None, None, 1, 2, 200, 0.663 , 1.2min
gini, None, None, 1, 5, 500, 0.674 , 3.2min
gini, None, None, 1, 10, 200, 0.656 , 1.3min
gini, None, None, 1, 10, 500, 0.677 , 3.1min
gini, None, None, 1, 20, 500, 0.671 , 3.1min
gini, None, None, 5, 2, 200, 0.632 , 1.2min
gini, None, None, 5, 5, 200, 0.655 , 1.3min
gini, None, None, 5, 5, 200, 0.606 , 1.2min
gini, None, None, 5, 5, 1000, 0.633 , 5.8min
gini, None, None, 5, 20, 500, 0.679 , 3.0min
gini, None, None, 20, 2, 500, 0.557 , 2.8min
gini, None, None, 20, 5, 500, 0.561 , 2.8min
gini, None, None, 20, 10, 200, 0.556 , 1.1min
gini, None, None, 20, 10, 1000, 0.554 , 5.4min
gini, None, None, 50, 2, 1000, 0.517 , 5.0min
gini, None, None, 50, 10, 500, 0.531 , 2.6min
gini, None, None, 50, 20, 200, 0.521 ,  59.1s
gini, None, None, 50, 20, 1000, 0.528 , 4.9min
gini, None, None, 100, 5, 1000, 0.477 , 4.6min
gini, None, None, 100, 20, 500, 0.468 , 2.3min
gini, None, sqrt, 1, 2, 500, 0.631 , 1.4min
gini, None, sqrt, 1, 5, 200, 0.630 ,  34.8s
gini, None, sqrt, 1, 5, 500, 0.628 , 1.3min
gini, None, sqrt, 1, 10, 1000, 0.660 , 2.6min
gini, None, sqrt, 5, 2, 200, 0.572 ,  30.0s
gini, None, sqrt, 5, 5, 200, 0.586 ,  34.8s
gini, None, sqrt, 5, 5, 200, 0.567 ,  32.4s
gini, None, sqrt, 5, 5, 1000, 0.568 , 2.5min
gini, None, sqrt, 5, 20, 500, 0.556 , 1.3min
gini, None, sqrt, 20, 2, 500, 0.540 , 1.2min
gini, None, sqrt, 20, 5, 200, 0.518 ,  27.4s
gini, None, sqrt, 20, 5, 1000, 0.526 , 2.3min
gini, None, sqrt, 20, 20, 1000, 0.531 , 2.3min
gini, None, sqrt, 50, 5, 500, 0.451 , 1.1min
gini, None, sqrt, 50, 10, 500, 0.443 , 1.1min
gini, None, sqrt, 50, 20, 200, 0.439 ,  25.1s
gini, None, sqrt, 100, 2, 200, 0.334 ,  28.1s
gini, None, sqrt, 100, 2, 200, 0.330 ,  24.9s
gini, None, sqrt, 100, 2, 1000, 0.331 , 2.0min
gini, None, sqrt, 100, 10, 500, 0.330 , 1.0min
gini, None, sqrt, 100, 20, 200, 0.328 ,  22.2s
gini, None, sqrt, 100, 20, 1000, 0.336 , 2.0min
gini, None, log2, 1, 5, 500, 0.648 , 1.4min
gini, None, log2, 1, 10, 200, 0.607 ,  32.3s
gini, None, log2, 1, 10, 1000, 0.605 , 2.5min
gini, None, log2, 5, 2, 1000, 0.587 , 2.5min
gini, None, log2, 5, 10, 500, 0.585 , 1.3min
gini, None, None, 1, 2, 500, 0.606 , 3.0min
gini, None, None, 1, 5, 1000, 0.650 , 6.0min
gini, None, None, 1, 20, 500, 0.652 , 3.0min
gini, None, None, 5, 2, 1000, 0.656 , 5.9min
gini, None, None, 5, 10, 500, 0.606 , 2.9min
gini, None, None, 5, 20, 200, 0.687 , 1.2min
gini, None, None, 20, 2, 200, 0.563 , 1.2min
gini, None, None, 20, 2, 200, 0.557 , 1.2min
